condition,range,cut,mean_precision
standard,all,AUC,0.8118797359784514
standard,all,L,0.295162196198874
standard,all,L/2,0.39959265687206935
standard,all,L/5,0.49548299155928405
standard,all,R,0.336465935814013
standard,long,AUC,0.7797717556093919
standard,long,L,0.1768787171176766
standard,long,L/2,0.27110520134775057
standard,long,L/5,0.369124128511227
standard,long,R,0.2856183291283071
standard,medium,AUC,0.8332026360585684
standard,medium,L,0.1276833364903781
standard,medium,L/2,0.21569221962960075
standard,medium,L/5,0.36191615867086036
standard,medium,R,0.37211572533316123
standard,short,AUC,0.866721547221204
standard,short,L,0.09466508970702363
standard,short,L/2,0.16440741930467154
standard,short,L/5,0.3061846469673899
standard,short,R,0.4362187113347391
think1,all,AUC,0.8102599557839261
think1,all,L,0.2945608756217115
think1,all,L/2,0.3990697982979483
think1,all,L/5,0.499524270784467
think1,all,R,0.33591544368779935
think1,long,AUC,0.7756613455036666
think1,long,L,0.17528311513038605
think1,long,L/2,0.2687998910215132
think1,long,L/5,0.3713785374295367
think1,long,R,0.2822197678205258
think1,medium,AUC,0.833677227441849
think1,medium,L,0.1273791752038363
think1,medium,L/2,0.21581636451421327
think1,medium,L/5,0.3632361714707283
think1,medium,R,0.3729286466201379
think1,short,AUC,0.867980721147655
think1,short,L,0.09461558534114807
think1,short,L/2,0.16411169477114815
think1,short,L/5,0.3080488903171626
think1,short,R,0.4371275545302235
think2,all,AUC,0.8092604273311493
think2,all,L,0.2935874304039485
think2,all,L/2,0.39828874941431347
think2,all,L/5,0.49742292797592974
think2,all,R,0.334651061604227
think2,long,AUC,0.7745123197501576
think2,long,L,0.17474851750126877
think2,long,L/2,0.2667139617067832
think2,long,L/5,0.3710837825593244
think2,long,R,0.2805062801413632
think2,medium,AUC,0.837480540188684
think2,medium,L,0.12828870123650407
think2,medium,L/2,0.2164039050090077
think2,medium,L/5,0.36100150821385796
think2,medium,R,0.37026732007138574
think2,short,AUC,0.8638952833367026
think2,short,L,0.09441345137578713
think2,short,L/2,0.16352257623035527
think2,short,L/5,0.3079545886425015
think2,short,R,0.4374327749555047
think3,all,AUC,0.809310577809668
think3,all,L,0.29270153133936144
think3,all,L/2,0.3988012143769868
think3,all,L/5,0.4935197363859518
think3,all,R,0.33531297298414714
think3,long,AUC,0.7747233533257398
think3,long,L,0.17481088349008386
think3,long,L/2,0.26513977266864625
think3,long,L/5,0.3710062631053329
think3,long,R,0.28063417432028187
think3,medium,AUC,0.8350469490005644
think3,medium,L,0.12668016955702605
think3,medium,L/2,0.2147606902491754
think3,medium,L/5,0.3613206935784315
think3,medium,R,0.3717633548307949
think3,short,AUC,0.8649944402096718
think3,short,L,0.09430173224534268
think3,short,L/2,0.16254611577756115
think3,short,L/5,0.3052206115000798
think3,short,R,0.43457106176160787
