range,cut,forced_think,standard,delta_forced_minus_standard
all,L,0.37188250440056475,0.3725315380812223,-0.0006490336806575514
all,L/2,0.25443786115562683,0.25493917959547474,-0.0005013184398479087
all,L/5,0.12784404616792186,0.12677638374260547,0.0010676624253163902
all,R,0.3359154436877993,0.336465935814013,-0.0005504921262137197
long,L,0.3786143745126151,0.3834418097197358,-0.0048274352071207005
long,L/2,0.294080207138096,0.29671640435321167,-0.0026361972151156543
long,L/5,0.165576058105916,0.16516886277509438,0.0004071953308216192
long,R,0.2822197678205258,0.2856183291283071,-0.003398561307781267
medium,L,0.6287889884986486,0.6295695682312896,-0.0007805797326410069
medium,L/2,0.5366105135940837,0.5351278953687145,0.0014826182253692144
medium,L/5,0.37388820560130837,0.3706471935970166,0.0032410120042917767
medium,R,0.3729286466201379,0.37211572533316123,0.0008129212869766866
short,L,0.7653749948972859,0.7678248823479519,-0.0024498874506659885
short,L/2,0.6712006131021235,0.6736679957677618,-0.0024673826656382847
short,L/5,0.5231559773782652,0.5225776869616117,0.0005782904166535818
short,R,0.43712755453022345,0.4362187113347391,0.0009088431954843434
