mode,metric,n,mean,median,min,max
msa,mae_distogram_cb_angstrom,48,5.1104770833333335,4.50605,0.3429,16.7538
msa,mae_structure_ca_angstrom,48,0.6165124999999999,0.48245,0.186,3.6865
msa,drmsd_ca_angstrom,48,1.1800479166666664,0.9456,0.2805,6.0257
msa,rmsd_ca_angstrom,48,1.6656291666666665,1.2442,0.3764,7.202
msa,rmsd_all_heavy_angstrom,48,2.1465104166666666,1.7685499999999998,0.9279,7.4781
single_seq,mae_distogram_cb_angstrom,48,6.661962499999999,6.38755,0.4802,17.8034
single_seq,mae_structure_ca_angstrom,48,5.521366666666666,5.5674,0.4745,12.4961
single_seq,drmsd_ca_angstrom,48,7.562114583333333,7.76935,0.8153,16.5809
single_seq,rmsd_ca_angstrom,48,12.308237499999999,12.49145,1.1522,26.8433
single_seq,rmsd_all_heavy_angstrom,48,12.753641666666667,12.7259,1.8259,27.0339
