issue,model_size,epochs,learning_rate,weight_decay,n_runs,n_batch_sizes,best_val_loss,best_batch_size,best_run_id,best_run_name,best_run_url,is_observed,is_global_best,is_color_clipped
117,1_5b,8,0.0001,0.1,0,0,,,,,,False,False,False
117,1_5b,8,0.0001,0.2,0,0,,,,,,False,False,False
117,1_5b,8,0.0001,0.4,0,0,,,,,,False,False,False
117,1_5b,8,0.0001,0.8,1,1,2.990934133529663,128,prot-exp117-cv1-s02-1_5b-e8-lr1e-4-wd0p8-bs128-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr1e-4-wd0p8-bs128-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr1e-4-wd0p8-bs128-us-east5,True,False,False
117,1_5b,8,0.0001,1.6,1,1,2.95580530166626,128,prot-exp117-cv1-s02-1_5b-e8-lr1e-4-wd1p6-bs128-europe-west4,prot-exp117-cv1-s02-1_5b-e8-lr1e-4-wd1p6-bs128-europe-west4,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr1e-4-wd1p6-bs128-europe-west4,True,False,False
117,1_5b,8,0.0001,3.2,0,0,,,,,,False,False,False
117,1_5b,8,0.00031623,0.1,0,0,,,,,,False,False,False
117,1_5b,8,0.00031623,0.2,1,1,3.0213589668273926,256,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p2-bs256-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p2-bs256-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p2-bs256-us-east5,True,False,False
117,1_5b,8,0.00031623,0.4,1,1,2.7983169555664062,64,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p4-bs64-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p4-bs64-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p4-bs64-us-east5,True,False,False
117,1_5b,8,0.00031623,0.8,1,1,2.815054416656494,128,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p8-bs128-us-west4,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p8-bs128-us-west4,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd0p8-bs128-us-west4,True,False,False
117,1_5b,8,0.00031623,1.6,3,3,2.733017921447754,64,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd1p6-bs64-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd1p6-bs64-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd1p6-bs64-us-east5,True,False,False
117,1_5b,8,0.00031623,3.2,1,1,2.753607273101806,128,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd3p2-bs128-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd3p2-bs128-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr3p162e-4-wd3p2-bs128-us-east5,True,False,False
117,1_5b,8,0.001,0.1,3,3,2.759995460510254,64,prot-exp117-cv1-s02-1_5b-e8-lr1e-3-wd0p1-bs64-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr1e-3-wd0p1-bs64-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr1e-3-wd0p1-bs64-us-east5,True,False,False
