model,range,cut,mean_precision
exp117_e16_early_step33450,all,AUC,0.9327426760125137
exp117_e16_early_step33450,all,L,0.4788883450345597
exp117_e16_early_step33450,all,L/2,0.6301659027933466
exp117_e16_early_step33450,all,L/5,0.7469369631680282
exp117_e16_early_step33450,all,R,0.5318057613938925
exp117_e16_early_step33450,long,AUC,0.9147556309600232
exp117_e16_early_step33450,long,L,0.3096583077441964
exp117_e16_early_step33450,long,L/2,0.47500438445634574
exp117_e16_early_step33450,long,L/5,0.6118952966665084
exp117_e16_early_step33450,long,R,0.4805533218160563
exp117_e16_early_step33450,medium,AUC,0.9586388791734548
exp117_e16_early_step33450,medium,L,0.17630027135325593
exp117_e16_early_step33450,medium,L/2,0.315319286306435
exp117_e16_early_step33450,medium,L/5,0.5511641451289322
exp117_e16_early_step33450,medium,R,0.5837842859811524
exp117_e16_early_step33450,short,AUC,0.9636522884303689
exp117_e16_early_step33450,short,L,0.11902222252008426
exp117_e16_early_step33450,short,L/2,0.22157322706811702
exp117_e16_early_step33450,short,L/5,0.45433262483555553
exp117_e16_early_step33450,short,R,0.6332290242172968
exp117_e16_final_step35679,all,AUC,0.9326399554647576
exp117_e16_final_step35679,all,L,0.48087796823548656
exp117_e16_final_step35679,all,L/2,0.6320712888154193
exp117_e16_final_step35679,all,L/5,0.7500333894239305
exp117_e16_final_step35679,all,R,0.5344182205203892
exp117_e16_final_step35679,long,AUC,0.9147378924722869
exp117_e16_final_step35679,long,L,0.31164463109671425
exp117_e16_final_step35679,long,L/2,0.4776407526289721
exp117_e16_final_step35679,long,L/5,0.6147652763978904
exp117_e16_final_step35679,long,R,0.48148580147081066
exp117_e16_final_step35679,medium,AUC,0.9582968144668533
exp117_e16_final_step35679,medium,L,0.1758517920314586
exp117_e16_final_step35679,medium,L/2,0.31579249101028056
exp117_e16_final_step35679,medium,L/5,0.5545496884233703
exp117_e16_final_step35679,medium,R,0.5858839081181773
exp117_e16_final_step35679,short,AUC,0.9639875841416928
exp117_e16_final_step35679,short,L,0.11889479277256103
exp117_e16_final_step35679,short,L/2,0.22256359198301592
exp117_e16_final_step35679,short,L/5,0.44986853291561096
exp117_e16_final_step35679,short,R,0.6249782626604659
exp146_3b_e8_step17839,all,AUC,0.9250638189867249
exp146_3b_e8_step17839,all,L,0.4594116944619966
exp146_3b_e8_step17839,all,L/2,0.6072439269370651
exp146_3b_e8_step17839,all,L/5,0.7272765484702244
exp146_3b_e8_step17839,all,R,0.5118632021052502
exp146_3b_e8_step17839,long,AUC,0.9050571157482632
exp146_3b_e8_step17839,long,L,0.2946453986006925
exp146_3b_e8_step17839,long,L/2,0.4522204055762546
exp146_3b_e8_step17839,long,L/5,0.5902706935764612
exp146_3b_e8_step17839,long,R,0.4589059609319418
exp146_3b_e8_step17839,medium,AUC,0.9513021747853986
exp146_3b_e8_step17839,medium,L,0.17254436723146355
exp146_3b_e8_step17839,medium,L/2,0.3074915193522872
exp146_3b_e8_step17839,medium,L/5,0.533888962591997
exp146_3b_e8_step17839,medium,R,0.5617467686982696
exp146_3b_e8_step17839,short,AUC,0.9586425831844542
exp146_3b_e8_step17839,short,L,0.11766156829587829
exp146_3b_e8_step17839,short,L/2,0.21867009877269114
exp146_3b_e8_step17839,short,L/5,0.4388212233754022
exp146_3b_e8_step17839,short,R,0.6188265909083722
