dataset,stem,n_residues,n_true,precision_mf,precision_px
foldbench100,5sbj_A,30,17,0.9411764705882352,0.8823529411764706
foldbench100,7pv5_A,81,64,0.796875,0.796875
foldbench100,7qp5_A,245,241,0.1867219917012448,0.1410788381742738
foldbench100,7qsj_A,373,347,0.6080691642651297,0.4438040345821326
foldbench100,7t9r_A,38,24,0.3333333333333333,0.0
foldbench100,7tlh_A,136,114,0.1578947368421052,0.131578947368421
foldbench100,7tjb_A,227,201,0.6368159203980099,0.5522388059701493
foldbench100,7uba_A,213,208,0.2692307692307692,0.0865384615384615
foldbench100,7uk8_A,394,526,0.214828897338403,0.0969581749049429
foldbench100,7ur2_A,195,137,0.4087591240875912,0.2043795620437956
foldbench100,7ur7_A,70,60,0.8333333333333334,0.8333333333333334
foldbench100,7urp_A,160,134,0.2611940298507462,0.0746268656716417
foldbench100,7uvg_A,183,178,0.1685393258426966,0.3202247191011236
foldbench100,7uww_A,635,693,0.2972582972582973,0.1861471861471861
foldbench100,7v3o_A,328,272,0.3786764705882353,0.0735294117647058
foldbench100,7w15_A,302,303,0.5676567656765676,0.1749174917491749
foldbench100,7y3h_A,413,312,0.5,0.1506410256410256
foldbench100,7wz5_A,161,113,0.0619469026548672,0.0973451327433628
foldbench100,7wzm_A,492,456,0.6600877192982456,0.2631578947368421
foldbench100,7x4p_A,307,333,0.2792792792792792,0.051051051051051
foldbench100,7x3h_A,290,296,0.4256756756756756,0.1013513513513513
foldbench100,7x8l_A,514,580,0.5758620689655173,0.0551724137931034
foldbench100,7xcd_A,178,148,0.1756756756756756,0.1216216216216216
foldbench100,7xg9_A,288,241,0.3900414937759336,0.4190871369294606
foldbench100,7xi5_A,65,42,0.7619047619047619,0.2619047619047619
foldbench100,7xp9_A,84,45,0.2444444444444444,0.3555555555555555
foldbench100,8ycm_A,229,196,0.3775510204081632,0.1224489795918367
foldbench100,7xq4_A,514,472,0.4110169491525424,0.7033898305084746
foldbench100,7xrx_A,398,396,0.1287878787878787,0.2348484848484848
foldbench100,7xjr_A,337,354,0.4406779661016949,0.2542372881355932
foldbench100,7xyr_A,591,707,0.5742574257425742,0.1923620933521923
foldbench100,7xz3_A,325,316,0.1297468354430379,0.110759493670886
foldbench100,7y4h_A,338,320,0.546875,0.33125
foldbench100,7y54_A,100,105,0.8095238095238095,0.6
foldbench100,7y5m_A,170,148,0.4864864864864865,0.0878378378378378
foldbench100,7y5r_A,105,97,0.7319587628865979,0.7938144329896907
foldbench100,7y8h_A,100,83,0.7831325301204819,0.8072289156626506
foldbench100,7y8i_A,97,83,0.7831325301204819,0.8192771084337349
foldbench100,7y5j_A,102,91,0.7802197802197802,0.1098901098901098
foldbench100,7yd4_A,185,142,0.1830985915492957,0.0774647887323943
foldbench100,7yhr_A,60,41,0.3902439024390244,0.3414634146341463
foldbench100,7ykm_A,105,55,0.4545454545454545,0.8181818181818182
foldbench100,7ylr_A,330,364,0.7032967032967034,0.4010989010989011
foldbench100,8gmy_A,236,254,0.3503937007874015,0.1732283464566929
foldbench100,7yug_A,118,94,0.2765957446808511,0.3936170212765957
foldbench100,7yyg_A,365,221,0.2579185520361991,0.2850678733031674
foldbench100,7z65_A,283,320,0.48125,0.340625
foldbench100,7znz_A,761,932,0.3937768240343348,0.259656652360515
foldbench100,7zoi_A,151,110,0.6909090909090909,0.3
foldbench100,7zs2_A,316,223,0.6053811659192825,0.2152466367713004
foldbench100,7zu3_A,132,92,0.217391304347826,0.4673913043478261
foldbench100,7zv1_A,136,111,0.3603603603603603,0.2972972972972973
foldbench100,8adc_A,215,170,0.2470588235294117,0.2058823529411764
foldbench100,8add_A,213,210,0.1571428571428571,0.0666666666666666
foldbench100,8ah9_A,120,132,0.7878787878787878,0.9166666666666666
foldbench100,8akh_A,374,321,0.5794392523364486,0.190031152647975
foldbench100,8ak2_A,297,314,0.7292993630573248,0.0573248407643312
foldbench100,8arl_A,246,260,0.0807692307692307,0.2538461538461538
foldbench100,8q8i_A,282,376,0.4095744680851064,0.0159574468085106
foldbench100,8au6_A,321,168,0.1964285714285714,0.1904761904761904
foldbench100,8axj_A,162,143,0.7482517482517482,0.0909090909090909
foldbench100,8azb_A,521,587,0.4940374787052811,0.2470187393526405
foldbench100,8b2e_A,143,130,0.4307692307692308,0.1538461538461538
foldbench100,8b2g_A,74,59,0.7288135593220338,0.0338983050847457
foldbench100,8b2s_A,245,186,0.4516129032258064,0.1559139784946236
