model,range,cut,precision,valid_values,total_values
marinfold-cw-p06-cool-step290400,all,AUC,0.9489451877919481,577,577
marinfold-cw-p06-cool-step290400,all,L,0.5648866347074981,577,577
marinfold-cw-p06-cool-step290400,all,L/2,0.7295824518972062,577,577
marinfold-cw-p06-cool-step290400,all,L/5,0.8271730347353116,577,577
marinfold-cw-p06-cool-step290400,all,R,0.6230897384655386,577,577
marinfold-cw-p06-cool-step290400,long,AUC,0.9358027722904905,576,577
marinfold-cw-p06-cool-step290400,long,L,0.37327727543766115,577,577
marinfold-cw-p06-cool-step290400,long,L/2,0.57706837107947,577,577
marinfold-cw-p06-cool-step290400,long,L/5,0.7220940883886334,577,577
marinfold-cw-p06-cool-step290400,long,R,0.5762100317336256,576,577
marinfold-cw-p06-cool-step290400,medium,AUC,0.9673350248797234,576,577
marinfold-cw-p06-cool-step290400,medium,L,0.18194416853611584,577,577
marinfold-cw-p06-cool-step290400,medium,L/2,0.3402548575209654,577,577
marinfold-cw-p06-cool-step290400,medium,L/5,0.6261758612295356,577,577
marinfold-cw-p06-cool-step290400,medium,R,0.6694107525754399,576,577
marinfold-cw-p06-cool-step290400,short,AUC,0.9664486314056688,577,577
marinfold-cw-p06-cool-step290400,short,L,0.1201360576582785,577,577
marinfold-cw-p06-cool-step290400,short,L/2,0.23060254533522984,577,577
marinfold-cw-p06-cool-step290400,short,L/5,0.4857544505380894,577,577
marinfold-cw-p06-cool-step290400,short,R,0.6886663805919488,577,577
