subset,model,range,cut,precision,valid_values,total_values
universe_577,marinfold-cw-p06-cool-step290400,all,AUC,0.9489451877919481,577,577
universe_577,marinfold-cw-p06-cool-step290400,all,L,0.5648866347074981,577,577
universe_577,marinfold-cw-p06-cool-step290400,all,L/2,0.7295824518972062,577,577
universe_577,marinfold-cw-p06-cool-step290400,all,L/5,0.8271730347353116,577,577
universe_577,marinfold-cw-p06-cool-step290400,all,R,0.6230897384655386,577,577
universe_577,marinfold-cw-p06-cool-step290400,long,AUC,0.9358027722904905,576,577
universe_577,marinfold-cw-p06-cool-step290400,long,L,0.37327727543766115,577,577
universe_577,marinfold-cw-p06-cool-step290400,long,L/2,0.57706837107947,577,577
universe_577,marinfold-cw-p06-cool-step290400,long,L/5,0.7220940883886334,577,577
universe_577,marinfold-cw-p06-cool-step290400,long,R,0.5762100317336256,576,577
universe_577,marinfold-cw-p06-cool-step290400,medium,AUC,0.9673350248797234,576,577
universe_577,marinfold-cw-p06-cool-step290400,medium,L,0.18194416853611584,577,577
universe_577,marinfold-cw-p06-cool-step290400,medium,L/2,0.3402548575209654,577,577
universe_577,marinfold-cw-p06-cool-step290400,medium,L/5,0.6261758612295356,577,577
universe_577,marinfold-cw-p06-cool-step290400,medium,R,0.6694107525754399,576,577
universe_577,marinfold-cw-p06-cool-step290400,short,AUC,0.9664486314056688,577,577
universe_577,marinfold-cw-p06-cool-step290400,short,L,0.1201360576582785,577,577
universe_577,marinfold-cw-p06-cool-step290400,short,L/2,0.23060254533522984,577,577
universe_577,marinfold-cw-p06-cool-step290400,short,L/5,0.4857544505380894,577,577
universe_577,marinfold-cw-p06-cool-step290400,short,R,0.6886663805919488,577,577
legacy_554,marinfold-cw-p06-cool-step290400,all,AUC,0.9511179370850402,554,554
legacy_554,marinfold-cw-p06-cool-step290400,all,L,0.5708430236015553,554,554
legacy_554,marinfold-cw-p06-cool-step290400,all,L/2,0.736293179221225,554,554
legacy_554,marinfold-cw-p06-cool-step290400,all,L/5,0.8320220669800309,554,554
legacy_554,marinfold-cw-p06-cool-step290400,all,R,0.6306825167807124,554,554
legacy_554,marinfold-cw-p06-cool-step290400,long,AUC,0.9382504848650003,553,554
legacy_554,marinfold-cw-p06-cool-step290400,long,L,0.3762647733250067,554,554
legacy_554,marinfold-cw-p06-cool-step290400,long,L/2,0.5829859404817677,554,554
legacy_554,marinfold-cw-p06-cool-step290400,long,L/5,0.7277164909797273,554,554
legacy_554,marinfold-cw-p06-cool-step290400,long,R,0.5837339531176962,553,554
legacy_554,marinfold-cw-p06-cool-step290400,medium,AUC,0.9693722583668973,553,554
legacy_554,marinfold-cw-p06-cool-step290400,medium,L,0.18409780490661373,554,554
legacy_554,marinfold-cw-p06-cool-step290400,medium,L/2,0.34485804436897866,554,554
legacy_554,marinfold-cw-p06-cool-step290400,medium,L/5,0.6353426522647069,554,554
legacy_554,marinfold-cw-p06-cool-step290400,medium,R,0.6775084593382125,553,554
legacy_554,marinfold-cw-p06-cool-step290400,short,AUC,0.9682772861637681,554,554
