model,range,cut,precision,valid_values,total_values
marinfold-e8-reference-step35679,all,AUC,0.9005033737540054,554,554
marinfold-e8-reference-step35679,all,L,0.38253334570852976,554,554
marinfold-e8-reference-step35679,all,L/2,0.5131344237302035,554,554
marinfold-e8-reference-step35679,all,L/5,0.6411846909202156,554,554
marinfold-e8-reference-step35679,all,R,0.42469657144905226,554,554
marinfold-e8-reference-step35679,long,AUC,0.873035842341235,553,554
marinfold-e8-reference-step35679,long,L,0.23765332681024032,554,554
marinfold-e8-reference-step35679,long,L/2,0.3588546154951804,554,554
marinfold-e8-reference-step35679,long,L/5,0.482065552923342,554,554
marinfold-e8-reference-step35679,long,R,0.36605333802632284,553,554
marinfold-e8-reference-step35679,medium,AUC,0.933987049644455,553,554
marinfold-e8-reference-step35679,medium,L,0.16037896623735118,554,554
marinfold-e8-reference-step35679,medium,L/2,0.2701156755756273,554,554
marinfold-e8-reference-step35679,medium,L/5,0.4481893103523781,554,554
marinfold-e8-reference-step35679,medium,R,0.4651417591067076,553,554
marinfold-e8-reference-step35679,short,AUC,0.9498826115097861,554,554
marinfold-e8-reference-step35679,short,L,0.11516807207452487,554,554
marinfold-e8-reference-step35679,short,L/2,0.20665283062005693,554,554
marinfold-e8-reference-step35679,short,L/5,0.39851794326527845,554,554
marinfold-e8-reference-step35679,short,R,0.5544653242909072,554,554
