range,cut,subset,predictor,n,n_valid,mean,sem,n_pairs,delta_marinfold_minus_comparator,ci_lo,ci_hi,significant,split
all,AUC,no_homolog,"MarinFold #199 (1.5B, seq only)",231,231,0.9333773343843327,0.005075490021847001,,,,,,all
all,AUC,no_homolog,Protenix-v2 single-seq,231,231,0.895540123849277,0.008466179784643087,231.0,0.03783721053505582,0.02509115339265279,0.051677673319912285,True,all
all,AUC,no_homolog,ESMFold,231,231,0.8687297742811221,0.010086318208610378,231.0,0.06464756010321072,0.049720331639393045,0.08014179688019633,True,all
all,AUC,no_homolog,ESMFold2,231,231,0.9081283677849105,0.00750248727333233,231.0,0.025248966599422242,0.014376506287896518,0.03679540898608622,True,all
all,AUC,no_homolog,Protenix-v2 + MSA,231,231,0.9207429411847704,0.006247588661297249,231.0,0.012634393199562494,-0.000176453965918708,0.026358116361104383,False,all
all,AUC,no_homolog,seq-KNN k=10 (null),231,231,0.5156487461474091,0.0032137578795820563,231.0,0.4177285882369237,0.40619273817119794,0.42861550874501064,True,all
all,R,no_homolog,"MarinFold #199 (1.5B, seq only)",231,231,0.5486304477982871,0.016841461154925075,,,,,,all
all,R,no_homolog,Protenix-v2 single-seq,231,231,0.7176206409366979,0.016612275965260874,231.0,-0.16899019313841088,-0.1983043040125882,-0.13851979224416291,True,all
all,R,no_homolog,ESMFold,231,231,0.6971186156346713,0.018851121903074166,231.0,-0.14848816783638433,-0.17515778657350572,-0.12182562829501957,True,all
all,R,no_homolog,ESMFold2,231,231,0.7476070315277299,0.014907975043053764,231.0,-0.19897658372944285,-0.22860061849887744,-0.16882850174724012,True,all
all,R,no_homolog,Protenix-v2 + MSA,231,231,0.7637293310231906,0.013178082380410537,231.0,-0.21509888322490364,-0.24758441100153603,-0.18165582990084211,True,all
all,R,no_homolog,seq-KNN k=10 (null),231,231,0.03462182499969246,0.005978027505438133,231.0,0.5140086227985946,0.48071598748657113,0.5475163929227812,True,all
long,AUC,no_homolog,"MarinFold #199 (1.5B, seq only)",230,230,0.9146904788732202,0.006311827562300228,,,,,,all
long,AUC,no_homolog,Protenix-v2 single-seq,230,230,0.8855936823078598,0.009359037318970519,230.0,0.02909679656536033,0.01477478832349153,0.04436948049015625,True,all
long,AUC,no_homolog,ESMFold,230,230,0.8545348883524985,0.011151914864005522,230.0,0.06015559052072173,0.04314222157189097,0.07731441988294713,True,all
long,AUC,no_homolog,ESMFold2,230,230,0.8965253940800828,0.008192492565290945,230.0,0.018165084793137377,0.005325886977742845,0.03126429742554242,True,all
long,AUC,no_homolog,Protenix-v2 + MSA,230,230,0.9148152810865214,0.007136097097369822,230.0,-0.00012480221330131688,-0.015215927780713331,0.015523153291126725,False,all
long,AUC,no_homolog,seq-KNN k=10 (null),230,230,0.5079644660339624,0.002527344335231449,230.0,0.4067260128392578,0.3934240509449679,0.4192718746390681,True,all
long,R,no_homolog,"MarinFold #199 (1.5B, seq only)",230,230,0.4899068924755745,0.018227221208598512,,,,,,all
