split,range,cut,predictor,n,spearman_rho,ci_lo,ci_hi
all,all,AUC,"MarinFold #199 (1.5B, seq only)",315,-0.10380770569435242,-0.22336638880314644,0.010466714103726066
all,all,AUC,Protenix-v2 single-seq,315,-0.37261762242766155,-0.46339523847608927,-0.27177629512262974
all,all,AUC,ESMFold,315,-0.1022939399243319,-0.21515625969782182,0.018529347683270643
all,all,AUC,ESMFold2,315,0.03321312841825653,-0.07860731523017264,0.14418640242208025
all,all,AUC,Protenix-v2 + MSA,315,0.06326662425934479,-0.05597522851409849,0.18420887274601175
all,all,AUC,seq-KNN k=10 (null),315,0.4598547726722697,0.36503150532952083,0.5656577990818137
all,all,R,"MarinFold #199 (1.5B, seq only)",315,-0.11668076845522397,-0.23090928236910058,-0.008048922682256066
all,all,R,Protenix-v2 single-seq,315,-0.3537036179100463,-0.4440707174159871,-0.2612417647679586
all,all,R,ESMFold,315,-0.07136493339253316,-0.17981724922828377,0.03819523263016573
all,all,R,ESMFold2,315,0.07744654213246883,-0.029379539772185596,0.18101996679917068
all,all,R,Protenix-v2 + MSA,315,0.09522170467399366,-0.014354429683779013,0.20271404731269904
all,all,R,seq-KNN k=10 (null),315,0.53376895490716,0.44199705200819533,0.6208427525588438
all,long,AUC,"MarinFold #199 (1.5B, seq only)",315,-0.09299905427916352,-0.19955037030761072,0.021447629126965736
all,long,AUC,Protenix-v2 single-seq,315,-0.3725928583605871,-0.4627010986347822,-0.28187715229254384
all,long,AUC,ESMFold,315,-0.115637166089885,-0.22184922018042896,0.0018257188157786007
all,long,AUC,ESMFold2,315,-0.012107038373056246,-0.1186473497044227,0.09706092442494593
all,long,AUC,Protenix-v2 + MSA,315,0.029998115824710417,-0.08408807173617609,0.13897503822989155
all,long,AUC,seq-KNN k=10 (null),315,0.4455738993652378,0.34193261293676297,0.537187679440332
all,long,R,"MarinFold #199 (1.5B, seq only)",315,-0.1134418739038599,-0.21088337472584898,0.012708338896650505
