subset_definition,split,range,cut,comparator,n_homology_free,n_with_homolog,delta_homology_free,delta_with_homolog,effect,ci_lo,ci_hi,significant
no_homolog,all,all,AUC,Protenix-v2 single-seq,231,323,0.03783721053505582,0.1772059462146202,-0.1393687356795644,-0.16122667385047107,-0.11669419622664375,True
no_homolog,all,all,AUC,ESMFold,231,323,0.06464756010321072,0.03491934428388266,0.029728215819328066,0.012683982614522395,0.04685148562457985,True
no_homolog,all,all,AUC,ESMFold2,231,323,0.025248966599422242,0.025179915002337672,6.905159708456982e-05,-0.013624966382115142,0.01430642077213014,False
no_homolog,all,all,AUC,Protenix-v2 + MSA,231,323,0.012634393199562494,0.004943423100770858,0.0076909700987916356,-0.00735381494219757,0.02277062892927784,False
no_homolog,all,all,AUC,seq-KNN k=10 (null),231,323,0.4177285882369237,0.10904796730445272,0.308680620932471,0.2873808237695949,0.3286550493563844,True
no_homolog,all,all,R,Protenix-v2 single-seq,231,323,-0.16899019313841088,0.1343630941811915,-0.30335328731960237,-0.3460432928717042,-0.2591133252053889,True
no_homolog,all,all,R,ESMFold,231,323,-0.14848816783638433,-0.1412982142807792,-0.007189953555605116,-0.039421733794755776,0.025099307850210622,False
no_homolog,all,all,R,ESMFold2,231,323,-0.19897658372944285,-0.1582856554843251,-0.04069092824511775,-0.07747925193367805,-0.0038805470414553693,True
no_homolog,all,all,R,Protenix-v2 + MSA,231,323,-0.21509888322490364,-0.1905548840272574,-0.024543999197646243,-0.06328842473379001,0.015432242771187701,False
no_homolog,all,all,R,seq-KNN k=10 (null),231,323,0.5140086227985946,0.08884967382110243,0.4251589489774922,0.3797334635259281,0.4725317814619715,True
no_homolog,all,long,AUC,Protenix-v2 single-seq,230,323,0.02909679656536033,0.18443256908028144,-0.15533577251492112,-0.17997383397072753,-0.13084633904658585,True
no_homolog,all,long,AUC,ESMFold,230,323,0.06015559052072173,0.030972509948120973,0.02918308057260076,0.00994755992214423,0.048673308369867815,True
no_homolog,all,long,AUC,ESMFold2,230,323,0.018165084793137377,0.019757573759705223,-0.0015924889665678461,-0.01771878211892851,0.014951180077679245,False
no_homolog,all,long,AUC,Protenix-v2 + MSA,230,323,-0.00012480221330131688,-4.3698856525306126e-05,-8.110335677601075e-05,-0.0173433002450672,0.018123958830689527,False
no_homolog,all,long,AUC,seq-KNN k=10 (null),230,323,0.4067260128392578,0.11041386212490187,0.2963121507143559,0.2735382618903825,0.3189869607248644,True
no_homolog,all,long,R,Protenix-v2 single-seq,230,323,-0.21047115751809942,0.13758800815172742,-0.34805916566982686,-0.39505270660041125,-0.30118638748280213,True
no_homolog,all,long,R,ESMFold,230,323,-0.1765986190825465,-0.16129139402201856,-0.015307225060527951,-0.05370831191525035,0.023204125758682283,False
no_homolog,all,long,R,ESMFold2,230,323,-0.23967854482242346,-0.1792919980388483,-0.06038654678357516,-0.10072283239853122,-0.019582431088182795,True
no_homolog,all,long,R,Protenix-v2 + MSA,230,323,-0.2600006916661676,-0.2094938581134847,-0.05050683355268293,-0.09453633931586472,-0.0071198306353211565,True
no_homolog,all,long,R,seq-KNN k=10 (null),230,323,0.4680379558178917,0.07831837382828555,0.38971958198960616,0.339615094006003,0.43984059188755525,True
no_homolog,natural,all,AUC,Protenix-v2 single-seq,47,111,0.12469968313015,0.2824037590468017,-0.1577040759166517,-0.19787246884348791,-0.1174111236568386,True
no_homolog,natural,all,AUC,ESMFold,47,111,0.1283371816016265,0.04662744674753731,0.08170973485408918,0.04287764422333976,0.12078064412391197,True
no_homolog,natural,all,AUC,ESMFold2,47,111,0.07813181878750508,0.021343930773589804,0.05678788801391528,0.022476881286424225,0.09116698411919487,True
no_homolog,natural,all,AUC,Protenix-v2 + MSA,47,111,-0.0038674957080402053,-0.021891419468613078,0.018023923760572873,-0.019293323527552027,0.05682657238657731,False
no_homolog,natural,all,AUC,seq-KNN k=10 (null),47,111,0.33805777389709846,0.05808670340231861,0.2799710704947799,0.2459511674296472,0.3140862043543084,True
no_homolog,natural,all,R,Protenix-v2 single-seq,47,111,-0.07743812499580437,0.24954868952841022,-0.3269868145242146,-0.40723130190945217,-0.24898530908807495,True
no_homolog,natural,all,R,ESMFold,47,111,-0.10160477326204499,-0.20087874775123618,0.09927397448919119,0.028337290747261948,0.16909137969003812,True
no_homolog,natural,all,R,ESMFold2,47,111,-0.16998896624102874,-0.24679085278899568,0.07680188654796694,0.006546142006010614,0.14576097638004648,True
no_homolog,natural,all,R,Protenix-v2 + MSA,47,111,-0.3003263446864607,-0.3239248924055157,0.023598547719055007,-0.06478038142665499,0.11411244933053617,False
no_homolog,natural,all,R,seq-KNN k=10 (null),47,111,0.28574026460923196,-0.07556966782273437,0.36130993243196635,0.29221726779054963,0.43226595223391473,True
no_homolog,natural,long,AUC,Protenix-v2 single-seq,47,111,0.11389595463676946,0.2854566627677507,-0.17156070813098126,-0.2150746935673754,-0.12686366235600624,True
no_homolog,natural,long,AUC,ESMFold,47,111,0.11410302410031874,0.04149359108400194,0.0726094330163168,0.02946281726116781,0.11550531981813739,True
no_homolog,natural,long,AUC,ESMFold2,47,111,0.059618512505191616,0.013758166348442747,0.04586034615674887,0.008393630444446807,0.08347916279884451,True
no_homolog,natural,long,AUC,Protenix-v2 + MSA,47,111,-0.02364423728137248,-0.029809846313954457,0.006165609032581978,-0.03753138228358641,0.050923254424840456,False
no_homolog,natural,long,AUC,seq-KNN k=10 (null),47,111,0.322824800274517,0.0489933293040149,0.2738314709705021,0.23412667883647859,0.3133157683112331,True
no_homolog,natural,long,R,Protenix-v2 single-seq,47,111,-0.09621503875660707,0.25564773946212244,-0.3518627782187295,-0.4420429283103791,-0.2582067520279451,True
no_homolog,natural,long,R,ESMFold,47,111,-0.11631221075607964,-0.21272443311521852,0.09641222235913888,0.019423176364486955,0.17383688579784778,True
no_homolog,natural,long,R,ESMFold2,47,111,-0.18606203150159883,-0.2622500554874344,0.07618802398583557,-0.00869634996711193,0.16942825459137462,False
no_homolog,natural,long,R,Protenix-v2 + MSA,47,111,-0.32176341559509947,-0.34054943640229046,0.018786020807190995,-0.08237121563160217,0.1247035048490941,False
no_homolog,natural,long,R,seq-KNN k=10 (null),47,111,0.25617426528056086,-0.09698582456032159,0.35316008984088243,0.2712108587568274,0.441838982843946,True
no_homolog,designed,all,AUC,Protenix-v2 single-seq,184,212,0.01564951373087417,0.12212595930720443,-0.10647644557633026,-0.13140064732697543,-0.08157341357781087,True
no_homolog,designed,all,AUC,ESMFold,184,212,0.04837901548133279,0.028789158559988006,0.019589856921344784,0.0026509567150783922,0.03749283556209962,True
no_homolog,designed,all,AUC,ESMFold2,184,212,0.011740846747031521,0.02718837844286132,-0.015447531695829799,-0.028853526494031275,-0.0018422710531414612,True
no_homolog,designed,all,AUC,Protenix-v2 + MSA,184,212,0.016849549605308833,0.018993741615872826,-0.0021441920105639937,-0.016624293960850994,0.013056662287437801,False
no_homolog,designed,all,AUC,seq-KNN k=10 (null),184,212,0.43807928537807467,0.13573051585698523,0.30234876952108947,0.27725120399645353,0.3272280029549798,True
no_homolog,designed,all,R,Protenix-v2 single-seq,184,212,-0.19237577576179407,0.07405365510788356,-0.26642943086967763,-0.3163758809748206,-0.21471512835074869,True
no_homolog,designed,all,R,ESMFold,184,212,-0.16046381753743835,-0.11010274628445504,-0.05036107125298331,-0.08482894774619285,-0.015983024269743653,True
no_homolog,designed,all,R,ESMFold2,184,212,-0.20638102950093992,-0.11194567010310602,-0.0944353593978339,-0.13345703161706904,-0.05425040875888627,True
no_homolog,designed,all,R,Protenix-v2 + MSA,184,212,-0.19332882513417984,-0.1207243607726033,-0.07260446436157654,-0.11188638808166221,-0.031644698325453996,True
no_homolog,designed,all,R,seq-KNN k=10 (null),184,212,0.5723163012491383,0.17493715930443207,0.39737914194470625,0.3462923039388255,0.4483932826412027,True
no_homolog,designed,long,AUC,Protenix-v2 single-seq,183,212,0.0073177778257087975,0.13153787851750273,-0.12422010069179393,-0.15186293881148646,-0.09667359030051884,True
no_homolog,designed,long,AUC,ESMFold,183,212,0.04630023872705474,0.02546383067414556,0.020836408052909185,0.0009811671676154248,0.041314217719463614,True
no_homolog,designed,long,AUC,ESMFold2,183,212,0.007518576036489578,0.022898772923149253,-0.015380196886659675,-0.03147279686675652,0.0017625298946742324,False
no_homolog,designed,long,AUC,Protenix-v2 + MSA,183,212,0.005915708432596744,0.015541406651845618,-0.009625698219248875,-0.02726452516359582,0.008626684454400292,False
no_homolog,designed,long,AUC,seq-KNN k=10 (null),183,212,0.428274411694683,0.1425727260075361,0.28570168568714693,0.2585755990242787,0.31253798374368713,True
no_homolog,designed,long,R,Protenix-v2 single-seq,183,212,-0.23981562517815477,0.07577371487128476,-0.3155893400494395,-0.3715147045021275,-0.25983601119697863,True
no_homolog,designed,long,R,ESMFold,183,212,-0.19208201357076482,-0.13436183110057895,-0.05772018247018587,-0.10278295794247896,-0.013002120613923477,True
no_homolog,designed,long,R,ESMFold2,183,212,-0.2534489061671162,-0.13585641135586213,-0.11759249481125406,-0.16238756738028381,-0.07284617613961694,True
no_homolog,designed,long,R,Protenix-v2 + MSA,183,212,-0.24413813415436542,-0.14087513551887415,-0.10326299863549127,-0.14856450942287017,-0.0582595014064017,True
no_homolog,designed,long,R,seq-KNN k=10 (null),183,212,0.5224510348083538,0.1701050060034525,0.3523460288049013,0.2976355936127005,0.40880822803774136,True
no_hit_at_all,all,all,AUC,Protenix-v2 single-seq,62,492,0.0357670630367709,0.12959422429398462,-0.09382716125721371,-0.12902645560049422,-0.05579449013385348,True
no_hit_at_all,all,all,AUC,ESMFold,62,492,0.057891798008163145,0.045982201445182246,0.0119095965629809,-0.025869453048981306,0.053122384818911295,False
no_hit_at_all,all,all,AUC,ESMFold2,62,492,0.010989693683270773,0.02700053419076996,-0.016010840507499187,-0.04158072773499106,0.012327072227863509,False
no_hit_at_all,all,all,AUC,Protenix-v2 + MSA,62,492,0.029638957499723492,0.005442388466798916,0.024196569032924577,-0.007970706094078905,0.0584087655310334,False
no_hit_at_all,all,all,AUC,seq-KNN k=10 (null),62,492,0.4327259892447712,0.21318858940831664,0.21953739983645454,0.19478615962563306,0.243543447629518,True
no_hit_at_all,all,all,R,Protenix-v2 single-seq,62,492,-0.21522298934172998,0.03598855720475448,-0.2512115465464845,-0.3279569886108087,-0.16724716664003317,True
no_hit_at_all,all,all,R,ESMFold,62,492,-0.20996442655980954,-0.13602092588656153,-0.07394350067324801,-0.1397010245478754,-0.00470791006595001,True
no_hit_at_all,all,all,R,ESMFold2,62,492,-0.2821563093172533,-0.16178082598631827,-0.12037548333093501,-0.1894727708218983,-0.04162552521750181,True
no_hit_at_all,all,all,R,Protenix-v2 + MSA,62,492,-0.22662293873306677,-0.19753342960224946,-0.029089509130817315,-0.10303066569219357,0.05340903163850179,False
no_hit_at_all,all,all,R,seq-KNN k=10 (null),62,492,0.48525270295754264,0.23851375798236546,0.24673894497517718,0.18727740214413588,0.3076650130697875,True
no_hit_at_all,all,long,AUC,Protenix-v2 single-seq,61,492,0.02181148095524178,0.13197862334287408,-0.1101671423876323,-0.15065307719353924,-0.06739437986838367,True
