DMS_id,orderings,min_context_fraction,spearman,n_variants,n_dropped,site_out_of_range,wt_mismatch,undefined_ratio
A0A192B1T2_9HIV1_Haddox_2018,1,0.0,-0.031972604309713534,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,4,0.0,-0.03527972774777474,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,16,0.0,-0.03647806170182467,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,16,0.5,-0.04033848041841173,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,16,0.75,-0.029782466796471386,12463,114,0,0,114
A0A192B1T2_9HIV1_Haddox_2018,64,0.0,-0.04169707011016341,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,64,0.5,-0.03923390601492078,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,64,0.75,-0.02912694438024341,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,64,0.9,-0.025881521937693067,12558,19,0,0,19
A0A192B1T2_9HIV1_Haddox_2018,200,0.0,-0.04267447127560933,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,200,0.5,-0.040809185952209025,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,200,0.75,-0.032886754969502385,12577,0,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,200,0.9,-0.028468188414542975,12577,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,1,0.0,-0.08329358021589715,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,4,0.0,-0.07518308575705253,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,16,0.0,-0.06705467324487896,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,16,0.5,-0.057106767570234584,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,16,0.75,-0.04638583995196061,911,11,0,0,11
A0A1I9GEU1_NEIME_Kennouche_2019,64,0.0,-0.05767872728393618,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,64,0.5,-0.054795243077366614,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,64,0.75,-0.0456623088436179,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,64,0.9,-0.03856218098211465,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,200,0.0,-0.05915650719439782,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,200,0.5,-0.056247640413925104,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,200,0.75,-0.04783993774325398,922,0,0,0,0
A0A1I9GEU1_NEIME_Kennouche_2019,200,0.9,-0.03877001073755692,922,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,1,0.0,0.01302790961765585,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,4,0.0,0.027720427384974607,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,16,0.0,0.01735973269641508,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,16,0.5,0.045197312205954056,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,16,0.75,0.05376395956731712,1615,38,0,0,38
A0A247D711_LISMN_Stadelmann_2021,64,0.0,0.00952332014229686,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,64,0.5,0.044560479744947895,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,64,0.75,0.05977284231301608,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,64,0.9,0.07677789328001525,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,200,0.0,0.007458547917327723,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,200,0.5,0.042438625797015385,1653,0,0,0,0
A0A247D711_LISMN_Stadelmann_2021,200,0.75,0.06558424318694767,1653,0,0,0,0
