arm,pair_class,seed,n_candidate,n_true,r_precision,precision_at_L,auc
cp,all,0,16110,166,0.536144578313253,0.48148148148148145,0.9611331678948608
cp,within-segment,0,7589,87,0.6436781609195402,0.38095238095238093,0.9920396706472143
cp,cross-segment,0,8521,79,0.3670886075949367,0.23809523809523808,0.9311467076912003
wt,all,0,16110,156,0.6346153846153846,0.5767195767195767,0.9803395097443613
wt,within-segment,0,7589,82,0.6951219512195121,0.4074074074074074,0.9839223229051259
wt,cross-segment,0,8521,74,0.527027027027027,0.31216931216931215,0.9759741984200372
cp,all,1,16110,166,0.5301204819277109,0.48677248677248675,0.9563513713660462
cp,within-segment,1,7589,87,0.6436781609195402,0.3862433862433862,0.992506212902613
cp,cross-segment,1,8521,79,0.379746835443038,0.2275132275132275,0.921210703564756
wt,all,1,16110,156,0.6346153846153846,0.5555555555555556,0.9705678264111887
wt,within-segment,1,7589,82,0.6951219512195121,0.4021164021164021,0.9956552745892452
wt,cross-segment,1,8521,74,0.527027027027027,0.30158730158730157,0.9425327719100655
cp,all,2,16110,166,0.5301204819277109,0.49206349206349204,0.9442825869458769
cp,within-segment,2,7589,87,0.6436781609195402,0.38095238095238093,0.9860581239638777
cp,cross-segment,2,8521,79,0.4177215189873418,0.23809523809523808,0.9047604053271917
wt,all,2,16110,156,0.6282051282051282,0.5661375661375662,0.9868887876362491
wt,within-segment,2,7589,82,0.7439024390243902,0.4074074074074074,0.9897429066204876
wt,cross-segment,2,8521,74,0.5405405405405406,0.30158730158730157,0.9833452785092419
cp,all,3,16110,166,0.5240963855421686,0.47619047619047616,0.9483397085582672
cp,within-segment,3,7589,87,0.6551724137931034,0.3968253968253968,0.9797433328123994
cp,cross-segment,3,8521,79,0.3670886075949367,0.25396825396825395,0.9195245892298604
wt,all,3,16110,156,0.6346153846153846,0.5608465608465608,0.9836898872720611
wt,within-segment,3,7589,82,0.7073170731707317,0.4074074074074074,0.9903204163918554
wt,cross-segment,3,8521,74,0.527027027027027,0.30158730158730157,0.975987796722969
cp,all,4,16110,166,0.5542168674698795,0.5079365079365079,0.9645880310000665
cp,within-segment,4,7589,87,0.6551724137931034,0.37566137566137564,0.9860374398244758
cp,cross-segment,4,8521,79,0.45569620253164556,0.24867724867724866,0.9457924362515332
wt,all,4,16110,156,0.6217948717948718,0.5661375661375662,0.983104470223688
wt,within-segment,4,7589,82,0.6951219512195121,0.4126984126984127,0.9895447176131545
wt,cross-segment,4,8521,74,0.527027027027027,0.30158730158730157,0.9757014324612288
cp,all,5,16110,166,0.5301204819277109,0.48677248677248675,0.9699624514112648
cp,within-segment,5,7589,87,0.6091954022988506,0.3862433862433862,0.9861975503850313
cp,cross-segment,5,8521,79,0.43037974683544306,0.2804232804232804,0.9569977118626277
wt,all,5,16110,156,0.6089743589743589,0.5502645502645502,0.9771962581524447
wt,within-segment,5,7589,82,0.7073170731707317,0.4021164021164021,0.9831490608765152
wt,cross-segment,5,8521,74,0.5,0.31216931216931215,0.9702573118874764
cp,all,6,16110,166,0.536144578313253,0.49206349206349204,0.9626310686801395
cp,within-segment,6,7589,87,0.6666666666666666,0.3915343915343915,0.9914382984460848
cp,cross-segment,6,8521,79,0.379746835443038,0.24338624338624337,0.9359763869021379
wt,all,6,16110,156,0.6153846153846154,0.5714285714285714,0.973753467501117
wt,within-segment,6,7589,82,0.7073170731707317,0.4021164021164021,0.989886674875807
wt,cross-segment,6,8521,74,0.527027027027027,0.30158730158730157,0.955615139230624
cp,all,7,16110,166,0.5120481927710844,0.48677248677248675,0.9625645708775895
cp,within-segment,7,7589,87,0.6666666666666666,0.38095238095238093,0.9853326469263368
cp,cross-segment,7,8521,79,0.46835443037974683,0.2751322751322751,0.9410369790588947
wt,all,7,16110,156,0.6410256410256411,0.5502645502645502,0.989358829712346
wt,within-segment,7,7589,82,0.6829268292682927,0.4074074074074074,0.9895203501122529
wt,cross-segment,7,8521,74,0.5135135135135135,0.30158730158730157,0.988786999382477
cp,all,8,16110,166,0.5301204819277109,0.48677248677248675,0.957459731046615
cp,within-segment,8,7589,87,0.6781609195402298,0.3915343915343915,0.9918696010565764
cp,cross-segment,8,8521,79,0.4050632911392405,0.2328042328042328,0.9247718610083997
wt,all,8,16110,156,0.6346153846153846,0.5608465608465608,0.9894184964465145
wt,within-segment,8,7589,82,0.6707317073170732,0.4074074074074074,0.9894415618593378
wt,cross-segment,8,8521,74,0.5405405405405406,0.32275132275132273,0.9890093716304205
cp,all,9,16110,166,0.5240963855421686,0.48677248677248675,0.9446269775539691
cp,within-segment,9,7589,87,0.632183908045977,0.3862433862433862,0.985797657023261
cp,cross-segment,9,8521,79,0.3670886075949367,0.2275132275132275,0.9042550958288726
wt,all,9,16110,156,0.6282051282051282,0.5661375661375662,0.986630231788186
wt,within-segment,9,7589,82,0.6951219512195121,0.4126984126984127,0.9959184435989824
wt,cross-segment,9,8521,74,0.5135135135135135,0.30158730158730157,0.9758670117969278
