subset,model,range,cut,precision,valid_values,total_values
universe_670,marinfold-e8-reference-step35679,all,AUC,0.8910381294521705,670,670
universe_670,marinfold-e8-reference-step35679,all,L,0.35986929633327347,670,670
universe_670,marinfold-e8-reference-step35679,all,L/2,0.4831486053974519,670,670
universe_670,marinfold-e8-reference-step35679,all,L/5,0.6100897320644244,670,670
universe_670,marinfold-e8-reference-step35679,all,R,0.3983745333799575,670,670
universe_670,marinfold-e8-reference-step35679,long,AUC,0.8627803458025906,669,670
universe_670,marinfold-e8-reference-step35679,long,L,0.22627414255567663,670,670
universe_670,marinfold-e8-reference-step35679,long,L/2,0.3371079681874693,670,670
universe_670,marinfold-e8-reference-step35679,long,L/5,0.45662952213610897,670,670
universe_670,marinfold-e8-reference-step35679,long,R,0.3403039747253875,669,670
universe_670,marinfold-e8-reference-step35679,medium,AUC,0.9269326371823642,669,670
universe_670,marinfold-e8-reference-step35679,medium,L,0.15190135805511273,670,670
universe_670,marinfold-e8-reference-step35679,medium,L/2,0.2546995512422966,670,670
universe_670,marinfold-e8-reference-step35679,medium,L/5,0.4189825561214395,670,670
universe_670,marinfold-e8-reference-step35679,medium,R,0.437392516976329,669,670
universe_670,marinfold-e8-reference-step35679,short,AUC,0.9405082300568012,670,670
universe_670,marinfold-e8-reference-step35679,short,L,0.11181597582042829,670,670
universe_670,marinfold-e8-reference-step35679,short,L/2,0.19925299484274042,670,670
universe_670,marinfold-e8-reference-step35679,short,L/5,0.3793130439190956,670,670
universe_670,marinfold-e8-reference-step35679,short,R,0.5203688831478881,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,all,AUC,0.9448269676883858,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,all,L,0.5432788943592217,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,all,L/2,0.7094163566061021,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,all,L/5,0.8186146310016543,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,all,R,0.5974700100384941,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,long,AUC,0.930913939181264,669,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,long,L,0.36441860284410194,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,long,L/2,0.5579887800209872,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,long,L/5,0.708522263281789,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,long,R,0.5527406407041242,669,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,medium,AUC,0.9659284842075768,669,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L,0.17673433432542807,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/2,0.32646856354742215,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/5,0.5984638794240814,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,medium,R,0.6423534552082738,669,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,short,AUC,0.9659094086532403,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,short,L,0.11865173683146399,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,short,L/2,0.22591822154185018,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,short,L/5,0.4746835338682729,670,670
universe_670,marinfold-exp232-decontam-train-m2-p06-step363000,short,R,0.6612416709581493,670,670
legacy_554,marinfold-e8-reference-step35679,all,AUC,0.9008915105400972,554,554
legacy_554,marinfold-e8-reference-step35679,all,L,0.381551979954411,554,554
legacy_554,marinfold-e8-reference-step35679,all,L/2,0.5106545165138314,554,554
legacy_554,marinfold-e8-reference-step35679,all,L/5,0.6383893253777774,554,554
legacy_554,marinfold-e8-reference-step35679,all,R,0.4235235068765497,554,554
legacy_554,marinfold-e8-reference-step35679,long,AUC,0.8735739431618409,553,554
legacy_554,marinfold-e8-reference-step35679,long,L,0.23718983464489646,554,554
legacy_554,marinfold-e8-reference-step35679,long,L/2,0.356674091005831,554,554
