model,range,cut,precision,valid_values,total_values
marinfold-e8-reference-step35679,all,AUC,0.8951543380645705,577,577
marinfold-e8-reference-step35679,all,L,0.37479243432061843,577,577
marinfold-e8-reference-step35679,all,L/2,0.5012209576298201,577,577
marinfold-e8-reference-step35679,all,L/5,0.6273476645693401,577,577
marinfold-e8-reference-step35679,all,R,0.4153092557668325,577,577
marinfold-e8-reference-step35679,long,AUC,0.8668439030267402,576,577
marinfold-e8-reference-step35679,long,L,0.23183530210521275,577,577
marinfold-e8-reference-step35679,long,L/2,0.34900903162379754,577,577
marinfold-e8-reference-step35679,long,L/5,0.46963792832474116,577,577
marinfold-e8-reference-step35679,long,R,0.3545245283704906,576,577
marinfold-e8-reference-step35679,medium,AUC,0.930726570352556,576,577
marinfold-e8-reference-step35679,medium,L,0.15716105026455773,577,577
marinfold-e8-reference-step35679,medium,L/2,0.2653177497698223,577,577
marinfold-e8-reference-step35679,medium,L/5,0.43610698717410046,577,577
marinfold-e8-reference-step35679,medium,R,0.4528168911710456,576,577
marinfold-e8-reference-step35679,short,AUC,0.9450405396923052,577,577
marinfold-e8-reference-step35679,short,L,0.11422385120922299,577,577
marinfold-e8-reference-step35679,short,L/2,0.20395208368839945,577,577
marinfold-e8-reference-step35679,short,L/5,0.38985535114984077,577,577
marinfold-e8-reference-step35679,short,R,0.5415009901440125,577,577
marinfold-exp232-decontam-m1-p02-step145199,all,AUC,0.9362791800686394,577,577
marinfold-exp232-decontam-m1-p02-step145199,all,L,0.513052277523732,577,577
marinfold-exp232-decontam-m1-p02-step145199,all,L/2,0.6724411048438401,577,577
marinfold-exp232-decontam-m1-p02-step145199,all,L/5,0.7870840707094618,577,577
marinfold-exp232-decontam-m1-p02-step145199,all,R,0.5708026063089133,577,577
marinfold-exp232-decontam-m1-p02-step145199,long,AUC,0.9191252851468723,576,577
marinfold-exp232-decontam-m1-p02-step145199,long,L,0.33738989094002375,577,577
marinfold-exp232-decontam-m1-p02-step145199,long,L/2,0.5182704957089584,577,577
marinfold-exp232-decontam-m1-p02-step145199,long,L/5,0.6605462085163435,577,577
marinfold-exp232-decontam-m1-p02-step145199,long,R,0.5207412961660987,576,577
marinfold-exp232-decontam-m1-p02-step145199,medium,AUC,0.9600942107030614,576,577
marinfold-exp232-decontam-m1-p02-step145199,medium,L,0.17702744637903498,577,577
marinfold-exp232-decontam-m1-p02-step145199,medium,L/2,0.3237808409273268,577,577
marinfold-exp232-decontam-m1-p02-step145199,medium,L/5,0.5807113936649776,577,577
marinfold-exp232-decontam-m1-p02-step145199,medium,R,0.6207505437641085,576,577
marinfold-exp232-decontam-m1-p02-step145199,short,AUC,0.9632804860435484,577,577
marinfold-exp232-decontam-m1-p02-step145199,short,L,0.11896930327497716,577,577
marinfold-exp232-decontam-m1-p02-step145199,short,L/2,0.22479624237646897,577,577
marinfold-exp232-decontam-m1-p02-step145199,short,L/5,0.4610411026054706,577,577
marinfold-exp232-decontam-m1-p02-step145199,short,R,0.6462212733413795,577,577
marinfold-exp232-decontam-m2-p06-step145199,all,AUC,0.9402658207844696,577,577
marinfold-exp232-decontam-m2-p06-step145199,all,L,0.5269864059253471,577,577
marinfold-exp232-decontam-m2-p06-step145199,all,L/2,0.6874915597836243,577,577
marinfold-exp232-decontam-m2-p06-step145199,all,L/5,0.7950476645784676,577,577
marinfold-exp232-decontam-m2-p06-step145199,all,R,0.584789517621736,577,577
marinfold-exp232-decontam-m2-p06-step145199,long,AUC,0.9256110263397139,576,577
marinfold-exp232-decontam-m2-p06-step145199,long,L,0.34458805342598403,577,577
marinfold-exp232-decontam-m2-p06-step145199,long,L/2,0.5337335490705862,577,577
marinfold-exp232-decontam-m2-p06-step145199,long,L/5,0.6757301782918573,577,577
marinfold-exp232-decontam-m2-p06-step145199,long,R,0.5348798122307847,576,577
marinfold-exp232-decontam-m2-p06-step145199,medium,AUC,0.9625306212379695,576,577
marinfold-exp232-decontam-m2-p06-step145199,medium,L,0.17880527251030112,577,577
marinfold-exp232-decontam-m2-p06-step145199,medium,L/2,0.32661412911290894,577,577
marinfold-exp232-decontam-m2-p06-step145199,medium,L/5,0.5926725902762182,577,577
marinfold-exp232-decontam-m2-p06-step145199,medium,R,0.63368269433694,576,577
marinfold-exp232-decontam-m2-p06-step145199,short,AUC,0.9624007498321375,577,577
marinfold-exp232-decontam-m2-p06-step145199,short,L,0.11894231836301095,577,577
marinfold-exp232-decontam-m2-p06-step145199,short,L/2,0.22593075212772504,577,577
marinfold-exp232-decontam-m2-p06-step145199,short,L/5,0.46706498155304604,577,577
marinfold-exp232-decontam-m2-p06-step145199,short,R,0.657690477313763,577,577
