model,range,cut,precision,valid_values,total_values
marinfold-exp199-cw-p06-cool-step290400,all,AUC,0.9567430661995401,333,333
marinfold-exp199-cw-p06-cool-step290400,all,L,0.5772703193215994,333,333
marinfold-exp199-cw-p06-cool-step290400,all,L/2,0.7592240092818286,333,333
marinfold-exp199-cw-p06-cool-step290400,all,L/5,0.8668588749584806,333,333
marinfold-exp199-cw-p06-cool-step290400,all,R,0.6064602904775511,333,333
marinfold-exp199-cw-p06-cool-step290400,long,AUC,0.9495611602295858,333,333
marinfold-exp199-cw-p06-cool-step290400,long,L,0.4345413953266423,333,333
marinfold-exp199-cw-p06-cool-step290400,long,L/2,0.6409065041194637,333,333
marinfold-exp199-cw-p06-cool-step290400,long,L/5,0.804838585744873,333,333
marinfold-exp199-cw-p06-cool-step290400,long,R,0.5877884567407075,333,333
marinfold-exp199-cw-p06-cool-step290400,medium,AUC,0.9678675707608371,333,333
marinfold-exp199-cw-p06-cool-step290400,medium,L,0.15588766329664747,333,333
marinfold-exp199-cw-p06-cool-step290400,medium,L/2,0.2895961468764383,333,333
marinfold-exp199-cw-p06-cool-step290400,medium,L/5,0.5524193295665604,333,333
marinfold-exp199-cw-p06-cool-step290400,medium,R,0.6261581415321175,333,333
marinfold-exp199-cw-p06-cool-step290400,short,AUC,0.962586213383864,333,333
marinfold-exp199-cw-p06-cool-step290400,short,L,0.11954308969353593,333,333
marinfold-exp199-cw-p06-cool-step290400,short,L/2,0.22630956934194138,333,333
marinfold-exp199-cw-p06-cool-step290400,short,L/5,0.47684608002774387,333,333
marinfold-exp199-cw-p06-cool-step290400,short,R,0.6385250364663754,333,333
marinfold-exp232-decontam-m1-p02-step145199,all,AUC,0.9244585464172987,333,333
marinfold-exp232-decontam-m1-p02-step145199,all,L,0.46913458206600994,333,333
marinfold-exp232-decontam-m1-p02-step145199,all,L/2,0.6291192039325879,333,333
marinfold-exp232-decontam-m1-p02-step145199,all,L/5,0.7616635370100074,333,333
marinfold-exp232-decontam-m1-p02-step145199,all,R,0.49269288722011034,333,333
marinfold-exp232-decontam-m1-p02-step145199,long,AUC,0.9111063444958242,333,333
marinfold-exp232-decontam-m1-p02-step145199,long,L,0.349273945102437,333,333
marinfold-exp232-decontam-m1-p02-step145199,long,L/2,0.509953432208363,333,333
marinfold-exp232-decontam-m1-p02-step145199,long,L/5,0.6755844830866399,333,333
marinfold-exp232-decontam-m1-p02-step145199,long,R,0.46286720813942067,333,333
marinfold-exp232-decontam-m1-p02-step145199,medium,AUC,0.9426113504704985,333,333
marinfold-exp232-decontam-m1-p02-step145199,medium,L,0.14371151900102055,333,333
marinfold-exp232-decontam-m1-p02-step145199,medium,L/2,0.2545345231774958,333,333
marinfold-exp232-decontam-m1-p02-step145199,medium,L/5,0.46718003711971035,333,333
marinfold-exp232-decontam-m1-p02-step145199,medium,R,0.5216831624740506,333,333
marinfold-exp232-decontam-m1-p02-step145199,short,AUC,0.9443326800244592,333,333
marinfold-exp232-decontam-m1-p02-step145199,short,L,0.11452087082805382,333,333
marinfold-exp232-decontam-m1-p02-step145199,short,L/2,0.20775042449135445,333,333
marinfold-exp232-decontam-m1-p02-step145199,short,L/5,0.41818092227804393,333,333
marinfold-exp232-decontam-m1-p02-step145199,short,R,0.545992921944877,333,333
marinfold-exp232-decontam-m2-p06-step145199,all,AUC,0.9380076449003402,333,333
marinfold-exp232-decontam-m2-p06-step145199,all,L,0.5098268113783553,333,333
marinfold-exp232-decontam-m2-p06-step145199,all,L/2,0.681012933523523,333,333
marinfold-exp232-decontam-m2-p06-step145199,all,L/5,0.8056021877468186,333,333
marinfold-exp232-decontam-m2-p06-step145199,all,R,0.5355193500236446,333,333
marinfold-exp232-decontam-m2-p06-step145199,long,AUC,0.9276935277581194,333,333
marinfold-exp232-decontam-m2-p06-step145199,long,L,0.3813546941208198,333,333
marinfold-exp232-decontam-m2-p06-step145199,long,L/2,0.5618009033799316,333,333
marinfold-exp232-decontam-m2-p06-step145199,long,L/5,0.7268404527048463,333,333
marinfold-exp232-decontam-m2-p06-step145199,long,R,0.511642769402493,333,333
marinfold-exp232-decontam-m2-p06-step145199,medium,AUC,0.9527718561621813,333,333
marinfold-exp232-decontam-m2-p06-step145199,medium,L,0.14804297104646344,333,333
marinfold-exp232-decontam-m2-p06-step145199,medium,L/2,0.2675664406011633,333,333
marinfold-exp232-decontam-m2-p06-step145199,medium,L/5,0.49820525995733034,333,333
marinfold-exp232-decontam-m2-p06-step145199,medium,R,0.5574867274383967,333,333
marinfold-exp232-decontam-m2-p06-step145199,short,AUC,0.9505294095249648,333,333
marinfold-exp232-decontam-m2-p06-step145199,short,L,0.11619890969596067,333,333
marinfold-exp232-decontam-m2-p06-step145199,short,L/2,0.21385964517853515,333,333
marinfold-exp232-decontam-m2-p06-step145199,short,L/5,0.4386162468054579,333,333
marinfold-exp232-decontam-m2-p06-step145199,short,R,0.5727645601912676,333,333
