eval_set,stratum,predictor,range,cut,value,n
eval-denovo,all,#199 cooldown (contaminated),all,AUC,0.9668991432687108,19
eval-denovo,all,#199 cooldown (contaminated),all,R,0.6188362267155597,19
eval-denovo,all,#199 cooldown (contaminated),long,AUC,0.9553213531119651,19
eval-denovo,all,#199 cooldown (contaminated),long,R,0.5726387157407323,19
eval-denovo,all,#232 m1-p02 (decontaminated),all,AUC,0.9657666094306936,19
eval-denovo,all,#232 m1-p02 (decontaminated),all,R,0.5878697377395716,19
eval-denovo,all,#232 m1-p02 (decontaminated),long,AUC,0.9522777617997155,19
eval-denovo,all,#232 m1-p02 (decontaminated),long,R,0.5481940978167771,19
eval-denovo,all,#232 m2-p06 (decontaminated),all,AUC,0.9637388263427876,19
eval-denovo,all,#232 m2-p06 (decontaminated),all,R,0.5913805855058719,19
eval-denovo,all,#232 m2-p06 (decontaminated),long,AUC,0.9510462216543374,19
eval-denovo,all,#232 m2-p06 (decontaminated),long,R,0.5489256295770376,19
eval-denovo,all,ESMFold,all,AUC,0.9451433294582825,4
eval-denovo,all,ESMFold,all,R,0.7950781980579187,19
eval-denovo,all,ESMFold,long,AUC,0.9454875735853839,4
eval-denovo,all,ESMFold,long,R,0.7721811325805167,19
eval-denovo,all,ESMFold2,all,AUC,0.9430411213876742,4
eval-denovo,all,ESMFold2,all,R,0.8635095533315522,19
eval-denovo,all,ESMFold2,long,AUC,0.94745909938289,4
eval-denovo,all,ESMFold2,long,R,0.8534924315828892,19
eval-denovo,all,Protenix-v2 + MSA,all,AUC,0.9388716573769353,4
eval-denovo,all,Protenix-v2 + MSA,all,R,0.844401373991464,19
eval-denovo,all,Protenix-v2 + MSA,long,AUC,0.9180672662799125,4
eval-denovo,all,Protenix-v2 + MSA,long,R,0.8325490696053441,19
eval-denovo,all,Protenix-v2 single-seq,all,AUC,0.9396014289755376,4
eval-denovo,all,Protenix-v2 single-seq,all,R,0.835070779859612,19
eval-denovo,all,Protenix-v2 single-seq,long,AUC,0.9182115042970259,4
eval-denovo,all,Protenix-v2 single-seq,long,R,0.8250508506736092,19
eval-denovo,all,seq-KNN (decontaminated corpus),all,AUC,0.5225576922344162,19
eval-denovo,all,seq-KNN (decontaminated corpus),all,R,0.050284080503353604,19
eval-denovo,all,seq-KNN (decontaminated corpus),long,AUC,0.5064968365906266,19
eval-denovo,all,seq-KNN (decontaminated corpus),long,R,0.03024079504547062,19
eval-denovo,all,seq-KNN (unfiltered corpus),all,AUC,0.5300019231818203,19
eval-denovo,all,seq-KNN (unfiltered corpus),all,R,0.06594705197377539,19
eval-denovo,all,seq-KNN (unfiltered corpus),long,AUC,0.5115673680652848,19
eval-denovo,all,seq-KNN (unfiltered corpus),long,R,0.0397437190220788,19
eval-test,all,#199 cooldown (contaminated),all,AUC,0.9583553369141693,217
eval-test,all,#199 cooldown (contaminated),all,R,0.6131841080469917,217
eval-test,all,#199 cooldown (contaminated),long,AUC,0.951995757348198,217
eval-test,all,#199 cooldown (contaminated),long,R,0.5945341917549347,217
eval-test,all,#232 m1-p02 (decontaminated),all,AUC,0.925439537578107,217
eval-test,all,#232 m1-p02 (decontaminated),all,R,0.49309655879073966,217
eval-test,all,#232 m1-p02 (decontaminated),long,AUC,0.9130539761142972,217
eval-test,all,#232 m1-p02 (decontaminated),long,R,0.46202349377501456,217
eval-test,all,#232 m2-p06 (decontaminated),all,AUC,0.9389570841307029,217
eval-test,all,#232 m2-p06 (decontaminated),all,R,0.5376552851103138,217
eval-test,all,#232 m2-p06 (decontaminated),long,AUC,0.9298624773573143,217
eval-test,all,#232 m2-p06 (decontaminated),long,R,0.5128096398272495,217
eval-test,all,ESMFold,all,AUC,,0
eval-test,all,ESMFold,all,R,0.7534202975640663,217
eval-test,all,ESMFold,long,AUC,,0
eval-test,all,ESMFold,long,R,0.7386897586769073,217
eval-test,all,ESMFold2,all,AUC,,0
eval-test,all,ESMFold2,all,R,0.7921377010879589,217
eval-test,all,ESMFold2,long,AUC,,0
eval-test,all,ESMFold2,long,R,0.7815776113917947,217
eval-test,all,Protenix-v2 + MSA,all,AUC,,0
eval-test,all,Protenix-v2 + MSA,all,R,0.8446352122543275,217
eval-test,all,Protenix-v2 + MSA,long,AUC,,0
eval-test,all,Protenix-v2 + MSA,long,R,0.8350161147785736,217
eval-test,all,Protenix-v2 single-seq,all,AUC,,0
eval-test,all,Protenix-v2 single-seq,all,R,0.2645781892970077,217
eval-test,all,Protenix-v2 single-seq,long,AUC,,0
eval-test,all,Protenix-v2 single-seq,long,R,0.22489857925131138,217
eval-test,all,seq-KNN (decontaminated corpus),all,AUC,0.7810658617267646,217
eval-test,all,seq-KNN (decontaminated corpus),all,R,0.42572468922968476,217
eval-test,all,seq-KNN (decontaminated corpus),long,AUC,0.772077023163729,217
eval-test,all,seq-KNN (decontaminated corpus),long,R,0.4156402845350393,217
eval-test,all,seq-KNN (unfiltered corpus),all,AUC,0.8708987361275039,217
eval-test,all,seq-KNN (unfiltered corpus),all,R,0.5819821492519804,217
eval-test,all,seq-KNN (unfiltered corpus),long,AUC,0.8658555194087034,217
eval-test,all,seq-KNN (unfiltered corpus),long,R,0.5746581802738032,217
eval-val,all,#199 cooldown (contaminated),all,AUC,0.9511468990924388,97
eval-val,all,#199 cooldown (contaminated),all,R,0.588994195620945,97
eval-val,all,#199 cooldown (contaminated),long,AUC,0.9429864051831522,97
eval-val,all,#199 cooldown (contaminated),long,R,0.5756649575748538,97
eval-val,all,#232 m1-p02 (decontaminated),all,AUC,0.914172687869362,97
eval-val,all,#232 m1-p02 (decontaminated),all,R,0.4731469398933442,97
eval-val,all,#232 m1-p02 (decontaminated),long,AUC,0.8986847672795093,97
eval-val,all,#232 m1-p02 (decontaminated),long,R,0.44804117837866153,97
eval-val,all,#232 m2-p06 (decontaminated),all,AUC,0.930843513349874,97
eval-val,all,#232 m2-p06 (decontaminated),all,R,0.5197991295291134,97
eval-val,all,#232 m2-p06 (decontaminated),long,AUC,0.9182671025307647,97
eval-val,all,#232 m2-p06 (decontaminated),long,R,0.5017295196551887,97
eval-val,all,ESMFold,all,AUC,0.9002066309858588,97
eval-val,all,ESMFold,all,R,0.7503759561708839,97
eval-val,all,ESMFold,long,AUC,0.8944132766093084,97
eval-val,all,ESMFold,long,R,0.7378319398590216,97
eval-val,all,ESMFold2,all,AUC,0.927137340285411,97
