subset,predictor,feature,n,rho,p,q
eval-test,#199 cooldown (contaminated),kingdom_archaea,217,-0.17210374550827376,0.011098518114835603,0.039954665213408166
eval-test,#199 cooldown (contaminated),is_viral,217,-0.17204512115710205,0.011126413557375333,0.03978982331776609
eval-test,#199 cooldown (contaminated),kingdom_virus,217,-0.17204512115710205,0.011126413557375333,0.03952804816435974
eval-test,#199 cooldown (contaminated),contacts_per_residue,217,-0.15301689716102584,0.024173961766460264,0.07545629684328638
eval-test,#199 cooldown (contaminated),frac_helix,217,-0.13883821019777967,0.041021908366773226,0.11359913086183354
eval-test,#199 cooldown (contaminated),frac_polar,217,-0.12483004292243766,0.06644254275387118,0.16687894459111832
eval-test,#199 cooldown (contaminated),rg_over_length,217,-0.1199984615507864,0.07775603240238926,0.19085571589677364
eval-test,#199 cooldown (contaminated),frac_low_complexity,217,-0.1056998812873587,0.12056287004693578,0.2503998070205589
eval-test,#199 cooldown (contaminated),frac_charged,217,-0.10365658881242713,0.1279486720488236,0.26072559587307453
eval-test,#199 cooldown (contaminated),is_membrane,205,-0.08254918301095034,0.23931258813993628,0.4115566802406548
eval-test,#199 cooldown (contaminated),n_transmembrane,205,-0.07883764409903984,0.2611696438762605,0.43935080278249433
eval-test,#199 cooldown (contaminated),msa_mean_coverage,217,-0.07166120526944238,0.293309044670077,0.46721794726206956
eval-test,#199 cooldown (contaminated),long_contacts_per_residue,217,-0.060555650811631265,0.3747003895895608,0.5498320934194643
eval-test,#199 cooldown (contaminated),n_uniprot_xrefs,217,-0.05851041068947516,0.3910752122881948,0.5601607815268573
eval-test,#199 cooldown (contaminated),exp199_esm_atlas_best_identity,196,-0.041639207094931234,0.5622710317199453,0.7316297762139047
eval-test,#199 cooldown (contaminated),is_cytoplasmic,205,-0.027844218023634418,0.6918780946778549,0.8339602034063429
eval-test,#199 cooldown (contaminated),train_best_evalue_log,209,-0.022802490043085946,0.7431253877327845,0.8592884569072883
eval-test,#199 cooldown (contaminated),kingdom_eukaryote,217,-0.014612430812387795,0.8305293316211247,0.9134131142065323
eval-test,#199 cooldown (contaminated),radius_of_gyration,217,-0.007373987346555698,0.9139959334751134,0.9734867930504166
eval-test,#199 cooldown (contaminated),relative_contact_order,217,-0.006677574781416737,0.9220912885276491,0.9744213225145412
eval-test,#199 cooldown (contaminated),n_contacts,217,-0.0014867858385595669,0.9826272473699552,0.9974035969544658
eval-test,#199 cooldown (contaminated),frac_long_contacts,217,0.003163217192119916,0.9630487557098396,0.988681232097554
eval-test,#199 cooldown (contaminated),n_long_contacts,217,0.004207027195147139,0.9508688633702128,0.9799030271372423
eval-test,#199 cooldown (contaminated),mean_contact_order,217,0.005278290512676316,0.9383804928963457,0.982026097217106
eval-test,#199 cooldown (contaminated),exp199_afdb_best_identity,192,0.007463559619989239,0.9181659729477804,0.9721757360623556
eval-test,#199 cooldown (contaminated),exp199_best_identity,209,0.008765743604004493,0.8997578198353621,0.9621172726952386
eval-test,#199 cooldown (contaminated),knn_best_qcov,217,0.009305017318752872,0.8915977749913474,0.9590892400305331
eval-test,#199 cooldown (contaminated),length,217,0.02240045238768927,0.7428250241381174,0.8607843627351575
eval-test,#199 cooldown (contaminated),frac_hydrophobic,217,0.04463748849102174,0.5130605404584946,0.6840807206113262
eval-test,#199 cooldown (contaminated),n_sse,217,0.0474727836594531,0.486634840078035,0.658603542962754
eval-test,#199 cooldown (contaminated),resolved_fraction,217,0.049051895137341886,0.47224012526293563,0.6455940952961652
eval-test,#199 cooldown (contaminated),is_nuclear,205,0.05824224116589135,0.40681739257921334,0.5720869583145188
eval-test,#199 cooldown (contaminated),msa_n_near_identical,217,0.059085780281861504,0.38642557148957557,0.557940664717569
eval-test,#199 cooldown (contaminated),is_secreted,205,0.06650990448458932,0.34338222321842304,0.5238033913501369
eval-test,#199 cooldown (contaminated),has_ec,217,0.08771360831012054,0.1980519252480915,0.3625357275727777
eval-test,#199 cooldown (contaminated),frac_sheet,217,0.0938537243253562,0.16832398886734007,0.3223225318736299
eval-test,#199 cooldown (contaminated),kingdom_bacteria,217,0.10428404978530283,0.1256443615963366,0.257977016205406
eval-test,#199 cooldown (contaminated),mean_hydropathy,217,0.11575422038651625,0.08893541348100457,0.20790096657897175
eval-test,#199 cooldown (contaminated),has_signal_peptide,205,0.12218422397371306,0.08093968053865479,0.19512244415568564
eval-test,#199 cooldown (contaminated),knn_best_identity,217,0.13232279465768856,0.05158916438809874,0.13999069733453928
eval-test,#199 cooldown (contaminated),knn_best_bits,217,0.1465795989931073,0.030892624498902555,0.0921658410464496
eval-test,#199 cooldown (contaminated),n_go,217,0.14668195162160635,0.030774468921524002,0.09232340676457201
eval-test,#199 cooldown (contaminated),median_contact_separation,217,0.1492090914954531,0.0279769852798019,0.08439984386085489
eval-test,#199 cooldown (contaminated),n_pfam,217,0.16408588188873646,0.015537678709295913,0.0527694748617597
eval-test,#199 cooldown (contaminated),frac_coil,217,0.16756678834335567,0.013448835191844071,0.04655366027946024
eval-test,#199 cooldown (contaminated),frac_proline,217,0.20039371755432572,0.003026144568810519,0.013732084597963698
eval-test,#199 cooldown (contaminated),n_uniprot_domains,205,0.20118189369443762,0.003821816303891871,0.016643393581464598
eval-test,#199 cooldown (contaminated),n_interpro,217,0.2224850687039182,0.0009670599165479264,0.004747385044871638
eval-test,#199 cooldown (contaminated),frac_glycine,217,0.26477585376307966,7.862029582991694e-05,0.0005513631136124045
eval-test,#199 cooldown (contaminated),residual_identity_anycov,217,0.3435278756639079,2.1021638250727121e-07,2.102163825072712e-06
eval-test,#199 cooldown (contaminated),residual_identity_cov40,217,0.38532545936738516,4.312813040197198e-09,5.175375648236637e-08
eval-test,#199 cooldown (contaminated),residual_identity_cov30,217,0.3935328128887925,1.880642548920272e-09,2.361737154458016e-08
eval-test,#199 cooldown (contaminated),train_afdb_n_hits,217,0.5148870008306277,4.3362079167964337e-16,1.1150248928905116e-14
eval-test,#199 cooldown (contaminated),train_esm_n_hits,217,0.5545896501503859,6.718569442619429e-19,2.134133822949701e-17
eval-test,#199 cooldown (contaminated),n_surviving_alignments,217,0.5581956188761261,3.5744025245806643e-19,1.2063608520459742e-17
eval-test,#199 cooldown (contaminated),train_n_hits_significant,217,0.578595724564401,8.673810736411956e-21,4.683857797662457e-19
eval-test,#199 cooldown (contaminated),train_log_n_hits,217,0.578595724564401,8.673810736411956e-21,4.2580525433295056e-19
eval-test,#199 cooldown (contaminated),knn_n_hits,217,0.6095389177088253,1.8277207451203233e-23,1.409956003378535e-21
eval-test,#199 cooldown (contaminated),msa_depth,217,0.6194389288850806,2.1997343043911103e-24,3.959521747903999e-22
eval-test,#199 cooldown (contaminated),msa_log_depth,217,0.6194389288850806,2.1997343043911103e-24,2.969641310927999e-22
eval-test,#232 m1-p02 (decontaminated),msa_mean_coverage,217,-0.1501054897549922,0.02703842533083855,0.08295880499234555
eval-test,#232 m1-p02 (decontaminated),contacts_per_residue,217,-0.14594685213512268,0.0316316834982908,0.0938522477421815
eval-test,#232 m1-p02 (decontaminated),exp199_afdb_best_identity,192,-0.1435275297718546,0.047023984274319364,0.12889823100574851
eval-test,#232 m1-p02 (decontaminated),is_viral,217,-0.14182135299734278,0.036828841812119185,0.10578497116247
eval-test,#232 m1-p02 (decontaminated),kingdom_virus,217,-0.14182135299734278,0.036828841812119185,0.10522526232034053
eval-test,#232 m1-p02 (decontaminated),kingdom_archaea,217,-0.1299362195795935,0.055987268776852825,0.148201593821081
eval-test,#232 m1-p02 (decontaminated),rg_over_length,217,-0.12932168884712908,0.057168645633620466,0.1498595565153158
eval-test,#232 m1-p02 (decontaminated),knn_best_qcov,217,-0.11239190483078518,0.09867531892126347,0.2220194675728428
