protein_class,eval_sets,predictor,n,value,ci_low,ci_high
designed,eval-denovo,ESMFold2,19,0.8635095533315522,0.8384155576060053,0.8889712367613634
designed,eval-denovo,Protenix-v2 + MSA,19,0.844401373991464,0.8130323988994473,0.872622906316355
designed,eval-denovo,Protenix-v2 single-seq,19,0.835070779859612,0.8060558441972928,0.8628606537369614
designed,eval-denovo,ESMFold,19,0.7950781980579187,0.7101287088330446,0.8631466437994672
designed,eval-denovo,#199 cooldown (contaminated),19,0.6188362267155597,0.5310038336715948,0.7050669501242834
designed,eval-denovo,#232 m2-p06 step-363000 (decontaminated),19,0.6123201729908864,0.5205616134976682,0.7009898735948985
designed,eval-denovo,#232 m2-p06 (decontaminated),19,0.5913805855058719,0.5014641086864193,0.6824498680104121
designed,eval-denovo,#232 m1-p02 (decontaminated),19,0.5878697377395716,0.5021668420685258,0.6715771906673006
designed,eval-denovo,seq-KNN (unfiltered corpus),19,0.06594705197377539,0.013359298156310059,0.13502718797943397
designed,eval-denovo,seq-KNN (decontaminated corpus),19,0.05028408050335361,0.007538790369798277,0.10895726990299202
natural,eval-val+eval-test,Protenix-v2 + MSA,314,0.8450658959136197,0.8334793678674397,0.8552329081662153
natural,eval-val+eval-test,ESMFold2,314,0.7950309679202898,0.7781648894375204,0.811845226343672
natural,eval-val+eval-test,ESMFold,314,0.7524798481527966,0.7333447322106067,0.772278894948638
natural,eval-val+eval-test,#199 cooldown (contaminated),314,0.6057114280937226,0.5856068341938776,0.6256354553463024
natural,eval-val+eval-test,seq-KNN (unfiltered corpus),314,0.5825002796789908,0.5589428465181951,0.605618144052064
natural,eval-val+eval-test,#232 m2-p06 step-363000 (decontaminated),314,0.5642320269905632,0.5415454071550493,0.5853422822137465
natural,eval-val+eval-test,#232 m2-p06 (decontaminated),314,0.5321392115708984,0.5115195557351755,0.5529503241732242
natural,eval-val+eval-test,#232 m1-p02 (decontaminated),314,0.4869337784307162,0.4648621505886241,0.5080090278871014
natural,eval-val+eval-test,seq-KNN (decontaminated corpus),314,0.419986385896116,0.3969865345587706,0.44253103855780646
natural,eval-val+eval-test,Protenix-v2 single-seq,314,0.26415229648583366,0.2404213670092448,0.2897883027918765
