metric,arm,depth_bin,n,value,ci_low,ci_high
gdt_ts,mf_L,<100,25,0.3515247666782525,0.24079239971517527,0.461250457442635
gdt_ts,mf_L,100–1k,61,0.3479023748124803,0.2893103821814791,0.40815859281493366
gdt_ts,mf_L,1k–5k,104,0.4819944492740114,0.42607778588945755,0.5378378116546122
gdt_ts,mf_L,5k–10k,66,0.6095707170792135,0.547421164379281,0.6710333606273116
gdt_ts,mf_L,≥10k,49,0.5262677976655705,0.44963338305818457,0.6050948103190914
gdt_ts,mf_L2,<100,25,0.30788831772510633,0.19722714955801765,0.42669571955644203
gdt_ts,mf_L2,100–1k,61,0.33940950284727056,0.28416717351991405,0.3946243215729953
gdt_ts,mf_L2,1k–5k,104,0.43965707753815003,0.3866030609118752,0.4941337197100122
gdt_ts,mf_L2,5k–10k,66,0.5840112837481727,0.5186089259332514,0.6458558700324281
gdt_ts,mf_L2,≥10k,49,0.46896744327264295,0.3987574867086774,0.5427905671829787
gdt_ts,mf_L5,<100,25,0.33724392691511346,0.22514728486989938,0.4466945344502379
gdt_ts,mf_L5,100–1k,61,0.3258243543409309,0.27495605212529517,0.38528863861618307
gdt_ts,mf_L5,1k–5k,104,0.363297062170593,0.31298657463422463,0.41234249346924
gdt_ts,mf_L5,5k–10k,66,0.4771699090387503,0.4153006085784909,0.5389739378527246
gdt_ts,mf_L5,≥10k,49,0.3969615955440294,0.32615715212398305,0.4716027379305548
gdt_ts,mf_L_363k,<100,25,0.3332457530405942,0.22412625191399993,0.4398066473296376
gdt_ts,mf_L_363k,100–1k,61,0.39566365002177073,0.3293012629221233,0.46015024223767537
gdt_ts,mf_L_363k,1k–5k,104,0.5246866642396045,0.46826902975711715,0.5786991370858304
gdt_ts,mf_L_363k,5k–10k,66,0.6290837641033117,0.5650953317274706,0.6926979945104856
gdt_ts,mf_L_363k,≥10k,49,0.5594993546811391,0.4854352874240321,0.6359335258198516
gdt_ts,off,<100,25,0.24815760257390793,0.15501920029979974,0.35185295948326
gdt_ts,off,100–1k,61,0.1611707761680651,0.12088314288339491,0.20176974017445604
gdt_ts,off,1k–5k,104,0.13597530352519008,0.10317222648201907,0.1714070367618021
gdt_ts,off,5k–10k,66,0.14528465096513127,0.10408504376003364,0.19613229946037442
gdt_ts,off,≥10k,49,0.09495835694407295,0.060114617327021024,0.13312048398596166
gdt_ts,oracle,<100,25,0.8859209910325522,0.8468106224089942,0.9201049759421125
gdt_ts,oracle,100–1k,61,0.8983332036420989,0.8679913703540584,0.9215673225280192
gdt_ts,oracle,1k–5k,104,0.894824735541477,0.8699985906632911,0.9156482978811767
gdt_ts,oracle,5k–10k,66,0.9198062332073027,0.9037183370646122,0.9344720164184401
gdt_ts,oracle,≥10k,49,0.8516253820578092,0.7948743474095868,0.8965229042161295
gdt_ts,v2msa,<100,25,0.6920610514271704,0.5862025244772611,0.782894557694271
gdt_ts,v2msa,100–1k,61,0.8200197437151925,0.7696244120998207,0.864949926311898
gdt_ts,v2msa,1k–5k,104,0.838301678588688,0.8054117135813484,0.8679625570876035
gdt_ts,v2msa,5k–10k,66,0.8747495331726978,0.8483978973660954,0.8998693525988147
gdt_ts,v2msa,≥10k,49,0.8168503141460944,0.7646437481388603,0.8626805067538195
gdt_ts,v2ss,<100,25,0.2950529294927983,0.1828015170704412,0.4119888044371807
gdt_ts,v2ss,100–1k,61,0.2152298762721533,0.15930557520992983,0.27567435121755557
gdt_ts,v2ss,1k–5k,104,0.15141706069468494,0.11361750119237156,0.1921649529020177
gdt_ts,v2ss,5k–10k,66,0.15784821335333327,0.11714592354108799,0.20898024096097464
gdt_ts,v2ss,≥10k,49,0.1147084540107765,0.07481583808998986,0.1640406998183128
lddt,mf_L,<100,25,0.49454478901392407,0.42449906956484185,0.5642597238844507
lddt,mf_L,100–1k,61,0.5244708170927976,0.4859640676941188,0.5615834038969044
lddt,mf_L,1k–5k,104,0.6170142756541336,0.5839216429573311,0.6503243840251021
lddt,mf_L,5k–10k,66,0.6913734287983473,0.6562278178752969,0.7219241815606282
lddt,mf_L,≥10k,49,0.6796608723975571,0.6408996031643205,0.7160595669639613
lddt,mf_L2,<100,25,0.4795926485052913,0.4090309908998499,0.5529196067118187
lddt,mf_L2,100–1k,61,0.5230161123050466,0.48537357239342377,0.5587897105678936
lddt,mf_L2,1k–5k,104,0.6022594167481581,0.569159538210915,0.6347716044515197
lddt,mf_L2,5k–10k,66,0.6802134773611958,0.6432919697213211,0.7133653766031343
lddt,mf_L2,≥10k,49,0.6522506313312458,0.6144348132567615,0.6877107295823541
lddt,mf_L5,<100,25,0.4897348123229633,0.4198099343461785,0.5584259105377756
lddt,mf_L5,100–1k,61,0.511765455243138,0.4770536841493442,0.5488498922224313
lddt,mf_L5,1k–5k,104,0.5494523274826265,0.5196754001068532,0.5778865941856374
lddt,mf_L5,5k–10k,66,0.6237763536604857,0.5917993445885298,0.6549131480900324
lddt,mf_L5,≥10k,49,0.5917252971753805,0.5540623518401911,0.6303254742225952
lddt,mf_L_363k,<100,25,0.49658023122435224,0.4226851559841128,0.5688498066319848
lddt,mf_L_363k,100–1k,61,0.5572363638588486,0.517638267897775,0.5962262218802896
lddt,mf_L_363k,1k–5k,104,0.6399885173685658,0.6049202509822394,0.6728572425410532
lddt,mf_L_363k,5k–10k,66,0.7097187098644184,0.6783140357385191,0.7387941068835484
lddt,mf_L_363k,≥10k,49,0.7117716121810646,0.6822844608836998,0.7414095915117359
lddt,off,<100,25,0.4410740198930075,0.3773548663546741,0.510851176689978
lddt,off,100–1k,61,0.38292317555311556,0.3502418736949051,0.41766516809681775
lddt,off,1k–5k,104,0.34883050579121605,0.32433439252170615,0.3745476773562833
lddt,off,5k–10k,66,0.3522564501444052,0.32372595382049035,0.3867939739647043
lddt,off,≥10k,49,0.31969344314316805,0.29295191697044565,0.34937504544111686
lddt,oracle,<100,25,0.860507493663078,0.848727981278717,0.8721968865946239
lddt,oracle,100–1k,61,0.8603408417207495,0.8490227672017557,0.8709629703304295
lddt,oracle,1k–5k,104,0.8627131153062747,0.8544208620641545,0.8703455413950674
lddt,oracle,5k–10k,66,0.8608359686391351,0.8480436399688597,0.8719633374104678
lddt,oracle,≥10k,49,0.8612674437562367,0.8526360486411927,0.8701908208449108
lddt,v2msa,<100,25,0.7446908039678104,0.6748243062102222,0.802477965663464
lddt,v2msa,100–1k,61,0.8237344483667839,0.804270774440809,0.8415968845819872
lddt,v2msa,1k–5k,104,0.8399496628312157,0.8305101337679569,0.8487820230563161
lddt,v2msa,5k–10k,66,0.8426792378241577,0.8295360178825781,0.854338834815183
lddt,v2msa,≥10k,49,0.8443312240001746,0.8335995400696008,0.8552156963768777
lddt,v2ss,<100,25,0.4693734020837259,0.39158450182209537,0.5486106803988043
lddt,v2ss,100–1k,61,0.42462677095594686,0.3855149993282778,0.4661795799800621
lddt,v2ss,1k–5k,104,0.3741755816247982,0.3456432948998559,0.40492379177771143
lddt,v2ss,5k–10k,66,0.3844642860394732,0.35383993438355293,0.42115144144523026
lddt,v2ss,≥10k,49,0.3605111932624948,0.328962382269628,0.39760287305714803
