range,cut,n_candidate,n_true,value
all,L,3741,76,0.6304347826086957
all,L/2,3741,76,0.7391304347826086
all,L/5,3741,76,0.8333333333333334
all,R,3741,76,0.6710526315789473
all,AUC,3741,76,0.9921519350901128
short,L,501,12,0.13043478260869565
short,L/2,501,12,0.2608695652173913
short,L/5,501,12,0.6666666666666666
short,R,501,12,0.75
short,AUC,501,12,0.9971029311520109
medium,L,894,18,0.1956521739130435
medium,L/2,894,18,0.391304347826087
medium,L/5,894,18,0.7777777777777778
medium,R,894,18,0.7777777777777778
medium,AUC,894,18,0.9942288178589548
long,L,2346,46,0.42391304347826086
long,L/2,2346,46,0.6086956521739131
long,L/5,2346,46,0.6666666666666666
long,R,2346,46,0.6086956521739131
long,AUC,2346,46,0.9895179584120983
