rollout,n_term_index,n_tokens,truncated,n_statements
0,1924,249,False,83
1,802,222,False,74
2,1318,210,False,70
3,1423,246,False,82
4,1023,204,False,68
5,277,225,False,75
6,757,210,False,70
7,1177,213,False,71
8,884,246,False,82
9,830,252,False,84
10,1382,225,False,75
11,1899,222,False,74
12,569,222,False,74
13,775,234,False,78
14,1003,216,False,72
15,294,228,False,76
16,1478,222,False,74
17,517,240,False,80
18,1185,231,False,77
19,354,201,False,67
20,527,243,False,81
21,798,240,False,80
22,845,243,False,81
23,263,252,False,84
24,1228,234,False,78
25,151,273,False,91
26,847,210,False,70
27,1372,237,False,79
28,1044,189,False,63
29,1412,198,False,66
30,1246,234,False,78
31,595,198,False,66
32,929,231,False,77
33,5,261,False,87
34,1698,246,False,82
35,1418,246,False,82
36,1520,249,False,83
37,1704,219,False,73
38,567,246,False,82
39,1119,237,False,79
40,1802,264,False,88
41,754,231,False,77
42,1833,210,False,70
43,1864,249,False,83
44,1191,240,False,80
45,1142,222,False,74
46,489,243,False,81
47,18,219,False,73
48,835,186,False,62
49,1960,261,False,87
50,1570,261,False,87
51,367,264,False,88
52,991,216,False,72
53,56,210,False,70
54,293,234,False,78
55,267,237,False,79
56,1571,192,False,64
57,1009,222,False,74
58,1432,264,False,88
59,1472,222,False,74
60,215,231,False,77
61,1001,204,False,68
62,798,258,False,86
63,1784,210,False,70
64,1181,228,False,76
65,495,234,False,78
66,1931,279,False,93
67,1577,231,False,77
68,66,273,False,91
69,1047,204,False,68
70,1673,264,False,88
71,53,222,False,74
72,1744,213,False,71
73,188,231,False,77
74,1971,216,False,72
75,1858,267,False,89
76,1028,237,False,79
77,900,213,False,71
78,305,258,False,86
79,753,246,False,82
80,1414,237,False,79
81,842,213,False,71
82,1336,243,False,81
83,994,240,False,80
84,1458,219,False,73
85,1661,267,False,89
86,760,246,False,82
87,147,255,False,85
88,602,222,False,74
89,1703,207,False,69
90,1079,231,False,77
91,1663,222,False,74
92,1065,222,False,74
93,540,237,False,79
94,159,204,False,68
95,1825,285,False,95
96,1837,237,False,79
97,1631,249,False,83
98,1061,222,False,74
99,1613,228,False,76
