range,mode,metric,arm,reference,arm_mean,reference_mean,n_proteins,mean,ci_low,ci_high
all,continuation,oracle_legacy,seeded,iid,0.5352920903910112,0.5198839087406365,97,0.015408181650374624,0.006451775074165683,0.02683684378146762
all,continuation,oracle_legacy,seeded-long,iid,0.521426749695331,0.5198839087406365,97,0.0015428409546945168,-0.0058597005050359955,0.008771115468646248
all,continuation,oracle_legacy,seeded-strat,iid,0.5229429505079944,0.5198839087406365,97,0.0030590417673577743,-0.0029426102771812983,0.00916036707849284
all,continuation,oracle_fixed_R,seeded,iid,0.49523599563481957,0.48920062656415997,97,0.0060353690706596045,0.0007406211600341149,0.012142163477867689
all,continuation,oracle_fixed_R,seeded-long,iid,0.49385396738887444,0.48920062656415997,97,0.004653340824714437,-0.0017410269861494975,0.011406944034343051
all,continuation,oracle_fixed_R,seeded-strat,iid,0.49075138345100716,0.48920062656415997,97,0.0015507568868471967,-0.003356605857434535,0.0065366185679315925
all,full,oracle_legacy,seeded,iid,0.5340965100626918,0.5198839087406365,97,0.01421260132205517,0.00545886860328033,0.024854806708716853
all,full,oracle_legacy,seeded-long,iid,0.5213802074854259,0.5198839087406365,97,0.001496298744789328,-0.005723467980238203,0.008509509711897966
all,full,oracle_legacy,seeded-strat,iid,0.5231955525779585,0.5198839087406365,97,0.0033116438373218997,-0.00242102019726864,0.009008956621332921
all,full,oracle_fixed_R,seeded,iid,0.497014296823864,0.48920062656415997,97,0.007813670259704,0.002722287913882813,0.01352645708223958
all,full,oracle_fixed_R,seeded-long,iid,0.49512145941003677,0.48920062656415997,97,0.005920832845876735,-0.0004605808026591161,0.012485830049372395
all,full,oracle_fixed_R,seeded-strat,iid,0.4929197567834292,0.48920062656415997,97,0.003719130219269262,-0.001212143401021027,0.008783245272052542
long,continuation,oracle_legacy,seeded,iid,0.5420615588871481,0.5415417664339557,97,0.000519792453192562,-0.01651045132672558,0.014230303394015839
long,continuation,oracle_legacy,seeded-long,iid,0.5307011542398142,0.5415417664339557,97,-0.010840612194141397,-0.02784288075432511,0.001881879535366289
long,continuation,oracle_legacy,seeded-strat,iid,0.5373637388678341,0.5415417664339557,97,-0.004178027566121591,-0.02272005714361498,0.01012806202008614
long,continuation,oracle_fixed_R,seeded,iid,0.4876697879423976,0.4836630643678432,97,0.0040067235745545006,-0.0032964362857970464,0.011950070660363733
long,continuation,oracle_fixed_R,seeded-long,iid,0.4803203259518591,0.4836630643678432,97,-0.0033427384159841348,-0.010540100108522875,0.003524643683166181
long,continuation,oracle_fixed_R,seeded-strat,iid,0.484486352905249,0.4836630643678432,97,0.0008232885374059118,-0.006346885215578043,0.0077363719953281295
long,full,oracle_legacy,seeded,iid,0.5432973745573327,0.5415417664339557,97,0.0017556081233771335,-0.015395147565810802,0.01569961919118226
long,full,oracle_legacy,seeded-long,iid,0.5309178335222601,0.5415417664339557,97,-0.01062393291169555,-0.027561848471532563,0.0030298665799118303
long,full,oracle_legacy,seeded-strat,iid,0.5374526999108258,0.5415417664339557,97,-0.0040890665231298915,-0.022551551933114714,0.010178996154737432
long,full,oracle_fixed_R,seeded,iid,0.48985549917773386,0.4836630643678432,97,0.006192434809890732,-0.0009751310077181113,0.013956285451038206
long,full,oracle_fixed_R,seeded-long,iid,0.48291196540490944,0.4836630643678432,97,-0.0007510989629336563,-0.0076918903708759825,0.0059188324291685615
long,full,oracle_fixed_R,seeded-strat,iid,0.486244744331658,0.4836630643678432,97,0.0025816799638148343,-0.004448473345900343,0.009393546675863429
