method,readout,value,delta_vs_single,largest_cluster
-,single consensus (K=1),0.5216780679470897,,
average,oracle@K=2,0.5225400874946164,0.0008620195475267518,98.27835051546391
average,largest@K=2,0.5225400874946164,0.0008620195475267518,98.27835051546391
average,mean@K=2,0.39968402605847897,-0.1219940418886107,98.27835051546391
average,oracle@K=3,0.5226547900305084,0.0009767220834188172,96.25773195876289
average,largest@K=3,0.5221328012532672,0.0004547333061775286,96.25773195876289
average,mean@K=3,0.36445246143495463,-0.15722560651213488,96.25773195876289
average,oracle@K=5,0.5233942612254816,0.0017161932783919499,93.0721649484536
average,largest@K=5,0.5225073422411425,0.0008292742940527687,93.0721649484536
average,mean@K=5,0.34173281677312367,-0.179945251173966,93.0721649484536
average,oracle@K=10,0.5262148378308877,0.004536769883798046,82.51546391752578
average,largest@K=10,0.5241464055329806,0.0024683375858909245,82.51546391752578
average,mean@K=10,0.3363808395529395,-0.18529722839415017,82.51546391752578
average,oracle@K=20,0.5336082324812909,0.011930164534201076,61.5360824742268
average,largest@K=20,0.5218358057548231,0.00015773780773342455,61.5360824742268
average,mean@K=20,0.34334129148115705,-0.17833677646593257,61.5360824742268
kmeans,oracle@K=2,0.5290910310937905,0.007412963146700769,71.91752577319588
kmeans,largest@K=2,0.5141737277132346,-0.00750434023385507,71.91752577319588
kmeans,mean@K=2,0.49721314497426894,-0.02446492297282064,71.91752577319588
kmeans,oracle@K=3,0.5358244118140438,0.014146343866954163,60.43298969072165
kmeans,largest@K=3,0.511798390987197,-0.009879676959892666,60.43298969072165
kmeans,mean@K=3,0.47574183640383916,-0.0459362315432505,60.43298969072165
kmeans,oracle@K=5,0.5370884649092511,0.01541039696216146,49.29896907216495
kmeans,largest@K=5,0.5108494056322406,-0.01082866231484904,49.29896907216495
kmeans,mean@K=5,0.45644076692784097,-0.06523730101924871,49.29896907216495
kmeans,oracle@K=10,0.5375094791500563,0.01583141120296666,39.577319587628864
kmeans,largest@K=10,0.5093616688354666,-0.012316399111622925,39.577319587628864
kmeans,mean@K=10,0.4177614415660777,-0.103916626381012,39.577319587628864
kmeans,oracle@K=20,0.5351883502919396,0.01351028234485004,28.391752577319586
kmeans,largest@K=20,0.4983267152692335,-0.02335135267785617,28.391752577319586
kmeans,mean@K=20,0.39106384540500727,-0.1306142225420823,28.391752577319586
random,oracle@K=2,0.5249045519441452,0.0032264839970556065,50.0
random,largest@K=2,0.5150422115528765,-0.006635856394213155,50.0
random,mean@K=2,0.5164769562473488,-0.0052011116997409445,50.0
random,oracle@K=3,0.5251273704483671,0.0034493025012774696,34.0
random,largest@K=3,0.5150226038894221,-0.0066554640576674245,34.0
random,mean@K=3,0.5121577681965009,-0.009520299750588664,34.0
random,oracle@K=5,0.5277542974496671,0.006076229502577497,20.0
random,largest@K=5,0.5027128025363985,-0.01896526541069114,20.0
random,mean@K=5,0.5041485433311141,-0.017529524615975504,20.0
random,oracle@K=10,0.5237088977352442,0.002030829788154535,10.0
random,largest@K=10,0.4833135848551796,-0.03836448309190999,10.0
random,mean@K=10,0.4872162874150816,-0.034461780532008005,10.0
random,oracle@K=20,0.5096448011300976,-0.012033266816991997,5.0
random,largest@K=20,0.459359478387662,-0.0623185895594276,5.0
random,mean@K=20,0.4548225063889953,-0.06685556155809438,5.0
