range,a,b,n,mean_delta,lo,hi,frac_a_wins
all,seeded consensus,iid consensus,97,0.001732559790745127,-0.001053399148855427,0.004606141473031057,0.4020618556701031
long,seeded consensus,iid consensus,97,0.003938458240963453,-0.0008046014366332765,0.009708305515791908,0.41237113402061853
all,seeded consensus (seed vote removed),iid consensus,97,0.0020224841175003915,-0.0007220188824990379,0.004910509566691298,0.3917525773195876
long,seeded consensus (seed vote removed),iid consensus,97,0.004481297410161558,0.00011337014607764119,0.009423169423053332,0.4329896907216495
all,seeded oracle best-of-N,iid oracle best-of-N,97,0.01421260132205517,0.005464064884086699,0.02468531148375721,0.5773195876288659
long,seeded oracle best-of-N,iid oracle best-of-N,97,0.0017556081233771335,-0.015626081986395784,0.015756943785122518,0.4639175257731959
all,iid oracle best-of-N,iid consensus,97,-0.0017941592064530773,-0.016432284201402123,0.01370267030403271,0.38144329896907214
long,iid oracle best-of-N,iid consensus,97,0.03736621816860215,0.012894607593267039,0.06603509730156268,0.5154639175257731
all,iid consensus,pairwise,97,0.06319174976463644,0.05156564719475898,0.0766889969907942,0.8969072164948454
long,iid consensus,pairwise,97,0.06351276068803709,0.050202681393365,0.07862319117823285,0.8762886597938144
