population,tier_axis,tier,predictor,range,cut,n,mean,ci_low,ci_high
all_natural,depth_tier,10-100,ESMFold2,all,AUC,16,0.7473982381343094,0.6835306314266815,0.8120107383841464
all_natural,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),all,AUC,32,0.8576766262452371,0.8318855464231205,0.8843419337314745
all_natural,depth_tier,10-100,Protenix-v2 + MSA,all,AUC,16,0.8844340535604436,0.8307462225352463,0.9246124430048608
all_natural,depth_tier,10-100,Protenix-v2 single-seq,all,AUC,16,0.6273283752009248,0.5946336219795453,0.6617513017120606
all_natural,depth_tier,10-100,seq-KNN (decontaminated corpus),all,AUC,21,0.5337857464278754,0.5103601805687875,0.5623142496969413
all_natural,depth_tier,10-100,ESMFold2,all,R,32,0.46921825677397994,0.36522876279045824,0.5698881718638846
all_natural,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),all,R,32,0.278846033761212,0.22126225093205373,0.34367453494256545
all_natural,depth_tier,10-100,Protenix-v2 + MSA,all,R,32,0.7554239430755176,0.6896131639345304,0.8084062403796464
all_natural,depth_tier,10-100,Protenix-v2 single-seq,all,R,32,0.27341086187092034,0.19140562196169486,0.3650850261129712
all_natural,depth_tier,10-100,seq-KNN (decontaminated corpus),all,R,21,0.07283352758326826,0.028471564163215637,0.12664862605299107
all_natural,depth_tier,10-100,ESMFold2,long,R,32,0.448927690042762,0.34170337662944694,0.552119197373857
all_natural,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),long,R,32,0.22725827477991214,0.16396546903410442,0.30068629657113016
all_natural,depth_tier,10-100,Protenix-v2 + MSA,long,R,32,0.7357343560307519,0.6611252577424744,0.7954790713581289
all_natural,depth_tier,10-100,Protenix-v2 single-seq,long,R,32,0.23250450553521934,0.14397243410423838,0.3284132421099363
all_natural,depth_tier,10-100,seq-KNN (decontaminated corpus),long,R,21,0.059274764461605095,0.017181501817056497,0.1103461792934977
all_natural,depth_tier,100-1000,ESMFold2,all,AUC,37,0.811076020566777,0.7568201724705332,0.860521371011943
all_natural,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),all,AUC,76,0.8938921819756573,0.8715720612953292,0.9157517938464097
all_natural,depth_tier,100-1000,Protenix-v2 + MSA,all,AUC,37,0.9308184497392579,0.9080018114084194,0.9501666439365816
all_natural,depth_tier,100-1000,Protenix-v2 single-seq,all,AUC,37,0.6248883696110017,0.5932543990204604,0.6595288588225795
all_natural,depth_tier,100-1000,seq-KNN (decontaminated corpus),all,AUC,63,0.6763259071900343,0.6426883724597494,0.7107114513789284
