group,layer,head,bucket,bucket_index,mass_total,mass_coref,mass_expected,keys_all,keys_coref
struct_pos,0,0,0,0,4.252172713692909e-05,0.0,0.0,15504,0
struct_pos,0,0,1,1,1.1057112355726678e-05,2.308569418728686e-08,5.883797676016244e-08,7752,40
struct_pos,0,0,2,2,1.443788121454244e-05,2.8456335598292892e-08,2.6456012165800473e-07,7752,50
struct_pos,0,0,3-4,3,2.4591458575413816e-05,8.298402439181176e-07,2.43196744388332e-07,15504,60
struct_pos,0,0,5-8,4,5.202767142357367e-05,6.869167643470401e-07,3.5741417596322774e-07,31008,178
struct_pos,0,0,9-16,5,0.00010413048607447869,1.58448684650211e-06,6.49986920799473e-07,62016,289
struct_pos,0,0,17-32,6,0.0002241802598457497,3.6282925543382198e-06,1.5883136937671505e-06,122218,563
struct_pos,0,0,33-64,7,0.0003406162188912206,4.490666973298583e-06,2.872706336033557e-06,235138,991
struct_pos,0,0,65-128,8,0.0004346715943337653,8.564196394268544e-06,3.135147169140965e-06,432718,1760
struct_pos,0,0,129-256,9,0.0004755747423795324,1.2460438828256642e-05,2.7225788209272163e-06,718284,2817
struct_pos,0,0,257-512,10,0.0002499167488676068,4.228364802358884e-06,1.4875165543870569e-06,935370,3174
struct_pos,0,0,513-1024,11,2.641371690424562e-05,1.3746413027163909e-07,4.797193421443636e-08,661509,1731
struct_pos,0,0,1025-2048,12,9.837766365200443e-06,4.982365645368353e-08,1.7633378477688933e-08,112003,242
struct_pos,0,1,0,0,7.862515556609479e-06,0.0,0.0,15504,0
struct_pos,0,1,1,1,5.4616465648112995e-06,5.868455192209175e-09,3.379541348195838e-08,7752,40
struct_pos,0,1,2,2,2.7915092460352427e-06,2.532299170279501e-08,4.120493538703053e-08,7752,50
struct_pos,0,1,3-4,3,1.096609948193106e-05,1.2368277492100236e-08,1.1593876007858903e-07,15504,60
struct_pos,0,1,5-8,4,1.62621319786134e-05,1.4780165635021354e-07,1.452517431855331e-07,31008,178
struct_pos,0,1,9-16,5,3.186989139259039e-05,1.9364237054580042e-07,2.447502677016769e-07,62016,289
struct_pos,0,1,17-32,6,5.9763473220043104e-05,5.11587345342622e-07,5.125713137111755e-07,122218,563
struct_pos,0,1,33-64,7,7.803855530721132e-05,3.779555181901719e-07,6.907841828972636e-07,235138,991
struct_pos,0,1,65-128,8,8.149279577714891e-05,2.801352736036131e-07,6.165271887460737e-07,432718,1760
struct_pos,0,1,129-256,9,4.999755825478038e-05,1.3154681062781535e-07,3.0119944447062746e-07,718284,2817
struct_pos,0,1,257-512,10,9.99538747976379e-06,4.969580308540793e-08,6.56744887342314e-08,935370,3174
struct_pos,0,1,513-1024,11,2.6543659036383102e-08,9.325570701722264e-11,6.795823566820988e-11,661509,1731
struct_pos,0,1,1025-2048,12,1.832815029149663e-09,4.671483783558802e-13,3.343739420782341e-12,112003,242
struct_pos,0,2,0,0,0.0023718744408727553,0.0,0.0,15504,0
struct_pos,0,2,1,1,0.0008066912384471165,9.56307008662583e-06,5.1668368748013744e-06,7752,40
struct_pos,0,2,2,2,0.00143536648514101,1.0475162628142334e-05,1.1652170096885966e-05,7752,50
struct_pos,0,2,3-4,3,0.0015450482351861132,1.3849929636353926e-05,8.044339633694896e-06,15504,60
struct_pos,0,2,5-8,4,0.004235002178587289,3.8459205036930995e-05,3.101497893928841e-05,31008,178
struct_pos,0,2,9-16,5,0.007514583052619446,6.589628717601607e-05,4.695167056446511e-05,62016,289
struct_pos,0,2,17-32,6,0.01658494685948572,0.00014434190480455648,0.00010786826116156449,122218,563
struct_pos,0,2,33-64,7,0.03078881487388729,0.0002311880251448467,0.00016961867136481182,235138,991
struct_pos,0,2,65-128,8,0.06898906959222689,0.00046694930738954966,0.0003441319461858287,432718,1760
struct_pos,0,2,129-256,9,0.1048036915845054,0.0006410290705284221,0.0004802632023720783,718284,2817
struct_pos,0,2,257-512,10,0.11529364711359928,0.0005330133979411563,0.0004332027426872768,935370,3174
struct_pos,0,2,513-1024,11,0.058656480382470524,0.0001993447511434801,0.00015966139858143884,661509,1731
struct_pos,0,2,1025-2048,12,0.005555904048453667,1.5541188365042642e-05,1.204799509303429e-05,112003,242
struct_pos,0,3,0,0,9.789198933806496e-05,0.0,0.0,15504,0
struct_pos,0,3,1,1,4.072300291465585e-05,6.557705795352298e-08,1.4001540710282109e-07,7752,40
struct_pos,0,3,2,2,4.952482183918874e-05,6.716924352182637e-07,8.557869582409706e-07,7752,50
struct_pos,0,3,3-4,3,7.341954379393604e-05,1.2002642979426517e-06,6.634954398392907e-07,15504,60
struct_pos,0,3,5-8,4,0.00019402206043692347,8.872546432157777e-07,1.1002783661809296e-06,31008,178
struct_pos,0,3,9-16,5,0.00042012374616043607,1.7848236702124159e-06,1.9773444659486654e-06,62016,289
struct_pos,0,3,17-32,6,0.0007891217452934012,3.3650075218505787e-06,4.1782457965205125e-06,122218,563
struct_pos,0,3,33-64,7,0.001590750198754611,1.0122895369621006e-05,1.1644474280490153e-05,235138,991
struct_pos,0,3,65-128,8,0.0026605995394347586,1.2931079043972792e-05,1.6845350064842916e-05,432718,1760
struct_pos,0,3,129-256,9,0.00359860634309735,1.5684578958130584e-05,1.811336520271008e-05,718284,2817
struct_pos,0,3,257-512,10,0.00288734705920616,1.8246883314765863e-05,1.3786032711514915e-05,935370,3174
struct_pos,0,3,513-1024,11,0.0008548103842510324,2.1518282611166375e-06,1.5495986344440065e-06,661509,1731
struct_pos,0,3,1025-2048,12,0.00014544970864670717,4.052951460426249e-07,2.6069767755368356e-07,112003,242
struct_pos,0,4,0,0,0.0005992667709157194,0.0,0.0,15504,0
struct_pos,0,4,1,1,0.0005393715515748143,3.327791443550181e-07,3.2878296414199767e-06,7752,40
struct_pos,0,4,2,2,0.00015335586892731173,5.905046459322005e-07,8.655881563581827e-07,7752,50
struct_pos,0,4,3-4,3,0.0010775371567106836,6.378742686489172e-07,4.821384445605863e-06,15504,60
struct_pos,0,4,5-8,4,0.0014277278014119441,1.6629684839486093e-06,8.065620062777848e-06,31008,178
struct_pos,0,4,9-16,5,0.0037060818578221358,2.874033592864333e-06,1.961839762153208e-05,62016,289
struct_pos,0,4,17-32,6,0.0071865453570312265,5.843090801716035e-06,3.608559181954231e-05,122218,563
struct_pos,0,4,33-64,7,0.013044685755843841,8.438543971124326e-06,5.8652284071542636e-05,235138,991
struct_pos,0,4,65-128,8,0.018789801096891594,1.2410550533963984e-05,7.936671559753662e-05,432718,1760
struct_pos,0,4,129-256,9,0.024794037835393773,1.4344090902197518e-05,0.0001016932034863743,718284,2817
struct_pos,0,4,257-512,10,0.03285105419955509,1.3688402055782891e-05,0.00011829000504641365,935370,3174
struct_pos,0,4,513-1024,11,0.030978386831480405,6.7173394132347854e-06,9.264770333404402e-05,661509,1731
struct_pos,0,4,1025-2048,12,0.005961265695599457,1.033883391888149e-06,1.4206557506388659e-05,112003,242
struct_pos,0,5,0,0,0.00032186849617476285,0.0,0.0,15504,0
struct_pos,0,5,1,1,0.0002766932196916141,4.470582780648327e-07,1.1898479392228855e-06,7752,40
struct_pos,0,5,2,2,0.00012801936168333668,9.77377328921736e-07,1.125817202156422e-06,7752,50
struct_pos,0,5,3-4,3,0.000549281562826558,7.071825254576856e-07,2.847854823996335e-06,15504,60
struct_pos,0,5,5-8,4,0.0008147814387841351,1.1929529377257392e-06,4.16751298867944e-06,31008,178
struct_pos,0,5,9-16,5,0.001924273730646718,2.26528403644524e-06,7.74000797368268e-06,62016,289
struct_pos,0,5,17-32,6,0.003570834221816944,4.342695545054101e-06,1.4441165277064846e-05,122218,563
struct_pos,0,5,33-64,7,0.006411553860422881,7.659349513590486e-06,2.960665775833598e-05,235138,991
struct_pos,0,5,65-128,8,0.008726934750994016,1.1345345565573585e-05,4.021316261294863e-05,432718,1760
struct_pos,0,5,129-256,9,0.01279549444874247,1.423487359269322e-05,5.315654329324968e-05,718284,2817
struct_pos,0,5,257-512,10,0.017294925673104537,1.1832076486842721e-05,6.692613893198822e-05,935370,3174
struct_pos,0,5,513-1024,11,0.014864868545288198,3.7492425416220077e-06,4.058666298884089e-05,661509,1731
struct_pos,0,5,1025-2048,12,0.0034828388561774335,3.8178251896665544e-07,8.592987042170679e-06,112003,242
struct_pos,0,6,0,0,0.0009302043370898694,0.0,0.0,15504,0
struct_pos,0,6,1,1,0.0007811736353212665,8.726223411328775e-07,4.945971561369364e-06,7752,40
struct_pos,0,6,2,2,0.00018045602872596728,7.565258699397185e-07,9.790909630455657e-07,7752,50
struct_pos,0,6,3-4,3,0.001488660835594677,8.044440503029386e-07,6.41040137843236e-06,15504,60
struct_pos,0,6,5-8,4,0.0018998865562926506,3.2817693071591717e-06,1.1661009679576833e-05,31008,178
struct_pos,0,6,9-16,5,0.005043883609005911,6.503111974050755e-06,2.9191186850494335e-05,62016,289
struct_pos,0,6,17-32,6,0.009627142453026045,9.274168706030977e-06,5.3546740875943364e-05,122218,563
struct_pos,0,6,33-64,7,0.016714569452238894,1.7030155198490948e-05,8.117414944079068e-05,235138,991
struct_pos,0,6,65-128,8,0.024829387126569284,2.62003801597265e-05,0.00011297505046077707,432718,1760
struct_pos,0,6,129-256,9,0.03555642881875683,3.457421083274798e-05,0.0001533575051397967,718284,2817
struct_pos,0,6,257-512,10,0.0416525709063153,3.4728139460253096e-05,0.0001540389877042034,935370,3174
struct_pos,0,6,513-1024,11,0.02940220603386807,1.6220361314511158e-05,8.75977715815436e-05,661509,1731
struct_pos,0,6,1025-2048,12,0.0053150241404495,7.792105919135335e-07,1.2441574640257929e-05,112003,242
struct_pos,0,7,0,0,0.0011222662771326346,0.0,0.0,15504,0
struct_pos,0,7,1,1,0.0008744650565556821,2.1997127985683633e-06,6.0991035829772366e-06,7752,40
struct_pos,0,7,2,2,0.00024672412727762424,2.1044776166555684e-06,2.4197936415119224e-06,7752,50
struct_pos,0,7,3-4,3,0.0017188378370398708,2.146259303924592e-06,7.763231990806494e-06,15504,60
struct_pos,0,7,5-8,4,0.002245501108598291,6.597988899524244e-06,1.531740572179257e-05,31008,178
struct_pos,0,7,9-16,5,0.00589853420207744,1.2014741683522984e-05,3.603818876128336e-05,62016,289
struct_pos,0,7,17-32,6,0.011298997029739022,2.7719581397817354e-05,7.386995568665157e-05,122218,563
struct_pos,0,7,33-64,7,0.020072977332507864,4.012478655828903e-05,0.00011061980664819723,235138,991
struct_pos,0,7,65-128,8,0.02990727284990474,5.133786806750224e-05,0.0001510617057238747,432718,1760
struct_pos,0,7,129-256,9,0.041754733544262075,5.494971866301339e-05,0.0001925329424077688,718284,2817
struct_pos,0,7,257-512,10,0.04902706960344954,5.737935088121239e-05,0.00018578115731409726,935370,3174
struct_pos,0,7,513-1024,11,0.033725652409288785,3.0078749788465638e-05,0.00010032400764462077,661509,1731
struct_pos,0,7,1025-2048,12,0.004574497094833445,2.7733974128008137e-06,1.060887252715651e-05,112003,242
struct_pos,0,8,0,0,1.519085208060643e-07,0.0,0.0,15504,0
struct_pos,0,8,1,1,1.0342875562223014e-07,5.181193742589926e-10,5.895296125937851e-10,7752,40
struct_pos,0,8,2,2,5.598766295343791e-08,2.8430626045127274e-10,3.7133526541073993e-10,7752,50
struct_pos,0,8,3-4,3,1.9726488525313407e-07,3.821959073040913e-10,8.095127016564829e-10,15504,60
