model,length,condition,candidates,quality_pass,quality_yield,median_scrmsd,median_plddt,mean_alpha,mean_beta
long,300,1.x.x.x,64,49,0.765625,1.060507466627978,90.62245488166809,0.7766145833333333,0.009010416666666665
long,300,2.x.x.x,64,37,0.578125,1.6824036204989157,89.63799774646759,0.17500000000000002,0.3126041666666667
long,300,3.x.x.x,64,34,0.53125,1.4395881308541933,86.44373714923859,0.48317708333333326,0.1296875
long,300,unconditional,64,47,0.734375,1.1759674423932722,90.43631851673126,0.6046874999999999,0.08854166666666667
long,400,1.x.x.x,64,46,0.71875,1.325630757521524,90.81017673015594,0.7765625,0.010234375
long,400,2.x.x.x,64,39,0.609375,1.679723094152696,87.52819001674652,0.18855468749999998,0.2684375
long,400,3.x.x.x,64,31,0.484375,1.9595272160443455,85.41800677776337,0.5020703125,0.12644531250000002
long,400,unconditional,64,46,0.71875,1.3996629346822016,88.57283294200897,0.6560546875000001,0.058828125
long,500,1.x.x.x,64,35,0.546875,1.7841951806617073,89.5611435174942,0.7659062499999999,0.015625
long,500,2.x.x.x,64,18,0.28125,4.175616216472909,86.53038144111633,0.22040625,0.255625
long,500,3.x.x.x,64,23,0.359375,2.5423761740218627,82.59044289588928,0.57971875,0.09203125
long,500,unconditional,64,40,0.625,1.3400372960280267,88.9177531003952,0.67603125,0.05640625
short,60,1.x.x.x,64,62,0.96875,0.7663435953045281,91.72650575637817,0.8518229166666667,0.0
short,60,2.x.x.x,64,57,0.890625,0.8985966403242653,88.86735737323761,0.030208333333333334,0.3911458333333333
short,60,3.x.x.x,64,55,0.859375,0.7604834299796996,88.73003721237183,0.38828125,0.24192708333333335
short,60,unconditional,64,56,0.875,0.8263453400433518,90.02653062343597,0.6927083333333333,0.07083333333333333
short,100,1.x.x.x,64,52,0.8125,0.8569341046001053,91.44601821899414,0.8425,0.007031249999999999
short,100,2.x.x.x,64,51,0.796875,1.1165348291105008,86.89328730106354,0.036250000000000004,0.4709375
short,100,3.x.x.x,64,50,0.78125,1.075514301178551,87.09366917610168,0.4396875,0.211875
short,100,unconditional,64,52,0.8125,0.9326679050093634,89.93220031261444,0.7115625,0.053125000000000006
short,200,1.x.x.x,64,50,0.78125,1.1770330483218068,90.13100266456604,0.823046875,0.001953125
short,200,2.x.x.x,64,27,0.421875,2.649418629944301,83.29589068889618,0.11437499999999999,0.328203125
short,200,3.x.x.x,64,40,0.625,1.73154628775079,84.93675291538239,0.50859375,0.158046875
short,200,unconditional,64,47,0.734375,1.2637297144586295,88.74768912792206,0.738359375,0.0371875
