geometry,condition,sample_size,repeat,fine_clusters,effective_clusters
original,1.x.x.x,25,0,24,23.651441168139897
original,1.x.x.x,25,1,25,24.999999999999986
original,1.x.x.x,25,2,25,24.999999999999986
original,1.x.x.x,25,3,25,24.999999999999986
original,1.x.x.x,25,4,25,24.999999999999986
original,1.x.x.x,25,5,24,23.651441168139897
original,1.x.x.x,25,6,25,24.999999999999986
original,1.x.x.x,25,7,25,24.999999999999986
original,1.x.x.x,25,8,25,24.999999999999986
original,1.x.x.x,25,9,25,24.999999999999986
original,1.x.x.x,25,10,25,24.999999999999986
original,1.x.x.x,25,11,25,24.999999999999986
original,1.x.x.x,25,12,25,24.999999999999986
original,1.x.x.x,25,13,25,24.999999999999986
original,1.x.x.x,25,14,25,24.999999999999986
original,1.x.x.x,25,15,24,23.651441168139897
original,1.x.x.x,25,16,25,24.999999999999986
original,1.x.x.x,25,17,25,24.999999999999986
original,1.x.x.x,25,18,25,24.999999999999986
original,1.x.x.x,25,19,25,24.999999999999986
original,1.x.x.x,50,0,49,48.63274737061424
original,1.x.x.x,50,1,49,48.63274737061424
original,1.x.x.x,50,2,49,48.63274737061424
original,1.x.x.x,50,3,50,49.99999999999997
original,1.x.x.x,50,4,50,49.99999999999997
original,1.x.x.x,50,5,50,49.99999999999997
original,1.x.x.x,50,6,50,49.99999999999997
original,1.x.x.x,50,7,49,48.63274737061424
original,1.x.x.x,50,8,50,49.99999999999997
original,1.x.x.x,50,9,50,49.99999999999997
original,1.x.x.x,50,10,50,49.99999999999997
original,1.x.x.x,50,11,50,49.99999999999997
original,1.x.x.x,50,12,50,49.99999999999997
original,1.x.x.x,50,13,50,49.99999999999997
original,1.x.x.x,50,14,50,49.99999999999997
original,1.x.x.x,50,15,50,49.99999999999997
original,1.x.x.x,50,16,50,49.99999999999997
original,1.x.x.x,50,17,49,48.63274737061424
original,1.x.x.x,50,18,50,49.99999999999997
original,1.x.x.x,50,19,50,49.99999999999997
original,1.x.x.x,100,0,98,96.7578840354192
original,1.x.x.x,100,1,96,94.11203460819466
original,1.x.x.x,100,2,97,94.60576467255952
original,1.x.x.x,100,3,99,98.62327044933582
original,1.x.x.x,100,4,97,95.42578965330634
original,1.x.x.x,100,5,94,88.57075058094027
original,1.x.x.x,100,6,95,90.99780148824632
original,1.x.x.x,100,7,97,94.60576467255952
original,1.x.x.x,100,8,99,98.62327044933582
original,1.x.x.x,100,9,99,98.62327044933582
original,1.x.x.x,100,10,96,93.62088123011642
original,1.x.x.x,100,11,97,94.60576467255952
original,1.x.x.x,100,12,98,96.7578840354192
original,1.x.x.x,100,13,98,96.7578840354192
original,1.x.x.x,100,14,99,98.62327044933582
original,1.x.x.x,100,15,95,90.99780148824641
original,1.x.x.x,100,16,98,96.7578840354192
original,1.x.x.x,100,17,98,97.2654947412285
original,1.x.x.x,100,18,97,95.42578965330634
original,1.x.x.x,100,19,99,98.62327044933582
original,1.x.x.x,197,0,187,177.81553080970653
original,1.x.x.x,197,1,187,177.81553080970653
original,1.x.x.x,197,2,187,177.81553080970653
original,1.x.x.x,197,3,187,177.81553080970653
original,1.x.x.x,197,4,187,177.81553080970653
original,1.x.x.x,197,5,187,177.81553080970653
original,1.x.x.x,197,6,187,177.81553080970653
original,1.x.x.x,197,7,187,177.81553080970653
original,1.x.x.x,197,8,187,177.81553080970653
original,1.x.x.x,197,9,187,177.81553080970653
original,1.x.x.x,197,10,187,177.81553080970653
original,1.x.x.x,197,11,187,177.81553080970653
original,1.x.x.x,197,12,187,177.81553080970653
original,1.x.x.x,197,13,187,177.81553080970653
original,1.x.x.x,197,14,187,177.81553080970653
original,1.x.x.x,197,15,187,177.81553080970653
original,1.x.x.x,197,16,187,177.81553080970653
original,1.x.x.x,197,17,187,177.81553080970653
original,1.x.x.x,197,18,187,177.81553080970653
original,1.x.x.x,197,19,187,177.81553080970653
original,2.x.x.x,25,0,23,21.9121735057589
original,2.x.x.x,25,1,25,24.999999999999986
original,2.x.x.x,25,2,24,23.651441168139897
original,2.x.x.x,25,3,24,23.651441168139897
original,2.x.x.x,25,4,25,24.999999999999986
original,2.x.x.x,25,5,25,24.999999999999986
original,2.x.x.x,25,6,25,24.999999999999986
original,2.x.x.x,25,7,23,22.37562677319928
original,2.x.x.x,25,8,25,24.999999999999986
original,2.x.x.x,25,9,25,24.999999999999986
original,2.x.x.x,25,10,25,24.999999999999986
original,2.x.x.x,25,11,24,23.651441168139897
original,2.x.x.x,25,12,25,24.999999999999986
original,2.x.x.x,25,13,25,24.999999999999986
original,2.x.x.x,25,14,24,23.651441168139897
original,2.x.x.x,25,15,25,24.999999999999986
original,2.x.x.x,25,16,25,24.999999999999986
original,2.x.x.x,25,17,22,20.73017930150121
original,2.x.x.x,25,18,25,24.999999999999986
original,2.x.x.x,25,19,25,24.999999999999986
original,2.x.x.x,50,0,48,47.30288233627977
original,2.x.x.x,50,1,46,44.285375290470206
original,2.x.x.x,50,2,49,48.63274737061424
original,2.x.x.x,50,3,48,46.810440615058205
original,2.x.x.x,50,4,50,49.99999999999997
original,2.x.x.x,50,5,49,48.63274737061424
original,2.x.x.x,50,6,48,47.30288233627977
original,2.x.x.x,50,7,48,47.30288233627977
original,2.x.x.x,50,8,45,42.337265618126345
original,2.x.x.x,50,9,49,48.63274737061424
original,2.x.x.x,50,10,49,48.63274737061424
original,2.x.x.x,50,11,50,49.99999999999997
original,2.x.x.x,50,12,49,48.63274737061424
original,2.x.x.x,50,13,49,48.63274737061424
original,2.x.x.x,50,14,47,45.530406654785345
original,2.x.x.x,50,15,50,49.99999999999997
original,2.x.x.x,50,16,50,49.99999999999997
original,2.x.x.x,50,17,49,48.63274737061424
original,2.x.x.x,50,18,46,43.527528164806185
original,2.x.x.x,50,19,49,48.63274737061424
original,2.x.x.x,100,0,95,90.99780148824641
original,2.x.x.x,100,1,93,88.57075058094034
original,2.x.x.x,100,2,95,92.01876506248733
original,2.x.x.x,100,3,93,90.27829799633851
original,2.x.x.x,100,4,97,95.42578965330634
original,2.x.x.x,100,5,92,87.80963319009935
original,2.x.x.x,100,6,91,83.79303586332418
original,2.x.x.x,100,7,88,78.59182317412798
original,2.x.x.x,100,8,92,86.8353706373073
original,2.x.x.x,100,9,92,87.80963319009942
original,2.x.x.x,100,10,96,94.11203460819475
original,2.x.x.x,100,11,90,78.33924831875632
original,2.x.x.x,100,12,95,90.99780148824641
original,2.x.x.x,100,13,94,89.50250709279706
original,2.x.x.x,100,14,92,87.0550563296123
original,2.x.x.x,100,15,92,87.29092590515793
original,2.x.x.x,100,16,96,94.11203460819466
original,2.x.x.x,100,17,88,81.50171089115739
original,2.x.x.x,100,18,96,94.60576467255952
original,2.x.x.x,100,19,95,89.80715218366267
original,2.x.x.x,200,0,178,153.8647247879617
original,2.x.x.x,200,1,179,160.19226633956742
original,2.x.x.x,200,2,179,155.4709275918506
original,2.x.x.x,200,3,176,153.12467158287348
original,2.x.x.x,200,4,177,152.3178094542079
original,2.x.x.x,200,5,175,145.48178481022313
original,2.x.x.x,200,6,183,167.43242382112683
original,2.x.x.x,200,7,179,158.81568186907856
original,2.x.x.x,200,8,179,160.40760894301818
original,2.x.x.x,200,9,178,152.57001130603774
original,2.x.x.x,200,10,176,148.99126311652907
original,2.x.x.x,200,11,181,162.6964064563937
original,2.x.x.x,200,12,177,153.82147908640962
original,2.x.x.x,200,13,175,146.11092880517307
original,2.x.x.x,200,14,174,144.47686871781832
original,2.x.x.x,200,15,181,162.86700674668128
original,2.x.x.x,200,16,178,151.23843160380554
original,2.x.x.x,200,17,176,149.718824359877
original,2.x.x.x,200,18,179,156.6292194456982
original,2.x.x.x,200,19,180,164.70906269400032
original,2.x.x.x,222,0,196,165.62169732263453
original,2.x.x.x,222,1,196,165.62169732263453
original,2.x.x.x,222,2,196,165.6216973226344
original,2.x.x.x,222,3,196,165.62169732263453
original,2.x.x.x,222,4,196,165.62169732263453
original,2.x.x.x,222,5,196,165.62169732263453
original,2.x.x.x,222,6,196,165.62169732263453
original,2.x.x.x,222,7,196,165.62169732263453
original,2.x.x.x,222,8,196,165.6216973226344
original,2.x.x.x,222,9,196,165.62169732263453
original,2.x.x.x,222,10,196,165.6216973226344
original,2.x.x.x,222,11,196,165.6216973226344
original,2.x.x.x,222,12,196,165.62169732263453
original,2.x.x.x,222,13,196,165.62169732263453
original,2.x.x.x,222,14,196,165.62169732263453
original,2.x.x.x,222,15,196,165.6216973226344
original,2.x.x.x,222,16,196,165.6216973226344
original,2.x.x.x,222,17,196,165.62169732263453
original,2.x.x.x,222,18,196,165.6216973226344
original,2.x.x.x,222,19,196,165.6216973226344
original,3.x.x.x,25,0,25,24.999999999999986
original,3.x.x.x,25,1,25,24.999999999999986
original,3.x.x.x,25,2,25,24.999999999999986
original,3.x.x.x,25,3,25,24.999999999999986
original,3.x.x.x,25,4,25,24.999999999999986
original,3.x.x.x,25,5,25,24.999999999999986
original,3.x.x.x,25,6,25,24.999999999999986
original,3.x.x.x,25,7,25,24.999999999999986
original,3.x.x.x,25,8,25,24.999999999999986
original,3.x.x.x,25,9,25,24.999999999999986
original,3.x.x.x,25,10,25,24.999999999999986
original,3.x.x.x,25,11,25,24.999999999999986
original,3.x.x.x,25,12,25,24.999999999999986
original,3.x.x.x,25,13,25,24.999999999999986
original,3.x.x.x,25,14,25,24.999999999999986
original,3.x.x.x,25,15,25,24.999999999999986
original,3.x.x.x,25,16,25,24.999999999999986
original,3.x.x.x,25,17,25,24.999999999999986
original,3.x.x.x,25,18,25,24.999999999999986
original,3.x.x.x,25,19,25,24.999999999999986
original,3.x.x.x,50,0,50,49.99999999999997
original,3.x.x.x,50,1,50,49.99999999999997
original,3.x.x.x,50,2,50,49.99999999999997
original,3.x.x.x,50,3,50,49.99999999999997
original,3.x.x.x,50,4,50,49.99999999999997
original,3.x.x.x,50,5,50,49.99999999999997
original,3.x.x.x,50,6,50,49.99999999999997
original,3.x.x.x,50,7,50,49.99999999999997
original,3.x.x.x,50,8,50,49.99999999999997
original,3.x.x.x,50,9,50,49.99999999999997
original,3.x.x.x,50,10,50,49.99999999999997
original,3.x.x.x,50,11,50,49.99999999999997
original,3.x.x.x,50,12,50,49.99999999999997
original,3.x.x.x,50,13,50,49.99999999999997
original,3.x.x.x,50,14,50,49.99999999999997
original,3.x.x.x,50,15,50,49.99999999999997
original,3.x.x.x,50,16,50,49.99999999999997
original,3.x.x.x,50,17,50,49.99999999999997
original,3.x.x.x,50,18,50,49.99999999999997
original,3.x.x.x,50,19,50,49.99999999999997
original,3.x.x.x,100,0,100,99.99999999999987
original,3.x.x.x,100,1,100,99.99999999999987
original,3.x.x.x,100,2,100,99.99999999999987
original,3.x.x.x,100,3,100,99.99999999999987
original,3.x.x.x,100,4,100,99.99999999999987
original,3.x.x.x,100,5,100,99.99999999999987
original,3.x.x.x,100,6,100,99.99999999999987
original,3.x.x.x,100,7,100,99.99999999999987
original,3.x.x.x,100,8,100,99.99999999999987
original,3.x.x.x,100,9,100,99.99999999999987
original,3.x.x.x,100,10,100,99.99999999999987
original,3.x.x.x,100,11,100,99.99999999999987
original,3.x.x.x,100,12,100,99.99999999999987
original,3.x.x.x,100,13,100,99.99999999999987
original,3.x.x.x,100,14,100,99.99999999999987
original,3.x.x.x,100,15,100,99.99999999999987
original,3.x.x.x,100,16,100,99.99999999999987
original,3.x.x.x,100,17,100,99.99999999999987
original,3.x.x.x,100,18,100,99.99999999999987
original,3.x.x.x,100,19,100,99.99999999999987
original,3.x.x.x,200,0,200,200.0000000000001
original,3.x.x.x,200,1,200,200.0000000000001
original,3.x.x.x,200,2,200,200.0000000000001
original,3.x.x.x,200,3,200,200.0000000000001
original,3.x.x.x,200,4,200,200.0000000000001
original,3.x.x.x,200,5,200,200.0000000000001
original,3.x.x.x,200,6,200,200.0000000000001
original,3.x.x.x,200,7,200,200.0000000000001
original,3.x.x.x,200,8,200,200.0000000000001
original,3.x.x.x,200,9,200,200.0000000000001
original,3.x.x.x,200,10,200,200.0000000000001
original,3.x.x.x,200,11,200,200.0000000000001
original,3.x.x.x,200,12,200,200.0000000000001
original,3.x.x.x,200,13,200,200.0000000000001
original,3.x.x.x,200,14,200,200.0000000000001
original,3.x.x.x,200,15,200,200.0000000000001
original,3.x.x.x,200,16,200,200.0000000000001
original,3.x.x.x,200,17,200,200.0000000000001
original,3.x.x.x,200,18,200,200.0000000000001
original,3.x.x.x,200,19,200,200.0000000000001
original,3.x.x.x,208,0,208,207.99999999999997
original,3.x.x.x,208,1,208,207.99999999999997
original,3.x.x.x,208,2,208,207.99999999999997
