geometry,condition,sample_size,repeat,fine_clusters,effective_clusters
original,2.x.x.x,1,0,1,1.0
original,2.x.x.x,1,1,1,1.0
original,2.x.x.x,1,2,1,1.0
original,2.x.x.x,1,3,1,1.0
original,2.x.x.x,1,4,1,1.0
original,2.x.x.x,1,5,1,1.0
original,2.x.x.x,1,6,1,1.0
original,2.x.x.x,1,7,1,1.0
original,2.x.x.x,1,8,1,1.0
original,2.x.x.x,1,9,1,1.0
original,2.x.x.x,1,10,1,1.0
original,2.x.x.x,1,11,1,1.0
original,2.x.x.x,1,12,1,1.0
original,2.x.x.x,1,13,1,1.0
original,2.x.x.x,1,14,1,1.0
original,2.x.x.x,1,15,1,1.0
original,2.x.x.x,1,16,1,1.0
original,2.x.x.x,1,17,1,1.0
original,2.x.x.x,1,18,1,1.0
original,2.x.x.x,1,19,1,1.0
original,unconditional,3,0,3,2.9999999999999996
original,unconditional,3,1,3,2.9999999999999996
original,unconditional,3,2,3,2.9999999999999996
original,unconditional,3,3,3,2.9999999999999996
original,unconditional,3,4,3,2.9999999999999996
original,unconditional,3,5,3,2.9999999999999996
original,unconditional,3,6,3,2.9999999999999996
original,unconditional,3,7,3,2.9999999999999996
original,unconditional,3,8,3,2.9999999999999996
original,unconditional,3,9,3,2.9999999999999996
original,unconditional,3,10,3,2.9999999999999996
original,unconditional,3,11,3,2.9999999999999996
original,unconditional,3,12,3,2.9999999999999996
original,unconditional,3,13,3,2.9999999999999996
original,unconditional,3,14,3,2.9999999999999996
original,unconditional,3,15,3,2.9999999999999996
original,unconditional,3,16,3,2.9999999999999996
original,unconditional,3,17,3,2.9999999999999996
original,unconditional,3,18,3,2.9999999999999996
original,unconditional,3,19,3,2.9999999999999996
refolded,2.x.x.x,1,0,1,1.0
refolded,2.x.x.x,1,1,1,1.0
refolded,2.x.x.x,1,2,1,1.0
refolded,2.x.x.x,1,3,1,1.0
refolded,2.x.x.x,1,4,1,1.0
refolded,2.x.x.x,1,5,1,1.0
refolded,2.x.x.x,1,6,1,1.0
refolded,2.x.x.x,1,7,1,1.0
refolded,2.x.x.x,1,8,1,1.0
refolded,2.x.x.x,1,9,1,1.0
refolded,2.x.x.x,1,10,1,1.0
refolded,2.x.x.x,1,11,1,1.0
refolded,2.x.x.x,1,12,1,1.0
refolded,2.x.x.x,1,13,1,1.0
refolded,2.x.x.x,1,14,1,1.0
refolded,2.x.x.x,1,15,1,1.0
refolded,2.x.x.x,1,16,1,1.0
refolded,2.x.x.x,1,17,1,1.0
refolded,2.x.x.x,1,18,1,1.0
refolded,2.x.x.x,1,19,1,1.0
refolded,unconditional,3,0,3,2.9999999999999996
refolded,unconditional,3,1,3,2.9999999999999996
refolded,unconditional,3,2,3,2.9999999999999996
refolded,unconditional,3,3,3,2.9999999999999996
refolded,unconditional,3,4,3,2.9999999999999996
refolded,unconditional,3,5,3,2.9999999999999996
refolded,unconditional,3,6,3,2.9999999999999996
refolded,unconditional,3,7,3,2.9999999999999996
refolded,unconditional,3,8,3,2.9999999999999996
refolded,unconditional,3,9,3,2.9999999999999996
refolded,unconditional,3,10,3,2.9999999999999996
refolded,unconditional,3,11,3,2.9999999999999996
refolded,unconditional,3,12,3,2.9999999999999996
refolded,unconditional,3,13,3,2.9999999999999996
refolded,unconditional,3,14,3,2.9999999999999996
refolded,unconditional,3,15,3,2.9999999999999996
refolded,unconditional,3,16,3,2.9999999999999996
refolded,unconditional,3,17,3,2.9999999999999996
refolded,unconditional,3,18,3,2.9999999999999996
refolded,unconditional,3,19,3,2.9999999999999996
