mode,tm_threshold,length_bin,size_bin,sample_clusters,clusters_after_sequence_quality,candidates_after_quality,clusters_with_hit,selected_additions,additions_per_sampled_cluster,frame_clusters,frame_projected_additions
whole_chain,0.7,250-499,10-99,112,112,1595,0,0,0.0,390929.55,0.0
whole_chain,0.7,250-499,100+,112,112,3192,2,3,0.026785714285714284,4504.95,120.66830357142855
whole_chain,0.7,250-499,2-9,112,112,221,1,1,0.008928571428571428,3203486.63,28602.55919642857
whole_chain,0.7,500-1000,10-99,112,112,1637,5,5,0.044642857142857144,136616.78,6098.963392857143
whole_chain,0.7,500-1000,100+,112,111,2957,0,0,0.0,6106.71,0.0
whole_chain,0.7,500-1000,2-9,112,112,199,1,1,0.008928571428571428,582306.5,5199.165178571428
whole_chain,0.7,60-249,10-99,112,111,1474,1,1,0.008928571428571428,164380.62,1467.684107142857
whole_chain,0.7,60-249,100+,23,23,628,0,0,0.0,767.51,0.0
whole_chain,0.7,60-249,2-9,112,111,160,0,0,0.0,3684214.85,0.0
whole_chain,0.8,250-499,10-99,112,112,1595,3,5,0.044642857142857144,390929.55,17452.212053571428
whole_chain,0.8,250-499,100+,112,112,3192,8,14,0.125,4504.95,563.11875
whole_chain,0.8,250-499,2-9,112,112,221,4,4,0.03571428571428571,3203486.63,114410.23678571428
whole_chain,0.8,500-1000,10-99,112,112,1637,9,14,0.125,136616.78,17077.0975
whole_chain,0.8,500-1000,100+,112,111,2957,2,2,0.017857142857142856,6106.71,109.04839285714286
whole_chain,0.8,500-1000,2-9,112,112,199,2,2,0.017857142857142856,582306.5,10398.330357142857
whole_chain,0.8,60-249,10-99,112,111,1474,5,5,0.044642857142857144,164380.62,7338.4205357142855
whole_chain,0.8,60-249,100+,23,23,628,2,3,0.13043478260869565,767.51,100.10999999999999
whole_chain,0.8,60-249,2-9,112,111,160,0,0,0.0,3684214.85,0.0
whole_chain,0.9,250-499,10-99,112,112,1595,42,78,0.6964285714285714,390929.55,272254.5080357143
whole_chain,0.9,250-499,100+,112,112,3192,42,75,0.6696428571428571,4504.95,3016.707589285714
whole_chain,0.9,250-499,2-9,112,112,221,14,21,0.1875,3203486.63,600653.743125
whole_chain,0.9,500-1000,10-99,112,112,1637,41,68,0.6071428571428571,136616.78,82945.90214285713
whole_chain,0.9,500-1000,100+,112,111,2957,16,22,0.19642857142857142,6106.71,1199.5323214285713
whole_chain,0.9,500-1000,2-9,112,112,199,15,18,0.16071428571428573,582306.5,93584.97321428571
whole_chain,0.9,60-249,10-99,112,111,1474,60,109,0.9732142857142857,164380.62,159977.56767857142
whole_chain,0.9,60-249,100+,23,23,628,15,27,1.173913043478261,767.51,900.99
whole_chain,0.9,60-249,2-9,112,111,160,26,30,0.26785714285714285,3684214.85,986843.2633928572
whole_and_core,0.7,250-499,10-99,112,112,1595,0,0,0.0,390929.55,0.0
whole_and_core,0.7,250-499,100+,112,112,3192,2,3,0.026785714285714284,4504.95,120.66830357142855
whole_and_core,0.7,250-499,2-9,112,112,221,0,0,0.0,3203486.63,0.0
whole_and_core,0.7,500-1000,10-99,112,112,1637,3,3,0.026785714285714284,136616.78,3659.3780357142855
whole_and_core,0.7,500-1000,100+,112,111,2957,0,0,0.0,6106.71,0.0
whole_and_core,0.7,500-1000,2-9,112,112,199,1,1,0.008928571428571428,582306.5,5199.165178571428
whole_and_core,0.7,60-249,10-99,112,111,1474,0,0,0.0,164380.62,0.0
whole_and_core,0.7,60-249,100+,23,23,628,0,0,0.0,767.51,0.0
whole_and_core,0.7,60-249,2-9,112,111,160,0,0,0.0,3684214.85,0.0
whole_and_core,0.8,250-499,10-99,112,112,1595,2,2,0.017857142857142856,390929.55,6980.884821428571
whole_and_core,0.8,250-499,100+,112,112,3192,5,10,0.08928571428571429,4504.95,402.22767857142856
whole_and_core,0.8,250-499,2-9,112,112,221,2,2,0.017857142857142856,3203486.63,57205.11839285714
whole_and_core,0.8,500-1000,10-99,112,112,1637,6,10,0.08928571428571429,136616.78,12197.926785714286
whole_and_core,0.8,500-1000,100+,112,111,2957,2,2,0.017857142857142856,6106.71,109.04839285714286
whole_and_core,0.8,500-1000,2-9,112,112,199,2,2,0.017857142857142856,582306.5,10398.330357142857
whole_and_core,0.8,60-249,10-99,112,111,1474,2,2,0.017857142857142856,164380.62,2935.368214285714
whole_and_core,0.8,60-249,100+,23,23,628,1,2,0.08695652173913043,767.51,66.74
whole_and_core,0.8,60-249,2-9,112,111,160,0,0,0.0,3684214.85,0.0
whole_and_core,0.9,250-499,10-99,112,112,1595,14,22,0.19642857142857142,390929.55,76789.73303571428
whole_and_core,0.9,250-499,100+,112,112,3192,15,28,0.25,4504.95,1126.2375
whole_and_core,0.9,250-499,2-9,112,112,221,5,7,0.0625,3203486.63,200217.914375
whole_and_core,0.9,500-1000,10-99,112,112,1637,27,44,0.39285714285714285,136616.78,53670.87785714286
whole_and_core,0.9,500-1000,100+,112,111,2957,9,9,0.08035714285714286,6106.71,490.71776785714286
whole_and_core,0.9,500-1000,2-9,112,112,199,8,10,0.08928571428571429,582306.5,51991.65178571428
whole_and_core,0.9,60-249,10-99,112,111,1474,24,32,0.2857142857142857,164380.62,46965.89142857143
whole_and_core,0.9,60-249,100+,23,23,628,5,7,0.30434782608695654,767.51,233.58999999999997
whole_and_core,0.9,60-249,2-9,112,111,160,10,10,0.08928571428571429,3684214.85,328947.75446428574
