mode,tm_threshold,length_bin,size_bin,sample_clusters,clusters_after_sequence_quality,candidates_after_quality,clusters_with_hit,selected_additions,additions_per_sampled_cluster,frame_clusters,frame_projected_additions
whole_chain,0.7,250-499,10-99,4,4,55,0,0,0.0,,
whole_chain,0.7,250-499,100+,2,2,63,0,0,0.0,,
whole_chain,0.7,250-499,2-9,4,4,7,0,0,0.0,,
whole_chain,0.7,500-1000,10-99,4,4,61,1,1,0.25,,
whole_chain,0.7,500-1000,100+,3,3,70,0,0,0.0,,
whole_chain,0.7,500-1000,2-9,4,4,7,0,0,0.0,,
whole_chain,0.7,60-249,10-99,4,4,45,0,0,0.0,,
whole_chain,0.7,60-249,2-9,4,4,9,0,0,0.0,,
whole_chain,0.8,250-499,10-99,4,4,55,1,1,0.25,,
whole_chain,0.8,250-499,100+,2,2,63,0,0,0.0,,
whole_chain,0.8,250-499,2-9,4,4,7,0,0,0.0,,
whole_chain,0.8,500-1000,10-99,4,4,61,1,1,0.25,,
whole_chain,0.8,500-1000,100+,3,3,70,0,0,0.0,,
whole_chain,0.8,500-1000,2-9,4,4,7,0,0,0.0,,
whole_chain,0.8,60-249,10-99,4,4,45,0,0,0.0,,
whole_chain,0.8,60-249,2-9,4,4,9,0,0,0.0,,
whole_chain,0.9,250-499,10-99,4,4,55,1,2,0.5,,
whole_chain,0.9,250-499,100+,2,2,63,0,0,0.0,,
whole_chain,0.9,250-499,2-9,4,4,7,0,0,0.0,,
whole_chain,0.9,500-1000,10-99,4,4,61,3,5,1.25,,
whole_chain,0.9,500-1000,100+,3,3,70,0,0,0.0,,
whole_chain,0.9,500-1000,2-9,4,4,7,1,1,0.25,,
whole_chain,0.9,60-249,10-99,4,4,45,2,5,1.25,,
whole_chain,0.9,60-249,2-9,4,4,9,0,0,0.0,,
whole_and_core,0.7,250-499,10-99,4,4,55,0,0,0.0,,
whole_and_core,0.7,250-499,100+,2,2,63,0,0,0.0,,
whole_and_core,0.7,250-499,2-9,4,4,7,0,0,0.0,,
whole_and_core,0.7,500-1000,10-99,4,4,61,0,0,0.0,,
whole_and_core,0.7,500-1000,100+,3,3,70,0,0,0.0,,
whole_and_core,0.7,500-1000,2-9,4,4,7,0,0,0.0,,
whole_and_core,0.7,60-249,10-99,4,4,45,0,0,0.0,,
whole_and_core,0.7,60-249,2-9,4,4,9,0,0,0.0,,
whole_and_core,0.8,250-499,10-99,4,4,55,1,1,0.25,,
whole_and_core,0.8,250-499,100+,2,2,63,0,0,0.0,,
whole_and_core,0.8,250-499,2-9,4,4,7,0,0,0.0,,
whole_and_core,0.8,500-1000,10-99,4,4,61,1,1,0.25,,
whole_and_core,0.8,500-1000,100+,3,3,70,0,0,0.0,,
whole_and_core,0.8,500-1000,2-9,4,4,7,0,0,0.0,,
whole_and_core,0.8,60-249,10-99,4,4,45,0,0,0.0,,
whole_and_core,0.8,60-249,2-9,4,4,9,0,0,0.0,,
whole_and_core,0.9,250-499,10-99,4,4,55,1,2,0.5,,
whole_and_core,0.9,250-499,100+,2,2,63,0,0,0.0,,
whole_and_core,0.9,250-499,2-9,4,4,7,0,0,0.0,,
whole_and_core,0.9,500-1000,10-99,4,4,61,2,4,1.0,,
whole_and_core,0.9,500-1000,100+,3,3,70,0,0,0.0,,
whole_and_core,0.9,500-1000,2-9,4,4,7,1,1,0.25,,
whole_and_core,0.9,60-249,10-99,4,4,45,1,1,0.25,,
whole_and_core,0.9,60-249,2-9,4,4,9,0,0,0.0,,
