model,range,cut,mean_precision
delta-v2-step11999-n100,all,AUC,0.7365159797266594
delta-v2-step11999-n100,all,L,0.14406244317806804
delta-v2-step11999-n100,all,L/2,0.19467997020461408
delta-v2-step11999-n100,all,L/5,0.266307532844816
delta-v2-step11999-n100,all,R,0.15788808904673562
delta-v2-step11999-n100,long,AUC,0.6866229047061787
delta-v2-step11999-n100,long,L,0.0787220036595287
delta-v2-step11999-n100,long,L/2,0.10317943663573266
delta-v2-step11999-n100,long,L/5,0.1402675226444475
delta-v2-step11999-n100,long,R,0.10538368407540309
delta-v2-step11999-n100,medium,AUC,0.7618462427535772
delta-v2-step11999-n100,medium,L,0.08729234112098574
delta-v2-step11999-n100,medium,L/2,0.12270712757473182
delta-v2-step11999-n100,medium,L/5,0.18097088772951408
delta-v2-step11999-n100,medium,R,0.17809239709365005
delta-v2-step11999-n100,short,AUC,0.8031094184763788
delta-v2-step11999-n100,short,L,0.0787021437002635
delta-v2-step11999-n100,short,L/2,0.11900442927640396
delta-v2-step11999-n100,short,L/5,0.19054290088512968
delta-v2-step11999-n100,short,R,0.25834259709725
delta-v2-step2000-n100,all,AUC,0.5659939575496924
delta-v2-step2000-n100,all,L,0.023679970131253454
delta-v2-step2000-n100,all,L/2,0.024442908676469543
delta-v2-step2000-n100,all,L/5,0.025317085902305476
delta-v2-step2000-n100,all,R,0.023805874630212685
delta-v2-step2000-n100,long,AUC,0.5454865200443558
delta-v2-step2000-n100,long,L,0.02018138889981047
delta-v2-step2000-n100,long,L/2,0.020517775601771666
delta-v2-step2000-n100,long,L/5,0.019578269613209843
delta-v2-step2000-n100,long,R,0.01920477510221905
delta-v2-step2000-n100,medium,AUC,0.5159664678777623
delta-v2-step2000-n100,medium,L,0.02184110662120855
delta-v2-step2000-n100,medium,L/2,0.022776781552366728
delta-v2-step2000-n100,medium,L/5,0.023831676294939826
delta-v2-step2000-n100,medium,R,0.0239629436071942
delta-v2-step2000-n100,short,AUC,0.5250732636315545
delta-v2-step2000-n100,short,L,0.025214292118862773
delta-v2-step2000-n100,short,L/2,0.02483953435068727
delta-v2-step2000-n100,short,L/5,0.02569672317896289
delta-v2-step2000-n100,short,R,0.026329120759562306
delta-v2-step22000-n100,all,AUC,0.8885528091708499
delta-v2-step22000-n100,all,L,0.4197488297610623
delta-v2-step22000-n100,all,L/2,0.5625004332821275
delta-v2-step22000-n100,all,L/5,0.6760510825065954
delta-v2-step22000-n100,all,R,0.46907921647010387
delta-v2-step22000-n100,long,AUC,0.8548786680774395
delta-v2-step22000-n100,long,L,0.257807000776494
delta-v2-step22000-n100,long,L/2,0.39652687877587117
delta-v2-step22000-n100,long,L/5,0.5301875042583931
delta-v2-step22000-n100,long,R,0.40284947488499834
delta-v2-step22000-n100,medium,AUC,0.9340437331007924
delta-v2-step22000-n100,medium,L,0.1649236013229852
delta-v2-step22000-n100,medium,L/2,0.28839835846663275
delta-v2-step22000-n100,medium,L/5,0.501871895560808
delta-v2-step22000-n100,medium,R,0.524788805856176
delta-v2-step22000-n100,short,AUC,0.9438020379843114
delta-v2-step22000-n100,short,L,0.11451193424748972
delta-v2-step22000-n100,short,L/2,0.21068698407470865
delta-v2-step22000-n100,short,L/5,0.4123561762166678
delta-v2-step22000-n100,short,R,0.5817293954487432
delta-v2-step30000-n100,all,AUC,0.9054057750477245
delta-v2-step30000-n100,all,L,0.46102917876929583
delta-v2-step30000-n100,all,L/2,0.6122237225660169
delta-v2-step30000-n100,all,L/5,0.7212174896068091
delta-v2-step30000-n100,all,R,0.5091141672699215
delta-v2-step30000-n100,long,AUC,0.8775034509523336
delta-v2-step30000-n100,long,L,0.2869011474674573
delta-v2-step30000-n100,long,L/2,0.4396251920790477
delta-v2-step30000-n100,long,L/5,0.5831755523767443
delta-v2-step30000-n100,long,R,0.43904886139336746
delta-v2-step30000-n100,medium,AUC,0.9436042218393479
delta-v2-step30000-n100,medium,L,0.17067935308682688
delta-v2-step30000-n100,medium,L/2,0.30815689466532403
delta-v2-step30000-n100,medium,L/5,0.5440483936220859
delta-v2-step30000-n100,medium,R,0.5712864678048467
delta-v2-step30000-n100,short,AUC,0.950873112706245
delta-v2-step30000-n100,short,L,0.11648442843008877
delta-v2-step30000-n100,short,L/2,0.21810390583093658
delta-v2-step30000-n100,short,L/5,0.4451187286161195
delta-v2-step30000-n100,short,R,0.6242940519797003
delta-v2-step36000-n100,all,AUC,0.904614258108313
delta-v2-step36000-n100,all,L,0.46358527550588574
delta-v2-step36000-n100,all,L/2,0.6191988420580267
delta-v2-step36000-n100,all,L/5,0.7375704019302567
delta-v2-step36000-n100,all,R,0.5130119303403455
delta-v2-step36000-n100,long,AUC,0.8749648013121077
delta-v2-step36000-n100,long,L,0.2878798274996378
delta-v2-step36000-n100,long,L/2,0.44307503028328504
delta-v2-step36000-n100,long,L/5,0.5909102282327514
delta-v2-step36000-n100,long,R,0.4432116171656751
delta-v2-step36000-n100,medium,AUC,0.9485016679585153
delta-v2-step36000-n100,medium,L,0.1738613479492541
delta-v2-step36000-n100,medium,L/2,0.3117688085821775
delta-v2-step36000-n100,medium,L/5,0.5520829720178391
delta-v2-step36000-n100,medium,R,0.5824356210677815
delta-v2-step36000-n100,short,AUC,0.9558202822030324
delta-v2-step36000-n100,short,L,0.11758441944343587
delta-v2-step36000-n100,short,L/2,0.22151220198385801
delta-v2-step36000-n100,short,L/5,0.45294828958256605
delta-v2-step36000-n100,short,R,0.6403139406102965
delta-v2-step4000-n100,all,AUC,0.6145703003790799
delta-v2-step4000-n100,all,L,0.05054632031008591
delta-v2-step4000-n100,all,L/2,0.05858046556578682
delta-v2-step4000-n100,all,L/5,0.07442180062391726
delta-v2-step4000-n100,all,R,0.05399737451671937
delta-v2-step4000-n100,long,AUC,0.5834828766347412
delta-v2-step4000-n100,long,L,0.03023225611560914
delta-v2-step4000-n100,long,L/2,0.03418657256744697
delta-v2-step4000-n100,long,L/5,0.03865355610165925
delta-v2-step4000-n100,long,R,0.03447520542710605
delta-v2-step4000-n100,medium,AUC,0.5771246865284794
delta-v2-step4000-n100,medium,L,0.03816657266617536
delta-v2-step4000-n100,medium,L/2,0.045742244569116706
delta-v2-step4000-n100,medium,L/5,0.05633701954073368
delta-v2-step4000-n100,medium,R,0.05784852904654637
delta-v2-step4000-n100,short,AUC,0.600944422849979
delta-v2-step4000-n100,short,L,0.03822016953343737
delta-v2-step4000-n100,short,L/2,0.04705020844010196
delta-v2-step4000-n100,short,L/5,0.06176535583917338
delta-v2-step4000-n100,short,R,0.0713625868183616
delta-v2-step42000-n100,all,AUC,0.8854526563250253
delta-v2-step42000-n100,all,L,0.4354730199235864
