model,checkpoint,score_readout,comparison_subset,proteins_scored,range,mean_r_precision,median_r_precision
delta-stream,step-4000,mean_geomean,common_with_r60_step3567,533,all,0.047333,0.045455
delta-stream,step-4000,mean_geomean,common_with_r60_step3567,533,short,0.068326,0.055556
delta-stream,step-4000,mean_geomean,common_with_r60_step3567,532,medium,0.037202,0.032258
delta-stream,step-4000,mean_geomean,common_with_r60_step3567,532,long,0.029985,0.022989
delta-stream,step-4000,max_either_side,common_with_r60_step3567,533,all,0.041590,0.038760
delta-stream,step-4000,max_either_side,common_with_r60_step3567,533,short,0.096897,0.066667
delta-stream,step-4000,max_either_side,common_with_r60_step3567,532,medium,0.029941,0.000000
delta-stream,step-4000,max_either_side,common_with_r60_step3567,532,long,0.027189,0.017549
contacts-v1-r60,step-3567,contacts_v1_logprob,common_with_delta_step4000,533,all,0.029711,0.026316
contacts-v1-r60,step-3567,contacts_v1_logprob,common_with_delta_step4000,533,short,0.029183,0.000000
contacts-v1-r60,step-3567,contacts_v1_logprob,common_with_delta_step4000,532,medium,0.023234,0.000000
contacts-v1-r60,step-3567,contacts_v1_logprob,common_with_delta_step4000,532,long,0.022161,0.013559
