model,subset,range,cut,mean_precision,n_proteins
delta-v2-step42000-n100,eval-denovo,all,AUC,0.9054756590531386,19
delta-v2-step42000-n100,eval-denovo,all,L,0.4494876311822427,19
delta-v2-step42000-n100,eval-denovo,all,L/2,0.6165898906132331,19
delta-v2-step42000-n100,eval-denovo,all,L/5,0.6945855577009252,19
delta-v2-step42000-n100,eval-denovo,all,R,0.5086691431761157,19
delta-v2-step42000-n100,eval-denovo,long,AUC,0.8521014833491055,19
delta-v2-step42000-n100,eval-denovo,long,L,0.29770426072358186,19
delta-v2-step42000-n100,eval-denovo,long,L/2,0.43799994792280106,19
delta-v2-step42000-n100,eval-denovo,long,L/5,0.5663147698978329,19
delta-v2-step42000-n100,eval-denovo,long,R,0.43072360867503623,19
delta-v2-step42000-n100,eval-denovo,medium,AUC,0.9647411798122344,19
delta-v2-step42000-n100,eval-denovo,medium,L,0.16279254771712215,19
delta-v2-step42000-n100,eval-denovo,medium,L/2,0.303782264487784,19
delta-v2-step42000-n100,eval-denovo,medium,L/5,0.5374892916476764,19
delta-v2-step42000-n100,eval-denovo,medium,R,0.6164533280837997,19
delta-v2-step42000-n100,eval-denovo,short,AUC,0.9855360782776659,19
delta-v2-step42000-n100,eval-denovo,short,L,0.1078317939533988,19
delta-v2-step42000-n100,eval-denovo,short,L/2,0.21175394087917437,19
delta-v2-step42000-n100,eval-denovo,short,L/5,0.46469201298900364,19
delta-v2-step42000-n100,eval-denovo,short,R,0.606390726955243,19
delta-v2-step42000-n100,eval-val,all,AUC,0.8800485163328292,97
delta-v2-step42000-n100,eval-val,all,L,0.3913907802533651,97
delta-v2-step42000-n100,eval-val,all,L/2,0.5240118991988375,97
delta-v2-step42000-n100,eval-val,all,L/5,0.6620692664694634,97
delta-v2-step42000-n100,eval-val,all,R,0.41222083317357217,97
delta-v2-step42000-n100,eval-val,long,AUC,0.858656491325487,97
delta-v2-step42000-n100,eval-val,long,L,0.2792119043542041,97
delta-v2-step42000-n100,eval-val,long,L/2,0.409162963433059,97
delta-v2-step42000-n100,eval-val,long,L/5,0.5449151383190921,97
delta-v2-step42000-n100,eval-val,long,R,0.3744150308547526,97
delta-v2-step42000-n100,eval-val,medium,AUC,0.9109926033434752,97
delta-v2-step42000-n100,eval-val,medium,L,0.12891310377533993,97
delta-v2-step42000-n100,eval-val,medium,L/2,0.22490775663022347,97
delta-v2-step42000-n100,eval-val,medium,L/5,0.40302178747045947,97
delta-v2-step42000-n100,eval-val,medium,R,0.4382404996082937,97
delta-v2-step42000-n100,eval-val,short,AUC,0.9249601160114347,97
delta-v2-step42000-n100,eval-val,short,L,0.10965049605216859,97
delta-v2-step42000-n100,eval-val,short,L/2,0.19871249334587052,97
delta-v2-step42000-n100,eval-val,short,L/5,0.39115960820880386,97
delta-v2-step42000-n100,eval-val,short,R,0.5150320990470277,97
delta-v2-step42000-n100,legacy_554,all,AUC,0.8854526563250253,554
delta-v2-step42000-n100,legacy_554,all,L,0.4354730199235864,554
delta-v2-step42000-n100,legacy_554,all,L/2,0.573068963463483,554
delta-v2-step42000-n100,legacy_554,all,L/5,0.6862226080395997,554
delta-v2-step42000-n100,legacy_554,all,R,0.47607367625779995,554
delta-v2-step42000-n100,legacy_554,long,AUC,0.852631120721338,553
delta-v2-step42000-n100,legacy_554,long,L,0.26967638348432116,554
delta-v2-step42000-n100,legacy_554,long,L/2,0.4068122369205017,554
delta-v2-step42000-n100,legacy_554,long,L/5,0.5312046322599097,554
delta-v2-step42000-n100,legacy_554,long,R,0.40551646103468764,553
delta-v2-step42000-n100,legacy_554,medium,AUC,0.9331728692162775,553
delta-v2-step42000-n100,legacy_554,medium,L,0.16896667271865412,554
delta-v2-step42000-n100,legacy_554,medium,L/2,0.3001412397951521,554
delta-v2-step42000-n100,legacy_554,medium,L/5,0.5149855645686565,554
delta-v2-step42000-n100,legacy_554,medium,R,0.5414439090283223,553
delta-v2-step42000-n100,legacy_554,short,AUC,0.9468059838080685,554
delta-v2-step42000-n100,legacy_554,short,L,0.11620143114287224,554
delta-v2-step42000-n100,legacy_554,short,L/2,0.21651383852073355,554
delta-v2-step42000-n100,legacy_554,short,L/5,0.4391660725253741,554
delta-v2-step42000-n100,legacy_554,short,R,0.5925548226512527,554
