model,subset,phase,protein_count,token_count,mean_ce,logprob_sum
delta-v2-step32000,all_670,amino_acid,670,131874,2.2574524389651955,-297699.2829360962
delta-v2-step32000,all_670,contact,670,369754,0.40860405452321963,-151082.98357617855
exp177-final-step71359,all_670,amino_acid,670,131874,2.6023594888819357,-343183.5552368164
exp177-final-step71359,all_670,contact,670,356820,2.230095463231783,-795742.6631903648
delta-v2-step32000,eval-denovo,amino_acid,19,2994,2.2698703070202906,-6795.99169921875
delta-v2-step32000,eval-denovo,contact,19,7700,0.32752857028663934,-2521.969991207123
exp177-final-step71359,eval-denovo,amino_acid,19,2994,2.463621823725576,-7376.083740234375
exp177-final-step71359,eval-denovo,contact,19,7059,1.9936239561998805,-14072.991506814957
delta-v2-step32000,eval-val,amino_acid,97,26326,2.64900592249559,-69737.7299156189
delta-v2-step32000,eval-val,contact,97,76450,0.5024885077114741,-38415.2464145422
exp177-final-step71359,eval-val,amino_acid,97,26326,2.7888877316284875,-73420.25842285156
exp177-final-step71359,eval-val,contact,97,75186,2.4605619646829813,-184999.81187665462
delta-v2-step32000,legacy_554,amino_acid,554,102554,2.1565766456818705,-221165.56132125854
delta-v2-step32000,legacy_554,contact,554,285604,0.3856590494896053,-110145.76717042923
exp177-final-step71359,legacy_554,amino_acid,554,102554,2.5585273424121,-262387.21307373047
exp177-final-step71359,legacy_554,contact,554,274575,2.1730669573227543,-596669.8598068953
