budget,neither,one,both,fold1_seen,fold2_seen,assessable_neither,assessable_one,assessable_both,exact_neither,exact_one,exact_both,expected_neither,expected_one,expected_both
0,29,0,0,0,0,17,0,0,17,0,0,29.0,0.0,0.0
1,29,0,0,0,0,17,0,0,17,0,0,27.662000000000003,1.3379999999999999,0.0
2,26,3,0,2,1,15,2,0,16,1,0,26.687261261261256,2.3118138138138145,0.0009249249249248526
3,25,4,0,2,2,14,3,0,15,2,0,25.957157173205267,3.0403463082320794,0.0024965185626507347
4,25,4,0,2,2,14,3,0,15,2,0,25.393717453286033,3.6017575686733307,0.0045249780406352025
5,25,4,0,2,2,14,3,0,15,2,0,24.94544814023613,4.0476715079490635,0.006880351814807159
6,25,4,0,2,2,14,3,0,15,2,0,24.578141284061175,4.412385628202047,0.009473087736776187
7,24,5,0,3,2,13,4,0,15,2,0,24.268908618572354,4.71885052178819,0.012240859639454503
8,24,5,0,3,2,13,4,0,15,2,0,24.002300788391,4.982559526799824,0.015139684809174218
9,23,6,0,4,2,12,5,0,15,2,0,23.767777531555016,5.214084507276009,0.018137961168971053
10,22,7,0,5,2,11,6,0,14,3,0,23.558054337570248,5.4207331806939205,0.021212481735833177
11,22,7,0,5,2,11,6,0,14,3,0,23.368018764255268,5.607635454538488,0.024345781206249778
12,22,7,0,5,2,11,6,0,14,3,0,23.19401775385499,5.77845787114735,0.02752437499765624
13,22,7,0,5,2,11,6,0,14,3,0,23.033387125597915,5.935875281823031,0.030737592579051218
14,22,7,0,5,2,11,6,0,14,3,0,22.884139565089676,6.081883630917551,0.03397680399277546
15,22,7,0,5,2,11,6,0,14,3,0,22.744756649308183,6.2180084459264835,0.03723490476533375
16,22,7,0,5,2,11,6,0,14,3,0,22.614049384873887,6.34544464566246,0.04050596946365917
17,22,7,0,5,2,11,6,0,14,3,0,22.491064033620663,6.4651509517687735,0.043785014610565165
18,22,7,0,5,2,11,6,0,14,3,0,22.37501799807853,6.57791416978761,0.047067832133859885
19,22,7,0,5,2,11,6,0,14,3,0,22.265255753402784,6.684393378424943,0.050350868172270746
20,22,7,0,5,2,11,6,0,14,3,0,22.16121821899531,6.785150649912281,0.05363113109241372
21,22,7,0,5,2,11,6,0,14,3,0,22.062421194757036,6.880672686752154,0.05690611849080906
22,21,8,0,6,2,10,7,0,13,4,0,21.968439953054148,6.971386290153237,0.0601737567926178
23,21,8,0,6,2,10,7,0,13,4,0,21.87889804370667,7.0576696067791795,0.06343234951414936
24,21,8,0,6,2,10,7,0,13,4,0,21.793459008253343,7.139860459944271,0.06668053180238619
25,21,8,0,6,2,10,7,0,13,4,0,21.71182012383251,7.218262646347944,0.0699172298195447
26,21,8,0,6,2,10,7,0,13,4,0,21.63370757962454,7.293150796259548,0.07314162411591253
27,21,8,0,6,2,10,7,0,13,4,0,21.558872677936765,7.3647742055934104,0.07635311646982303
28,20,9,0,7,2,9,8,0,12,5,0,21.487088779179185,7.433359920959601,0.07955129986120883
29,20,9,0,7,2,9,8,0,12,5,0,21.418148795906127,7.499115272750091,0.08273593134377878
30,20,9,0,7,2,9,8,0,12,5,0,21.35186309947097,7.56222999290099,0.0859069076280388
31,20,9,0,7,2,9,8,0,12,5,0,21.28805774272295,7.62287801407055,0.0890642432064987
32,20,9,0,7,2,9,8,0,12,5,0,21.226572929594138,7.681219019548246,0.09220805085761472
33,20,9,0,7,2,9,8,0,12,5,0,21.167261681404177,7.737399794231209,0.09533852436461338
34,20,9,0,7,2,9,8,0,12,5,0,21.109988662946147,7.791555413770027,0.09845592328382682
35,20,9,0,7,2,9,8,0,12,5,0,21.054629140723424,7.843810299679711,0.10156055959686228
36,20,9,0,7,2,9,8,0,12,5,0,21.00106805231153,7.894279161605751,0.10465278608271454
37,20,9,0,7,2,9,8,0,12,5,0,20.949199170553136,7.943067843196846,0.10773298625001997
38,20,9,0,7,2,9,8,0,12,5,0,20.898924349727313,7.990274084596949,0.1108015656757413
39,20,9,0,7,2,9,8,0,12,5,0,20.850152843355108,8.035988212040563,0.11385894460432715
40,20,9,0,7,2,9,8,0,12,5,0,20.802800685180596,8.080293763149108,0.11690555167029654
41,20,9,0,7,2,9,8,0,12,5,0,20.756790126286067,8.123268055097085,0.11994181861684591
42,19,10,0,8,2,9,8,0,11,6,0,20.71204912239095,8.164982701715957,0.12296817589309217
43,19,10,0,8,2,9,8,0,11,6,0,20.668510866236574,8.205504084740815,0.1259850490226132
44,19,10,0,8,2,9,8,0,11,6,0,20.626113360637348,8.24489378371682,0.12899285564583157
45,19,10,0,8,2,9,8,0,11,6,0,20.584799028327907,8.28320896852382,0.13199200314827053
46,19,10,0,8,2,9,8,0,11,6,0,20.54451435518751,8.320502758016758,0.13498288679573528
47,19,10,0,8,2,9,8,0,11,6,0,20.505209563800747,8.356824547893353,0.1379658883059006
48,19,10,0,8,2,9,8,0,11,6,0,20.46683831463419,8.39222031057219,0.14094137479361488
49,19,10,0,8,2,9,8,0,11,6,0,20.42935743238357,8.426732869582022,0.14390969803441203
50,19,10,0,8,2,9,8,0,11,6,0,20.392726655285422,8.460402150717284,0.14687119399729745
51,19,10,0,8,2,9,8,0,11,6,0,20.356908405397082,8.493265411999108,0.14982618260380734
52,19,10,0,8,2,9,8,0,11,6,0,20.321867578034105,8.525357454290178,0.1527749676757173
53,19,10,0,8,2,9,8,0,11,6,0,20.287571348719585,8.556710814241827,0.15571783703858874
54,19,10,0,8,2,9,8,0,11,6,0,20.253988996147825,8.587355941099522,0.1586550627526482
55,19,10,0,8,2,9,8,0,11,6,0,20.221091739797494,8.61732135875618,0.16158690144632548
56,19,10,0,8,2,9,8,0,11,6,0,20.188852590949548,8.646633814319275,0.16451359473117616
57,19,10,0,8,2,9,8,0,11,6,0,20.157246215973938,8.675318414346128,0.1674353696799302
58,19,10,0,8,2,9,8,0,11,6,0,20.12624881084732,8.703398749800629,0.17035243935205358
59,19,10,0,8,2,9,8,0,11,6,0,20.095837985953768,8.730897010692692,0.1732650033535399
60,19,10,0,8,2,9,8,0,11,6,0,20.06599266030193,8.75783409127836,0.17617324841970833
61,19,10,0,8,2,9,8,0,11,6,0,20.03669296436616,8.78422968662229,0.1790773490115467
62,19,10,0,8,2,9,8,0,11,6,0,20.00792015082707,8.8101023812552,0.18197746791773053
63,19,10,0,8,2,9,8,0,11,6,0,19.97965651254854,8.83546973059569,0.18487375685576615
64,19,10,0,8,2,9,8,0,11,6,0,19.951885307184863,8.860348335748224,0.1877663570669152
65,19,10,0,8,2,9,8,0,11,6,0,19.924590687862928,8.884753912236523,0.1906553999005483
66,19,10,0,8,2,9,8,0,11,6,0,19.89775763943187,8.908701353183673,0.19354100738445879
67,19,10,0,8,2,9,8,0,11,6,0,19.871371919815196,8.932204787406382,0.1964232927784239
68,19,10,0,8,2,9,8,0,11,6,0,19.845420006040214,8.955277632850864,0.19930236110892274
69,19,10,0,8,2,9,8,0,11,6,0,19.819889044555232,8.977932645761276,0.20217830968349065
70,18,11,0,9,2,8,9,0,10,7,0,19.794766805478172,9.0001819659382,0.20505122858362929
71,18,11,0,9,2,8,9,0,10,7,0,19.77004164045019,9.02203715841421,0.20792120113559653
