pair_id,mode,rollout,rank
2frha_1fzpd,b32_e0p05_d20_w10,36,1
2frha_1fzpd,b32_e0p05_d20_w10,7,2
2frha_1fzpd,b32_e0p05_d20_w10,14,3
2frha_1fzpd,b32_e0p05_d20_w10,9,4
2frha_1fzpd,b32_e0p05_d20_w10,96,5
2frha_1fzpd,b32_e0p05_d20_w10,71,6
2frha_1fzpd,b32_e0p05_d20_w10,33,7
2frha_1fzpd,b32_e0p05_d20_w10,86,8
2frha_1fzpd,b32_e0p05_d20_w10,29,9
2frha_1fzpd,b32_e0p05_d20_w10,88,10
2frha_1fzpd,b32_e0p05_d20_w10,44,11
2frha_1fzpd,b32_e0p05_d20_w10,64,12
2frha_1fzpd,b32_e0p05_d20_w10,6,13
2frha_1fzpd,b32_e0p05_d20_w10,42,14
2frha_1fzpd,b32_e0p05_d20_w10,79,15
2frha_1fzpd,b32_e0p05_d20_w10,69,16
2hdma_2n54b,b32_e0p05_d20_w10,5,1
2hdma_2n54b,b32_e0p05_d20_w10,0,2
2hdma_2n54b,b32_e0p05_d20_w10,74,3
2hdma_2n54b,b32_e0p05_d20_w10,93,4
2hdma_2n54b,b32_e0p05_d20_w10,47,5
2hdma_2n54b,b32_e0p05_d20_w10,20,6
2hdma_2n54b,b32_e0p05_d20_w10,59,7
2hdma_2n54b,b32_e0p05_d20_w10,11,8
2hdma_2n54b,b32_e0p05_d20_w10,8,9
2hdma_2n54b,b32_e0p05_d20_w10,29,10
2hdma_2n54b,b32_e0p05_d20_w10,39,11
2hdma_2n54b,b32_e0p05_d20_w10,1,12
2hdma_2n54b,b32_e0p05_d20_w10,97,13
2hdma_2n54b,b32_e0p05_d20_w10,30,14
2hdma_2n54b,b32_e0p05_d20_w10,54,15
2hdma_2n54b,b32_e0p05_d20_w10,34,16
3hdea_3hdfa,b32_e0p05_d20_w10,0,1
3hdea_3hdfa,b32_e0p05_d20_w10,33,2
3hdea_3hdfa,b32_e0p05_d20_w10,58,3
3hdea_3hdfa,b32_e0p05_d20_w10,34,4
3hdea_3hdfa,b32_e0p05_d20_w10,98,5
3hdea_3hdfa,b32_e0p05_d20_w10,66,6
3hdea_3hdfa,b32_e0p05_d20_w10,95,7
3hdea_3hdfa,b32_e0p05_d20_w10,91,8
3hdea_3hdfa,b32_e0p05_d20_w10,24,9
3hdea_3hdfa,b32_e0p05_d20_w10,87,10
3hdea_3hdfa,b32_e0p05_d20_w10,6,11
3hdea_3hdfa,b32_e0p05_d20_w10,38,12
3hdea_3hdfa,b32_e0p05_d20_w10,99,13
3hdea_3hdfa,b32_e0p05_d20_w10,52,14
3hdea_3hdfa,b32_e0p05_d20_w10,61,15
3hdea_3hdfa,b32_e0p05_d20_w10,82,16
3jv6a_1zk9a,b32_e0p05_d20_w10,7,1
3jv6a_1zk9a,b32_e0p05_d20_w10,22,2
3jv6a_1zk9a,b32_e0p05_d20_w10,9,3
3jv6a_1zk9a,b32_e0p05_d20_w10,12,4
3jv6a_1zk9a,b32_e0p05_d20_w10,95,5
3jv6a_1zk9a,b32_e0p05_d20_w10,52,6
3jv6a_1zk9a,b32_e0p05_d20_w10,74,7
3jv6a_1zk9a,b32_e0p05_d20_w10,61,8
3jv6a_1zk9a,b32_e0p05_d20_w10,59,9
3jv6a_1zk9a,b32_e0p05_d20_w10,5,10
3jv6a_1zk9a,b32_e0p05_d20_w10,89,11
3jv6a_1zk9a,b32_e0p05_d20_w10,80,12
3jv6a_1zk9a,b32_e0p05_d20_w10,53,13
3jv6a_1zk9a,b32_e0p05_d20_w10,96,14
3jv6a_1zk9a,b32_e0p05_d20_w10,38,15
3jv6a_1zk9a,b32_e0p05_d20_w10,93,16
3t5oa_4a5wb,b32_e0p05_d20_w10,77,1
3t5oa_4a5wb,b32_e0p05_d20_w10,30,2
3t5oa_4a5wb,b32_e0p05_d20_w10,57,3
3t5oa_4a5wb,b32_e0p05_d20_w10,4,4
3t5oa_4a5wb,b32_e0p05_d20_w10,55,5
3t5oa_4a5wb,b32_e0p05_d20_w10,74,6
3t5oa_4a5wb,b32_e0p05_d20_w10,60,7
3t5oa_4a5wb,b32_e0p05_d20_w10,97,8
3t5oa_4a5wb,b32_e0p05_d20_w10,28,9
3t5oa_4a5wb,b32_e0p05_d20_w10,70,10
3t5oa_4a5wb,b32_e0p05_d20_w10,71,11
3t5oa_4a5wb,b32_e0p05_d20_w10,48,12
3t5oa_4a5wb,b32_e0p05_d20_w10,72,13
3t5oa_4a5wb,b32_e0p05_d20_w10,21,14
3t5oa_4a5wb,b32_e0p05_d20_w10,66,15
3t5oa_4a5wb,b32_e0p05_d20_w10,89,16
4gqcc_4gqcb,b32_e0p05_d20_w10,15,1
4gqcc_4gqcb,b32_e0p05_d20_w10,99,2
4gqcc_4gqcb,b32_e0p05_d20_w10,82,3
4gqcc_4gqcb,b32_e0p05_d20_w10,11,4
4gqcc_4gqcb,b32_e0p05_d20_w10,68,5
4gqcc_4gqcb,b32_e0p05_d20_w10,49,6
4gqcc_4gqcb,b32_e0p05_d20_w10,57,7
4gqcc_4gqcb,b32_e0p05_d20_w10,84,8
4gqcc_4gqcb,b32_e0p05_d20_w10,39,9
4gqcc_4gqcb,b32_e0p05_d20_w10,23,10
4gqcc_4gqcb,b32_e0p05_d20_w10,59,11
4gqcc_4gqcb,b32_e0p05_d20_w10,22,12
4gqcc_4gqcb,b32_e0p05_d20_w10,26,13
4gqcc_4gqcb,b32_e0p05_d20_w10,88,14
4gqcc_4gqcb,b32_e0p05_d20_w10,14,15
4gqcc_4gqcb,b32_e0p05_d20_w10,55,16
4qhfa_4qhha,b32_e0p05_d20_w10,85,1
4qhfa_4qhha,b32_e0p05_d20_w10,39,2
4qhfa_4qhha,b32_e0p05_d20_w10,36,3
