mode,range,n,consensus_r_precision,true_union_recall,union_recall_log_n_auc,mean_rollout_precision,mean_validity_gated_rollout_r_precision,oracle_r_precision,validity_gated_oracle_r_precision,mean_pairwise_jaccard,mean_contacts,malformed,finished,invalid_rollouts
full_g05_pa_all,all,81,0.5695113353754813,0.9175096867611292,0.7273722292585361,0.43575512791387394,0.43400576042727,0.5554337572561839,0.5554337572561839,0.3333926541801634,244.69913580246916,60,8100,37
full_g05_pa_all,long,81,0.5529931291848728,0.8994461040388175,0.7070926223907923,0.4155099460048954,0.41391159110150194,0.5473982089335377,0.5473982089335377,0.3220302773735287,169.63716049382717,60,8100,37
full_g0_pa_pos,all,81,0.5628605079639047,0.936309351192052,0.728647595086403,0.4082882958138715,0.4072913417729725,0.5335451486230334,0.5334802851606217,0.28457555910433213,261.6683950617284,37,8100,30
full_g0_pa_pos,long,81,0.5503842803519959,0.9208193707870613,0.7084121633882566,0.3897043992325007,0.38880705120379366,0.5283858190038223,0.5283858190038223,0.2749742016763664,180.40382716049382,37,8100,30
full_iid_single,all,81,0.562522648437665,0.9363930937088821,0.7286538973387725,0.4082592443685772,0.40727634644646254,0.5331277092779185,0.5330844669696441,0.2845520702179373,261.61395061728393,34,8100,28
full_iid_single,long,81,0.5509065287018526,0.921016939687157,0.7084270319295414,0.3896721168440841,0.3887813483238229,0.5278822565561367,0.5278822565561367,0.2749855793864584,180.36234567901235,34,8100,28
full_ratio_pa_pos,all,81,0.548987965412833,0.9612096629751654,0.758475553282113,0.35265676820660835,0.346745475119328,0.4777530986148463,0.4774286253060051,0.25519610315486524,353.3522222222222,558,8054,249
full_ratio_pa_pos,long,81,0.5326719719503155,0.9528362800289937,0.741489465789785,0.3363586156489535,0.3309679614130583,0.4718659407711795,0.47130569166763125,0.24531757304738236,257.5134567901235,558,8054,249
full_t08_single,all,81,0.5691895445518685,0.9036580435881938,0.7107338649899708,0.42325801517844197,0.42252567210494774,0.5384432652698345,0.5384432652698345,0.3291885778135391,223.91222222222223,14,8100,12
full_t08_single,long,81,0.5515058531010899,0.8818037624950673,0.686168081568654,0.40340230058766385,0.40271040505370803,0.5343030257483266,0.5343030257483266,0.31833144706702055,152.22395061728395,14,8100,12
full_t11_single,all,81,0.5612281052915203,0.9496719797333931,0.7404389250423203,0.38899603670595284,0.38758621647258845,0.5170070571292746,0.516907092117029,0.2626844546564373,285.06765432098763,72,8099,51
full_t11_single,long,81,0.5455183151240444,0.9360749653506429,0.7212106364145389,0.37251464050008154,0.37115152451370814,0.5113550781207172,0.5112425035400575,0.25337077218516024,198.0883950617284,72,8099,51
