mode,reference,reference_label,range,N,metric,n,reference_mean,guided_mean,mean_delta,ci95_low,ci95_high
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,validity_gated_oracle_r_precision,81,0.5334802851606217,0.5554337572561839,0.021953472095562185,0.015538001228241647,0.028547175503357895
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,oracle_r_precision,81,0.5335451486230334,0.5554337572561839,0.021888608633150557,0.015523566469291733,0.028512863559347703
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,consensus_r_precision,81,0.5628605079639047,0.5695113353754813,0.006650827411576543,0.0015188043150540448,0.01227047531926911
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,true_union_recall,81,0.936309351192052,0.9175096867611292,-0.018799664430922867,-0.024408826203314315,-0.013779546781891678
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,union_recall_log_n_auc,81,0.728647595086403,0.7273722292585361,-0.0012753658278669728,-0.006692933639530611,0.004154037828629612
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,mean_rollout_precision,81,0.4082882958138715,0.43575512791387394,0.027466832100002385,0.02378936813393271,0.03133032466638586
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,mean_pairwise_jaccard,81,0.28457555910433213,0.33339265418016334,0.048817095075831256,0.045164480401484616,0.0523324757076234
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,mean_contacts,81,261.66839506172835,244.6991358024691,-16.96925925925926,-21.41051543209877,-13.122095679012347
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,all,100,incremental_true_union_recall_1_to_100,81,0.5237487092710157,0.46839142828686453,-0.05535728098415106,-0.07285095431896617,-0.03899373438380897
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,validity_gated_oracle_r_precision,81,0.5283858190038223,0.5473982089335377,0.01901238992971544,0.010716212075326121,0.027433411676909113
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,oracle_r_precision,81,0.5283858190038223,0.5473982089335377,0.01901238992971544,0.01063680705334167,0.027499878573584643
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,consensus_r_precision,81,0.5503842803519958,0.5529931291848726,0.00260884883287681,-0.003871718650436367,0.009656686793483733
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,true_union_recall,81,0.9208193707870613,0.8994461040388175,-0.021373266748243806,-0.027983852421793187,-0.015397886431170597
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,union_recall_log_n_auc,81,0.7084121633882565,0.7070926223907923,-0.00131954099746435,-0.007912299890843955,0.005146493238366586
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,mean_rollout_precision,81,0.3897043992325007,0.41550994600489544,0.025805546772394623,0.021997171290882515,0.029761636680428798
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,mean_pairwise_jaccard,81,0.2749742016763664,0.32203027737352863,0.04705607569716226,0.04277816812610605,0.051257595380327405
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,mean_contacts,81,180.40382716049385,169.63716049382714,-10.766666666666667,-13.95606790123457,-8.043700617283951
full_g05_pa_all,full_g0_pa_pos,paired gamma=0,long,100,incremental_true_union_recall_1_to_100,81,0.5258867337558092,0.46292731196833936,-0.06295942178746976,-0.08266517902729281,-0.04433333331375975
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,validity_gated_oracle_r_precision,81,0.5384432652698345,0.5554337572561839,0.0169904919863494,0.010786930961204637,0.023552894728675937
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,oracle_r_precision,81,0.5384432652698345,0.5554337572561839,0.0169904919863494,0.01071764410829118,0.023499178895024148
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,consensus_r_precision,81,0.5691895445518684,0.5695113353754813,0.00032179082361268984,-0.0032983709850300117,0.004287617166069981
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,true_union_recall,81,0.9036580435881938,0.9175096867611292,0.01385164317293555,0.009192642637191465,0.01886269164557355
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,union_recall_log_n_auc,81,0.7107338649899709,0.7273722292585361,0.016638364268565162,0.010950391415751918,0.022447281319693733
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,mean_rollout_precision,81,0.4232580151784421,0.43575512791387394,0.012497112735431882,0.010496511497500706,0.014454827585435872
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,mean_pairwise_jaccard,81,0.32918857781353905,0.33339265418016334,0.004204076366624291,0.0021803190036070023,0.006241059240268992
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,mean_contacts,81,223.91222222222223,244.6991358024691,20.78691358024691,17.154932098765432,25.00444753086419
full_g05_pa_all,full_t08_single,ordinary T=0.8,all,100,incremental_true_union_recall_1_to_100,81,0.4832773903959121,0.46839142828686453,-0.014885962109047465,-0.030718625810425594,0.0002956763120416709
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,validity_gated_oracle_r_precision,81,0.5343030257483267,0.5473982089335377,0.013095183185211126,0.005787679690213146,0.020140556190994755
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,oracle_r_precision,81,0.5343030257483267,0.5473982089335377,0.013095183185211126,0.005737770781471896,0.020224357654152092
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,consensus_r_precision,81,0.5515058531010899,0.5529931291848726,0.0014872760837827711,-0.0033696909678865724,0.0073502066637672935
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,true_union_recall,81,0.8818037624950671,0.8994461040388175,0.017642341543750266,0.011358838256275205,0.02434745045447803
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,union_recall_log_n_auc,81,0.686168081568654,0.7070926223907923,0.020924540822138203,0.01269090073005043,0.02892943793084792
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,mean_rollout_precision,81,0.40340230058766374,0.41550994600489544,0.012107645417231564,0.00928562325145374,0.014774358531268416
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,mean_pairwise_jaccard,81,0.31833144706702055,0.32203027737352863,0.003698830306508085,0.0010370702808413148,0.0064292033412719175
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,mean_contacts,81,152.22395061728395,169.63716049382714,17.413209876543206,14.103450617283952,21.323237654320987
full_g05_pa_all,full_t08_single,ordinary T=0.8,long,100,incremental_true_union_recall_1_to_100,81,0.4830353693408941,0.46292731196833936,-0.020108057372554777,-0.03941460448681951,-0.002100253201950154
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,validity_gated_oracle_r_precision,81,0.5330844669696441,0.5554337572561839,0.022349290286539786,0.015883752438659197,0.028988558100508613
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,oracle_r_precision,81,0.5331277092779184,0.5554337572561839,0.02230604797826537,0.01588992786255281,0.02893801742671992
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,consensus_r_precision,81,0.5625226484376649,0.5695113353754813,0.0069886869378163454,0.0018695683543605887,0.012647452322393053
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,true_union_recall,81,0.9363930937088821,0.9175096867611292,-0.01888340694775279,-0.02461979812456195,-0.013768480667910872
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,union_recall_log_n_auc,81,0.7286538973387726,0.7273722292585361,-0.0012816680802365274,-0.006714651361780007,0.004160630124224962
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,mean_rollout_precision,81,0.4082592443685772,0.43575512791387394,0.02749588354529666,0.023819373799714088,0.03131663844122955
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,mean_pairwise_jaccard,81,0.2845520702179373,0.33339265418016334,0.04884058396222608,0.04522527189658482,0.05239124713025276
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,mean_contacts,81,261.61395061728393,244.6991358024691,-16.914814814814815,-21.361398148148147,-13.09653086419753
