pair_id,variant,n_realizations,nll_tok_fold1,nll_tok_fold2,delta_nll_tok,nll_stmt_fold1,nll_stmt_fold2,delta_nll_stmt,prefers
1nqda_1nqjb,full,4,1.8677,1.8128,0.0549,5.6171,5.4548,0.1623,fold2
1nqda_1nqjb,matched,4,1.9661,1.8294,0.1367,5.9161,5.5047,0.4114,fold2
1nrjb_2gedb,full,4,1.9932,2.0832,-0.09,5.9931,6.265,-0.272,fold1
1nrjb_2gedb,matched,4,2.0597,2.0757,-0.016,6.1944,6.2425,-0.048,fold1
1uxmk_2nama,full,4,1.9777,3.1405,-1.1628,5.9517,9.5579,-3.6062,fold1
1uxmk_2nama,matched,4,2.3331,3.0771,-0.7441,7.1006,9.3652,-2.2646,fold1
1xjta_1xjub,full,4,2.039,2.0615,-0.0225,6.1362,6.2017,-0.0655,fold1
1xjta_1xjub,matched,4,2.0481,2.1534,-0.1053,6.1637,6.4805,-0.3168,fold1
1xnta_3lqca,full,4,2.1261,2.159,-0.0328,6.3921,6.4928,-0.1007,fold1
1xnta_3lqca,matched,4,2.2002,2.1576,0.0426,6.6168,6.4887,0.1281,fold2
2frha_1fzpd,full,4,1.913,2.3948,-0.4817,5.7672,7.2332,-1.466,fold1
2frha_1fzpd,matched,4,2.0432,2.3804,-0.3372,6.1712,7.1897,-1.0185,fold1
2hdma_2n54b,full,4,1.8522,1.8073,0.0449,5.611,5.4767,0.1343,fold2
2hdma_2n54b,matched,4,1.9047,1.7997,0.105,5.7718,5.4536,0.3182,fold2
2k42a_1ceeb,full,4,1.772,2.0342,-0.2622,5.4047,6.248,-0.8433,fold1
2k42a_1ceeb,matched,4,2.0572,2.051,0.0062,6.3186,6.2995,0.0191,fold2
2lela_2k0qa,full,4,1.8926,1.793,0.0996,5.7088,5.4087,0.3,fold2
2lela_2k0qa,matched,4,1.9184,1.7879,0.1305,5.7871,5.3936,0.3935,fold2
2vfxl_3gmhl,full,4,2.1923,2.2639,-0.0716,6.5883,6.8044,-0.216,fold1
2vfxl_3gmhl,matched,4,2.2583,2.255,0.0033,6.7876,6.7776,0.01,fold2
3hdea_3hdfa,full,4,1.8241,1.9845,-0.1604,5.4888,5.9738,-0.4851,fold1
3hdea_3hdfa,matched,4,1.9111,1.9934,-0.0823,5.7531,6.0007,-0.2476,fold1
3jv6a_1zk9a,full,4,1.8451,2.0832,-0.2381,5.5566,6.3031,-0.7465,fold1
3jv6a_1zk9a,matched,4,2.1796,2.0378,0.1418,6.5947,6.1655,0.4291,fold2
3m1bf_3lowa,full,4,1.8587,2.0647,-0.206,5.5939,6.2484,-0.6545,fold1
3m1bf_3lowa,matched,4,2.2499,2.159,0.0909,6.8089,6.5338,0.2751,fold2
3qy2a_1qb3a,full,4,1.9763,2.0327,-0.0564,5.9476,6.1259,-0.1783,fold1
3qy2a_1qb3a,matched,4,2.1783,2.0594,0.1189,6.5648,6.2064,0.3584,fold2
3zwgn_4tsyd,full,4,2.1693,2.1562,0.0131,6.5187,6.4805,0.0382,fold2
3zwgn_4tsyd,matched,4,2.2839,2.1607,0.1232,6.8643,6.4941,0.3702,fold2
4dxra_4dxta,full,4,2.0858,2.0795,0.0063,6.2697,6.2504,0.0194,fold2
4dxra_4dxta,matched,4,2.0868,2.1204,-0.0336,6.2729,6.3739,-0.1009,fold1
4gqcc_4gqcb,full,4,1.8557,2.0119,-0.1561,5.5793,6.0507,-0.4714,fold1
4gqcc_4gqcb,matched,4,1.9438,2.001,-0.0572,5.8461,6.0181,-0.1721,fold1
4j3of_2jmra,full,4,1.9848,2.1381,-0.1534,5.9754,6.4335,-0.4581,fold1
4j3of_2jmra,matched,4,2.0135,2.2009,-0.1874,6.0619,6.6261,-0.5642,fold1
4jphb_5hk5h,full,4,1.9406,1.9742,-0.0336,5.8406,5.945,-0.1045,fold1
4jphb_5hk5h,matched,4,2.0722,1.9735,0.0988,6.2403,5.9428,0.2974,fold2
4pyia_4pyja,full,4,2.0204,2.0694,-0.049,6.0707,6.2191,-0.1483,fold1
4pyia_4pyja,matched,4,2.0987,2.0695,0.0292,6.3072,6.2194,0.0878,fold2
4qhfa_4qhha,full,4,1.7796,1.8611,-0.0815,5.3568,5.613,-0.2561,fold1
4qhfa_4qhha,matched,4,1.9861,1.8669,0.1192,5.9897,5.6302,0.3595,fold2
4rmbb_4rmba,full,4,2.0919,2.083,0.0089,6.2937,6.267,0.0267,fold2
4rmbb_4rmba,matched,4,2.0694,2.0899,-0.0205,6.2261,6.2877,-0.0617,fold1
4y0mj_4xwsd,full,4,2.1209,2.0474,0.0734,6.3754,6.154,0.2214,fold2
4y0mj_4xwsd,matched,4,2.1127,2.0784,0.0343,6.3509,6.2477,0.1032,fold2
4zrbc_4zrbh,full,4,1.8021,1.7356,0.0666,5.4235,5.2219,0.2016,fold2
4zrbc_4zrbh,matched,4,1.7986,1.8293,-0.0308,5.4128,5.5055,-0.0926,fold1
5flue_2uy7d,full,4,1.9179,2.0272,-0.1093,5.7708,6.1004,-0.3296,fold1
5flue_2uy7d,matched,4,1.9277,2.0392,-0.1115,5.8009,6.1364,-0.3355,fold1
5jyta_2qkee,full,4,1.8476,2.1605,-0.3129,5.5697,6.5169,-0.9472,fold1
5jyta_2qkee,matched,4,1.9094,2.1151,-0.2058,5.7594,6.38,-0.6206,fold1
6c6sd_2ougc,full,4,1.9786,2.0892,-0.1106,5.9549,6.2884,-0.3335,fold1
6c6sd_2ougc,matched,4,2.0113,2.0977,-0.0864,6.0539,6.3139,-0.26,fold1
