stem,arm,R,top_R_replaced_100,paired_rollout_jaccard,top_R_replaced_cross_50,top_R_replaced_iid_50
7pv5_A,seeded,64,0.0625,0.7014808644601725,0.08046875,0.07109375
7pv5_A,seeded-long,64,0.0625,0.7023943478758836,0.06796875,0.07109375
7pv5_A,seeded-strat,64,0.046875,0.7023867013318683,0.076171875,0.07109375
7qp5_A,seeded,241,0.13278008298755184,0.27804298379577896,0.24035269709543572,0.2475103734439834
7qp5_A,seeded-long,241,0.15352697095435686,0.2862718364915439,0.2470954356846473,0.2475103734439834
7qp5_A,seeded-strat,241,0.11618257261410792,0.2748214480532874,0.23827800829875517,0.2475103734439834
7qsj_A,seeded,347,0.057636887608069176,0.5331031801860437,0.1132564841498559,0.11030259365994237
7qsj_A,seeded-long,347,0.057636887608069176,0.5348486259334235,0.11498559077809797,0.11030259365994237
7qsj_A,seeded-strat,347,0.043227665706051854,0.5405278504305171,0.10677233429394814,0.11030259365994237
7t9r_A,seeded,24,0.25,0.2455775977925484,0.4,0.38541666666666663
7t9r_A,seeded-long,24,0.29166666666666663,0.23113698958174603,0.3916666666666667,0.38541666666666663
7t9r_A,seeded-strat,24,0.25,0.26867377668477554,0.421875,0.38541666666666663
7tjb_A,seeded,201,0.04477611940298509,0.6824255365589837,0.08034825870646764,0.08184079601990048
7tjb_A,seeded-long,201,0.04477611940298509,0.6847355808741709,0.07972636815920398,0.08184079601990048
7tjb_A,seeded-strat,201,0.04975124378109452,0.6769994507131006,0.08544776119402983,0.08184079601990048
7tlh_A,seeded,114,0.06140350877192979,0.38181602750724,0.15197368421052632,0.14692982456140352
7tlh_A,seeded-long,114,0.052631578947368474,0.38351012622650954,0.15197368421052632,0.14692982456140352
7tlh_A,seeded-strat,114,0.052631578947368474,0.3727381457415705,0.13596491228070176,0.14692982456140352
7uba_A,seeded,208,0.16826923076923073,0.2252050811755767,0.28581730769230773,0.3014423076923077
7uba_A,seeded-long,208,0.1826923076923077,0.1972489974524676,0.2991586538461538,0.3014423076923077
7uba_A,seeded-strat,208,0.15865384615384615,0.21462655056656416,0.29314903846153845,0.3014423076923077
7uk8_A,seeded,526,0.08174904942965777,0.468560606736546,0.15964828897338404,0.1671102661596958
7uk8_A,seeded-long,526,0.07984790874524716,0.4625895715427617,0.15955323193916351,0.1671102661596958
7uk8_A,seeded-strat,526,0.07604562737642584,0.4660017779575554,0.15974334600760456,0.1671102661596958
7ur2_A,seeded,137,0.14598540145985406,0.25796598245537317,0.23613138686131388,0.24051094890510952
7ur2_A,seeded-long,137,0.13868613138686137,0.2556769842598543,0.23248175182481753,0.24051094890510952
7ur2_A,seeded-strat,137,0.13868613138686137,0.2627861548274758,0.23704379562043795,0.24051094890510952
7urp_A,seeded,134,0.10447761194029848,0.4536294416832272,0.1792910447761194,0.18227611940298508
7urp_A,seeded-long,134,0.10447761194029848,0.43476232948663934,0.17630597014925373,0.18227611940298508
7urp_A,seeded-strat,134,0.08955223880597019,0.44059995829660087,0.17873134328358212,0.18227611940298508
7uvg_A,seeded,178,0.1123595505617978,0.29686933041543484,0.1904494382022472,0.20351123595505616
7uvg_A,seeded-long,178,0.1292134831460674,0.306876180660125,0.2,0.20351123595505616
7uvg_A,seeded-strat,178,0.1123595505617978,0.31625918465252345,0.18553370786516854,0.20351123595505616
7uww_A,seeded,693,0.10822510822510822,0.33871125036215793,0.19722222222222224,0.19235209235209236
7uww_A,seeded-long,693,0.11255411255411252,0.3369530522226624,0.19523809523809524,0.19235209235209236
7uww_A,seeded-strat,693,0.11111111111111116,0.34384239054748383,0.19974747474747473,0.19235209235209236
7v3o_A,seeded,272,0.12867647058823528,0.2903195043286692,0.2485294117647059,0.2555147058823529
7v3o_A,seeded-long,272,0.15441176470588236,0.27694053451679745,0.25064338235294115,0.2555147058823529
7v3o_A,seeded-strat,272,0.15808823529411764,0.28771191295670306,0.25,0.2555147058823529
7w15_A,seeded,303,0.03960396039603964,0.6341786225348911,0.08028052805280528,0.08061056105610562
7w15_A,seeded-long,303,0.0363036303630363,0.6282022841657274,0.07846534653465347,0.08061056105610562
7w15_A,seeded-strat,303,0.0363036303630363,0.6249759949667104,0.08011551155115512,0.08061056105610562
7wz5_A,seeded,113,0.38053097345132747,0.16702311062087205,0.5988938053097346,0.6464601769911504
7wz5_A,seeded-long,113,0.415929203539823,0.12693090127636755,0.6039823008849557,0.6464601769911504
7wz5_A,seeded-strat,113,0.49557522123893805,0.15684463987958366,0.6272123893805309,0.6464601769911504
7wzm_A,seeded,456,0.037280701754385914,0.7331974579483608,0.07560307017543859,0.07971491228070175
7wzm_A,seeded-long,456,0.03947368421052633,0.7436491243257116,0.07779605263157893,0.07971491228070175
7wzm_A,seeded-strat,456,0.037280701754385914,0.7338072175732028,0.07499999999999998,0.07971491228070175
7x3h_A,seeded,296,0.030405405405405372,0.6489140958986597,0.06655405405405404,0.06613175675675675
7x3h_A,seeded-long,296,0.030405405405405372,0.6602391059349526,0.0670608108108108,0.06613175675675675
7x3h_A,seeded-strat,296,0.03378378378378377,0.6548603510197336,0.07010135135135134,0.06613175675675675
7x4p_A,seeded,333,0.08708708708708712,0.5091591325292921,0.14677177177177175,0.14361861861861863
7x4p_A,seeded-long,333,0.09009009009009006,0.5040917664751657,0.1512012012012012,0.14361861861861863
7x4p_A,seeded-strat,333,0.08708708708708712,0.5058182080192354,0.14767267267267264,0.14361861861861863
7x8l_A,seeded,580,0.0672413793103448,0.46859735698185917,0.12599137931034482,0.12758620689655173
7x8l_A,seeded-long,580,0.07586206896551728,0.45627313516260876,0.12767241379310343,0.12758620689655173
7x8l_A,seeded-strat,580,0.0672413793103448,0.4517564043173231,0.12754310344827585,0.12758620689655173
7xcd_A,seeded,148,0.21621621621621623,0.21108416675202776,0.3202702702702703,0.34121621621621623
7xcd_A,seeded-long,148,0.2364864864864865,0.20707429445610415,0.3346283783783784,0.34121621621621623
7xcd_A,seeded-strat,148,0.21621621621621623,0.23552376840330763,0.34594594594594597,0.34121621621621623
7xg9_A,seeded,241,0.08713692946058094,0.3579445917237083,0.17136929460580913,0.1754149377593361
7xg9_A,seeded-long,241,0.10373443983402486,0.3642857727699041,0.17178423236514523,0.1754149377593361
7xg9_A,seeded-strat,241,0.08713692946058094,0.3618939521915763,0.17261410788381742,0.1754149377593361
7xi5_A,seeded,42,0.023809523809523836,0.7328117219392883,0.04166666666666669,0.023809523809523836
7xi5_A,seeded-long,42,0.0,0.6948583109690303,0.04404761904761907,0.023809523809523836
7xi5_A,seeded-strat,42,0.0,0.7253505682476993,0.035119047619047654,0.023809523809523836
7xjr_A,seeded,354,0.053672316384180796,0.5730208884211934,0.1182909604519774,0.11836158192090393
7xjr_A,seeded-long,354,0.06497175141242939,0.5762409431270322,0.1190677966101695,0.11836158192090393
7xjr_A,seeded-strat,354,0.05932203389830504,0.574305918541045,0.11412429378531072,0.11836158192090393
