entry_id,L,n_gt,n_rollouts,n_correct,tensor_parallel,total_gen_tokens,gen_seconds,score_seconds,tokens_per_s,mean_gen_tokens,best_struct_nll,tpu_type,n_rollouts_n,n_correct_n,n_contacts,struct_nll_min,struct_nll_mean,struct_nll_max,struct_nll_per_tok_min,selected_r
AF-A0A011PC04-F1,169,125,10,10,4,3760,18.365,13.061,204.7,376.0,854.827,v5p-8,10,10,125,854.8267538674386,880.1508151010327,896.5138202748496,2.273475409221911,8
AF-A0A015S045-F1,344,253,10,10,4,7600,6.002,0.51,1266.2,760.0,1732.842,v5p-8,10,10,253,1732.841867955488,1762.3301009496856,1783.8619288364057,2.2800550894151157,0
AF-A0A023Y1W3-F1,141,109,10,10,4,3280,2.375,0.14,1380.9,328.0,640.131,v5p-8,10,10,109,640.1307935029233,653.1635798327067,669.208825897646,1.9516182728747662,8
AF-A0A060TBQ0-F1,249,138,10,10,4,4150,3.06,9.669,1356.3,415.0,883.366,v5p-8,10,10,138,883.3662151242875,902.654426705351,918.6488038527239,2.1285932894561146,1
AF-A0A066U3V4-F1,318,303,10,10,4,9100,7.249,0.361,1255.3,910.0,2159.378,v5p-8,10,10,303,2159.378142931594,2190.525841756575,2220.505110212298,2.3729430142105428,3
AF-A0A066YXC0-F1,102,40,10,10,4,1210,0.858,1.662,1410.7,121.0,183.51,v5p-8,10,10,40,183.51018547792592,193.42054210129015,201.66309897016117,1.5166131031233547,7
AF-A0A067PRJ7-F1,97,56,10,10,4,1690,9.849,0.085,171.6,169.0,298.209,v5p-8,10,10,56,298.2088586302241,311.6621546392236,324.59044791693873,1.7645494593504383,8
AF-A0A068NSX3-F1,169,180,10,10,4,5410,3.994,0.18,1354.6,541.0,1211.135,v5p-8,10,10,180,1211.1350773396518,1240.2169076741252,1268.3942769938046,2.2386970006278224,3
AF-A0A068NVR3-F1,251,236,10,10,4,7090,5.43,0.467,1305.7,709.0,1848.834,v5p-8,10,10,236,1848.833904187816,1866.1839666848075,1889.569638030567,2.6076641808008687,7
AF-A0A077ZA81-F1,312,334,10,10,4,10030,11.336,0.415,884.8,1003.0,2613.35,v5p-8,10,10,334,2613.3504497402423,2647.0889919435876,2692.218740517764,2.6055338481956554,5
