stem,length,previous_quality_pass,quality_pass,previous_chain_breaks,ca_chain_breaks,cis_proline_bonds,elapsed_cpu_seconds
proteina-e76032432423dc4611af,500,True,True,0,0,0,0.021848749136552215
proteina-9c209d7e01968caeca5f,500,True,True,0,0,0,0.019949638983234763
proteina-69f9b2897bef71638ca4,500,False,True,1,0,1,1.7051881540101022
proteina-26a8ac4861514c34f04f,500,False,False,0,0,0,0.015935974894091487
proteina-7e25b72e5743094686fc,500,True,True,0,0,0,0.014037386048585176
proteina-bc4cef2a6db501868d9d,500,True,True,0,0,0,0.013832760974764824
proteina-551450205d25bdc9f51a,500,True,True,0,0,0,0.014120080973953009
proteina-1610738cf430021265a5,500,True,True,0,0,0,0.014542085118591785
proteina-2388e2d664044fc7eec6,500,False,True,1,0,1,0.9356159050948918
proteina-706bcba82e900ca03fef,500,False,False,1,0,1,0.02295527793467045
proteina-f291fcfe46235db55786,500,True,True,0,0,0,0.019287695176899433
proteina-ddb0c22de5b2b02201f4,500,False,False,0,0,0,0.018468834925442934
proteina-015f4506edbb4d5ab7de,500,True,True,0,0,0,0.01976402010768652
proteina-62e282537265cd0c51b8,500,False,False,0,0,0,0.018283918034285307
proteina-abd8bf733ba463e074ef,500,True,True,0,0,0,0.021526983939111233
proteina-a26fb836a1ac2c993637,500,True,True,0,0,0,0.020306078949943185
proteina-ecd2dfd6392c98351840,500,True,True,0,0,0,0.019058773992583156
proteina-c1d44836ca8b82ea3ddb,500,False,False,0,0,0,0.018435411853715777
proteina-58bd6f9e02464501223c,500,False,False,1,0,1,0.018503890838474035
proteina-f5850e9b07014bb5bc4f,500,True,True,0,0,0,0.018869298044592142
proteina-69287de907b159ae5ce0,500,False,False,1,1,0,0.018687976989895105
proteina-c5ad95197cb704619d5e,500,False,False,0,0,0,0.0191288769710809
proteina-a92d54c0391ff41316ec,500,False,True,2,0,2,0.933727330993861
proteina-126432e38af3088347f5,500,True,True,0,0,0,0.019322399981319904
proteina-840ace69e6c3212f9458,500,True,True,0,0,0,0.024111901875585318
