pdb_id,chain_id,method,n_residues,mae_distogram_cb_angstrom,drmsd_distogram_cb_angstrom,n_mae_distogram_pairs,mae_distogram_cb_contact_angstrom,drmsd_distogram_cb_contact_angstrom,n_mae_distogram_contact_pairs,prec_short_L,prec_short_L_2,prec_short_L_5,prec_medium_L,prec_medium_L_2,prec_medium_L_5,prec_long_L,prec_long_L_2,prec_long_L_5,n_short_contacts,n_medium_contacts,n_long_contacts,lddt_distogram_cb,lddt_distogram_cb_soft
8eb9,A,1.5B_iter_R3_grow_05_10_15,95,11.2180,13.4737,3075,5.2841,8.1701,422,0.2632,0.2979,0.3158,0.2526,0.2553,0.2632,0.2737,0.2979,0.4211,41,66,119,0.2679,0.2607
7y5j,A,1.5B_iter_R3_grow_05_10_15,102,8.8184,12.1823,3204,1.4971,2.3095,439,0.3529,0.5490,0.8000,0.4412,0.7255,0.9500,0.8431,0.8627,1.0000,36,54,147,0.6181,0.5722
7ykm,A,1.5B_iter_R3_grow_05_10_15,105,9.3066,12.3547,2561,1.9040,3.6935,367,0.2000,0.4038,0.8571,0.2286,0.3269,0.5238,0.3714,0.4808,0.7619,22,28,70,0.5291,0.5016
7ur2,A,1.5B_iter_R3_grow_05_10_15,195,11.4805,13.9133,7243,2.8734,4.7321,709,0.1795,0.2577,0.4103,0.1333,0.2062,0.3846,0.4410,0.5773,0.7436,36,28,227,0.3703,0.3679
8baq,A,1.5B_iter_R3_grow_05_10_15,208,12.8600,14.8001,10715,4.8640,7.5476,977,0.1250,0.1827,0.2195,0.1538,0.1538,0.2439,0.2500,0.2788,0.3415,47,73,306,0.2759,0.2714
8cba,A,1.5B_iter_R3_grow_05_10_15,214,12.1929,14.3806,8025,3.9969,6.6713,764,0.2103,0.2897,0.3333,0.1963,0.2523,0.4048,0.2290,0.2710,0.2143,64,64,189,0.3196,0.3123
7zs2,A,1.5B_iter_R3_grow_05_10_15,316,13.2467,15.1536,12367,5.8629,8.8926,1192,0.2943,0.3544,0.4444,0.2089,0.3101,0.4127,0.2215,0.2848,0.4286,121,87,280,0.2575,0.2501
7xz3,A,1.5B_iter_R3_grow_05_10_15,325,14.0458,15.8810,13875,7.4576,11.9256,1315,0.1446,0.1914,0.2308,0.1754,0.2222,0.2615,0.2062,0.2346,0.2308,53,72,466,0.2702,0.2635
7ylr,A,1.5B_iter_R3_grow_05_10_15,330,13.2588,15.1625,18471,5.4089,8.3740,1616,0.2606,0.4061,0.4848,0.2848,0.3273,0.4697,0.4091,0.4909,0.5606,98,157,534,0.2925,0.2882
7uk8,A,1.5B_iter_R3_grow_05_10_15,394,15.3007,16.6565,23509,8.5485,12.7554,1926,0.1802,0.2640,0.3974,0.2081,0.3096,0.3846,0.1954,0.2741,0.2564,110,129,657,0.1973,0.1963
