query,target,fident,qcov,tcov,qlen,tlen,evalue,shorter_coverage,identity_rule,evalue_rule
proteina-904e12933e1f3ce10526,reference0::denovo_pdb__9lni_A,0.306,0.504,0.821,425,212,1.787E-05,0.821,True,True
proteina-904e12933e1f3ce10526,reference1::foldbench_all__8GQP_A,0.387,0.115,0.742,425,62,1.992E+01,0.742,True,False
proteina-a996e5e0a874b7ec5854,reference0::denovo_pdb__5cwn_A,0.351,0.310,0.802,487,207,3.340E-07,0.802,True,True
proteina-a996e5e0a874b7ec5854,reference0::denovo_pdb__5cwp_A,0.295,0.386,0.760,487,229,7.136E-06,0.76,False,True
proteina-a996e5e0a874b7ec5854,reference0::denovo_pdb__7rmx_A,0.324,0.230,0.594,487,229,1.195E-01,0.594,True,False
proteina-a996e5e0a874b7ec5854,reference0::denovo_pdb__8qup_A,0.305,0.146,0.605,487,114,3.071E+01,0.605,True,False
proteina-ce6b551e453feda90da5,reference0::denovo_pdb__6veh_A,0.460,0.330,0.767,500,180,1.038E-19,0.767,True,True
proteina-ce6b551e453feda90da5,reference0::denovo_pdb__6xt4_A,0.389,0.302,0.664,500,235,2.973E-05,0.664,True,True
proteina-ce6b551e453feda90da5,reference1::foldbench_all__8WHI_A,0.253,0.312,0.600,500,235,3.926E-05,0.6,False,True
proteina-ce6b551e453feda90da5,reference1::foldbench_all__8WHJ_A,0.253,0.312,0.534,500,264,3.926E-05,0.534,False,True
proteina-ce6b551e453feda90da5,reference0::denovo_pdb__6xi6_A,0.323,0.306,0.599,500,269,5.827E-03,0.599,True,False
proteina-ce6b551e453feda90da5,reference0::denovo_pdb__5cwc_A,0.305,0.336,0.974,500,196,9.351E-02,0.974,True,False
proteina-625fb58ed91f255e82e3,reference1::foldbench_all__8C8J_A,0.303,0.508,0.037,65,832,2.021E+02,0.508,True,False
proteina-a4191dfec740b9be9ec2,reference0::denovo_pdb__5cwj_A,0.307,0.395,0.819,342,160,1.880E-02,0.819,True,False
proteina-1bced39b0f8877eef61c,reference0::denovo_pdb__6mrr_A,0.380,0.087,0.618,392,68,9.631E+01,0.618,True,False
proteina-f2e3e7460e437eeee760,reference1::foldbench_all__8AGQ_A,0.337,0.363,0.790,432,214,1.588E-07,0.79,True,True
proteina-1c4c9921f833a2f51fa5,reference0::denovo_pdb__7sq5_A,0.301,0.180,0.657,500,140,1.668E+02,0.657,True,False
proteina-1c4c9921f833a2f51fa5,reference0::denovo_pdb__9lns_A,0.387,0.088,0.750,500,64,2.201E+02,0.75,True,False
proteina-1c4c9921f833a2f51fa5,reference0::denovo_pdb__7sq4_A,0.366,0.060,0.625,500,48,2.019E+03,0.625,True,False
proteina-1c4c9921f833a2f51fa5,reference1::foldbench_all__8UPB_A,0.315,0.076,0.547,500,64,2.019E+03,0.547,True,False
proteina-7fd9d40657e9ee528987,reference0::denovo_pdb__6mrr_A,0.381,0.525,0.809,101,68,1.802E+00,0.809,True,False
proteina-99d45ffe6554943dc9c8,reference1::foldbench_all__8H63_A,0.472,0.758,0.190,120,462,5.076E-15,0.758,True,True
proteina-99d45ffe6554943dc9c8,reference0::denovo_pdb__4pq8_A,0.556,0.675,0.349,120,241,8.642E-14,0.675,True,True
proteina-99d45ffe6554943dc9c8,reference0::denovo_pdb__4r5c_A,0.466,0.858,0.326,120,304,1.184E-13,0.858,True,True
proteina-99d45ffe6554943dc9c8,reference0::denovo_pdb__4psj_A,0.511,0.675,0.329,120,255,2.010E-12,0.675,True,True
proteina-99d45ffe6554943dc9c8,reference0::denovo_pdb__4r6f_A,0.457,0.692,0.286,120,329,7.853E-10,0.692,True,True
proteina-99d45ffe6554943dc9c8,reference1::foldbench_all__8AXJ_A,0.337,0.642,0.457,120,162,1.296E-03,0.642,True,False
proteina-99d45ffe6554943dc9c8,reference0::foldbench100__8axj_A,0.337,0.642,0.457,120,162,1.296E-03,0.642,True,False
proteina-fe95af74de0a21209927,reference0::denovo_pdb__6y7p_A,0.214,0.887,0.884,371,319,2.378E-09,0.884,False,True
proteina-fe95af74de0a21209927,reference0::denovo_pdb__6g6m_A,0.214,0.887,0.881,371,320,2.378E-09,0.881,False,True
proteina-fe95af74de0a21209927,reference0::denovo_pdb__6tjg_A,0.265,0.916,0.906,371,320,5.278E-08,0.906,False,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__8cqq_A,0.398,0.725,0.985,433,272,8.886E-38,0.985,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__8chy_A,0.398,0.725,0.985,433,272,8.886E-38,0.985,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__8ckr_A,0.437,0.349,0.971,433,136,1.122E-17,0.971,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__8cmq_A,0.437,0.349,0.971,433,136,1.122E-17,0.971,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__2fo7_A,0.437,0.349,0.971,433,136,1.122E-17,0.971,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__2hyz_A,0.437,0.349,0.971,433,136,1.122E-17,0.971,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__8bu0_A,0.437,0.349,0.971,433,136,1.122E-17,0.971,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__8ch0_A,0.437,0.349,0.971,433,136,1.122E-17,0.971,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__8cig_A,0.437,0.349,0.971,433,136,1.122E-17,0.971,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__2wqh_A,0.427,0.254,0.942,433,104,2.366E-14,0.942,True,True
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__2avp_A,0.500,0.162,0.941,433,68,1.162E-11,0.941,True,True
proteina-6c30d38d8bfdd4ecf33a,reference1::foldbench_all__8GJI_A,0.338,0.236,0.661,433,174,2.382E-01,0.661,True,False
proteina-6c30d38d8bfdd4ecf33a,reference1::foldbench_all__8OYY_A,0.314,0.363,0.897,433,242,3.146E-01,0.897,True,False
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__5cwk_A,0.339,0.242,0.599,433,172,1.263E+00,0.599,True,False
proteina-6c30d38d8bfdd4ecf33a,reference0::denovo_pdb__7dgw_A,0.366,0.143,0.745,433,94,5.072E+00,0.745,True,False
proteina-6c30d38d8bfdd4ecf33a,reference1::foldbench_all__8GAD_A,0.350,0.226,0.790,433,105,2.687E+01,0.79,True,False
proteina-6c30d38d8bfdd4ecf33a,reference1::foldbench_all__8GAD_B,0.350,0.226,0.790,433,105,2.687E+01,0.79,True,False
proteina-f65c63966fda46b59a00,reference1::foldbench_all__8VH7_A,0.268,0.521,0.319,365,552,3.392E-12,0.521,False,True
proteina-f65c63966fda46b59a00,reference0::denovo_pdb__5cwj_A,0.287,0.447,0.950,365,160,9.476E-04,0.95,False,True
proteina-953cd80627d82abc2b24,reference0::denovo_pdb__5cwm_A,0.279,0.440,0.792,402,226,2.034E-04,0.792,False,True
proteina-953cd80627d82abc2b24,reference1::foldbench_all__8AXR_A,0.437,0.080,0.970,402,33,1.728E+02,0.97,True,False
proteina-d14fbd1e7bcfef9524b5,reference0::denovo_pdb__8ckr_A,0.410,0.269,0.904,465,136,2.102E-14,0.904,True,True
