pair_id,arm,k,phi,n_pred,echo_rate,finished,k_frac,n_b,n_rollouts
1nqda_1nqjb,seed_a,0,-0.0026764705882352992,125.24,0.0,1.0,0.0,17,50
1nqda_1nqjb,seed_a,1,0.07914027149321266,126.44,0.0,1.0,0.058823529411764705,17,100
1nqda_1nqjb,seed_a,2,0.15890092879256965,129.0,0.0,1.0,0.11764705882352941,17,100
1nqda_1nqjb,seed_a,5,0.26697478991596635,129.46,0.0,1.0,0.29411764705882354,17,100
1nqda_1nqjb,seed_a,10,0.25223529411764706,123.34,0.0,1.0,0.5882352941176471,17,100
1nqda_1nqjb,seed_a,20,0.4174411764705882,118.81,0.0005,1.0,1.1764705882352942,17,100
1nqda_1nqjb,seed_a,40,-0.21411764705882355,101.63,0.0,1.0,2.3529411764705883,17,100
1nqda_1nqjb,seed_b,0,0.03841176470588235,129.5,0.0,1.0,0.0,17,50
1nqda_1nqjb,seed_b,1,-0.0795,125.56,0.0,1.0,0.058823529411764705,16,100
1nqda_1nqjb,seed_b,2,0.05941666666666667,122.97,0.0,1.0,0.11764705882352941,15,100
1nqda_1nqjb,seed_b,5,-0.068,119.51,0.0,1.0,0.29411764705882354,12,100
1nqda_1nqjb,seed_b,10,-0.2955357142857143,117.43,0.001,1.0,0.5882352941176471,7,100
1uxmk_2nama,seed_a,0,0.5652640692640692,121.98,0.0,1.0,0.0,22,50
1uxmk_2nama,seed_a,1,0.5599912587412588,120.73,0.0,1.0,0.045454545454545456,22,100
1uxmk_2nama,seed_a,2,0.5675330979699912,121.5,0.0,1.0,0.09090909090909091,22,100
1uxmk_2nama,seed_a,5,0.5563,116.92,0.0,1.0,0.22727272727272727,22,100
1uxmk_2nama,seed_a,10,0.5675263157894738,111.47,0.0,1.0,0.45454545454545453,22,100
1uxmk_2nama,seed_a,20,0.5985133689839572,98.79,0.0,1.0,0.9090909090909091,22,100
1uxmk_2nama,seed_a,40,0.6231748251748251,76.7,0.0,1.0,1.8181818181818181,22,100
1uxmk_2nama,seed_b,0,0.5715497835497836,124.16,0.0,1.0,0.0,22,50
1uxmk_2nama,seed_b,1,0.5460952380952381,130.36,0.0,1.0,0.045454545454545456,21,100
1uxmk_2nama,seed_b,2,0.5446904761904762,123.59,0.0,1.0,0.09090909090909091,20,100
1uxmk_2nama,seed_b,5,0.5057310924369748,122.51,0.0,1.0,0.22727272727272727,17,100
1uxmk_2nama,seed_b,10,0.42364285714285715,120.09,0.001,1.0,0.45454545454545453,12,100
1uxmk_2nama,seed_b,20,0.11861904761904762,58.49,0.001,1.0,0.9090909090909091,2,100
1xjta_1xjub,seed_a,0,0.32693333333333335,132.64,0.0,1.0,0.0,39,50
1xjta_1xjub,seed_a,1,0.3562820512820513,130.98,0.0,1.0,0.02564102564102564,39,100
1xjta_1xjub,seed_a,2,0.36721293199554067,127.47,0.0,1.0,0.05128205128205128,39,100
1xjta_1xjub,seed_a,5,0.40965384615384615,127.91,0.004,1.0,0.1282051282051282,39,100
1xjta_1xjub,seed_a,10,0.4636923076923077,120.14,0.0,1.0,0.2564102564102564,39,100
1xjta_1xjub,seed_a,20,0.30620512820512824,108.75,0.0,1.0,0.5128205128205128,39,100
1xjta_1xjub,seed_b,0,0.2766769230769231,129.28,0.0,1.0,0.0,39,50
1xjta_1xjub,seed_b,1,0.24272631578947368,135.93,0.0,1.0,0.02564102564102564,38,100
1xjta_1xjub,seed_b,2,0.1929945945945946,128.7,0.0,1.0,0.05128205128205128,37,100
1xjta_1xjub,seed_b,5,-0.033447058823529406,132.8,0.0,1.0,0.1282051282051282,34,100
1xjta_1xjub,seed_b,10,-0.06216551724137931,136.98,0.001,1.0,0.2564102564102564,29,100
1xjta_1xjub,seed_b,20,-0.2555368421052631,122.12,0.0005,1.0,0.5128205128205128,19,100
1xnta_3lqca,seed_a,0,0.301524064171123,148.3,0.0,1.0,0.0,68,50
1xnta_3lqca,seed_a,1,0.328894523326572,147.78,0.0,1.0,0.014705882352941176,68,100
1xnta_3lqca,seed_a,2,0.3373221614227086,145.92,0.0,1.0,0.029411764705882353,68,100
1xnta_3lqca,seed_a,5,0.3484425939050319,143.27,0.0,1.0,0.07352941176470588,68,100
1xnta_3lqca,seed_a,10,0.3494834087481146,137.2,0.0,1.0,0.14705882352941177,68,100
1xnta_3lqca,seed_a,20,0.36367647058823527,129.01,0.001,1.0,0.29411764705882354,68,100
1xnta_3lqca,seed_a,40,0.40425245098039214,113.46,0.0,1.0,0.5882352941176471,68,100
1xnta_3lqca,seed_b,0,0.3167379679144385,151.32,0.0,1.0,0.0,68,50
1xnta_3lqca,seed_b,1,0.3101696065128901,147.33,0.0,1.0,0.014705882352941176,67,100
1xnta_3lqca,seed_b,2,0.23806818181818185,150.51,0.0,1.0,0.029411764705882353,66,100
1xnta_3lqca,seed_b,5,0.2791305916305916,148.23,0.0,1.0,0.07352941176470588,63,100
1xnta_3lqca,seed_b,10,-0.09802899686520376,141.98,0.005,1.0,0.14705882352941177,58,100
1xnta_3lqca,seed_b,20,-0.22225378787878788,119.44,0.0005,1.0,0.29411764705882354,48,100
1xnta_3lqca,seed_b,40,-0.43329545454545454,113.57,0.0007500000000000001,1.0,0.5882352941176471,28,100
2frha_1fzpd,seed_a,0,0.5763120567375887,72.94,0.0,1.0,0.0,47,50
2frha_1fzpd,seed_a,1,0.591531914893617,73.28,0.0,1.0,0.02127659574468085,47,100
2frha_1fzpd,seed_a,2,0.6124202127659575,72.59,0.0,1.0,0.0425531914893617,47,100
2frha_1fzpd,seed_a,5,0.6435437739797698,68.94,0.0,1.0,0.10638297872340426,47,100
2frha_1fzpd,seed_a,10,0.6255281155015198,63.1,0.0,1.0,0.2127659574468085,47,100
2frha_1fzpd,seed_a,20,0.6839084181313598,56.08,0.001,1.0,0.425531914893617,47,100
2frha_1fzpd,seed_a,40,0.6587561374795418,36.93,0.00025,1.0,0.851063829787234,47,100
2frha_1fzpd,seed_b,0,0.565899419729207,73.36,0.0,1.0,0.0,47,50
2frha_1fzpd,seed_b,1,0.4986561264822134,81.92,0.0,1.0,0.02127659574468085,46,100
2frha_1fzpd,seed_b,2,0.3365858585858586,80.87,0.005,1.0,0.0425531914893617,45,100
2frha_1fzpd,seed_b,5,0.06777056277056277,85.03,0.0,1.0,0.10638297872340426,42,100
2frha_1fzpd,seed_b,10,-0.12524160524160524,72.27,0.001,1.0,0.2127659574468085,37,100
2frha_1fzpd,seed_b,20,-0.3086531986531986,48.22,0.0,1.0,0.425531914893617,27,100
2frha_1fzpd,seed_b,40,-0.5129437229437229,20.94,0.0005,1.0,0.851063829787234,7,100
2hdma_2n54b,seed_a,0,-0.08519704433497538,43.68,0.0,1.0,0.0,28,50
2hdma_2n54b,seed_a,1,-0.09428571428571429,43.2,0.0,1.0,0.03571428571428571,28,100
2hdma_2n54b,seed_a,2,0.07644179894179894,44.9,0.0,1.0,0.07142857142857142,28,100
2hdma_2n54b,seed_a,5,0.22863095238095238,40.39,0.0,1.0,0.17857142857142858,28,100
2hdma_2n54b,seed_a,10,0.4297556390977444,34.38,0.0,1.0,0.35714285714285715,28,100
2hdma_2n54b,seed_a,20,0.5580158730158731,19.78,0.0005,1.0,0.7142857142857143,28,100
2hdma_2n54b,seed_b,0,-0.03556650246305418,41.72,0.0,1.0,0.0,28,50
2hdma_2n54b,seed_b,1,-0.13217113665389527,42.12,0.0,1.0,0.03571428571428571,27,100
2hdma_2n54b,seed_b,2,-0.18791777188328912,40.42,0.0,1.0,0.07142857142857142,26,100
2hdma_2n54b,seed_b,5,-0.32118440779610197,36.52,0.0,1.0,0.17857142857142858,23,100
2hdma_2n54b,seed_b,10,-0.40588122605363985,30.95,0.0,1.0,0.35714285714285715,18,100
2hdma_2n54b,seed_b,20,-0.2124137931034483,13.36,0.0,1.0,0.7142857142857143,8,100
2k42a_1ceeb,seed_a,0,0.19525000000000003,19.58,0.0,1.0,0.0,10,50
2k42a_1ceeb,seed_a,1,0.26966666666666667,20.4,0.0,1.0,0.1,10,100
2k42a_1ceeb,seed_a,2,0.312,18.46,0.0,1.0,0.2,10,100
2k42a_1ceeb,seed_a,5,0.37781818181818183,16.19,0.002,1.0,0.5,10,100
2k42a_1ceeb,seed_a,10,0.4756666666666666,10.06,0.001,1.0,1.0,10,100
2k42a_1ceeb,seed_b,0,0.19149999999999998,19.96,0.0,1.0,0.0,10,50
2k42a_1ceeb,seed_b,1,0.10444444444444445,20.07,0.0,1.0,0.1,9,100
2k42a_1ceeb,seed_b,2,0.02875,19.51,0.0,1.0,0.2,8,100
2k42a_1ceeb,seed_b,5,0.006874999999999991,18.89,0.0,1.0,0.5,5,100
2k42a_1ceeb,seed_b,10,0.2325,16.26,0.0,1.0,1.0,0,100
2lela_2k0qa,seed_a,0,-0.22078160919540232,67.44,0.0,1.0,0.0,29,50
2lela_2k0qa,seed_a,1,-0.20793103448275863,68.06,0.0,1.0,0.034482758620689655,29,100
2lela_2k0qa,seed_a,2,-0.17248768472906406,67.82,0.0,1.0,0.06896551724137931,29,100
2lela_2k0qa,seed_a,5,0.022951724137931034,67.09,0.0,1.0,0.1724137931034483,29,100
2lela_2k0qa,seed_a,10,0.13243103448275861,62.35,0.001,1.0,0.3448275862068966,29,100
2lela_2k0qa,seed_a,20,0.31248275862068964,46.47,0.0005,1.0,0.6896551724137931,29,100
2lela_2k0qa,seed_b,0,-0.20935632183908048,67.5,0.0,1.0,0.0,29,50
2lela_2k0qa,seed_b,1,-0.2036904761904762,67.41,0.0,1.0,0.034482758620689655,28,100
2lela_2k0qa,seed_b,2,-0.27618518518518514,68.69,0.0,1.0,0.06896551724137931,27,100
2lela_2k0qa,seed_b,5,-0.26608333333333334,63.27,0.002,1.0,0.1724137931034483,24,100
2lela_2k0qa,seed_b,10,-0.3444561403508771,59.78,0.001,1.0,0.3448275862068966,19,100
2lela_2k0qa,seed_b,20,-0.3737777777777778,53.37,0.0,1.0,0.6896551724137931,9,100
3hdea_3hdfa,seed_a,0,0.48727328431372546,104.4,0.0,1.0,0.0,51,50
3hdea_3hdfa,seed_a,1,0.49479925303454714,105.35,0.0,1.0,0.0196078431372549,51,100
3hdea_3hdfa,seed_a,2,0.5540986717267552,108.58,0.0,1.0,0.0392156862745098,51,100
3hdea_3hdfa,seed_a,5,0.5487803256895979,104.05,0.0,1.0,0.09803921568627451,51,100
3hdea_3hdfa,seed_a,10,0.618322440087146,102.24,0.0,1.0,0.19607843137254902,51,100
3hdea_3hdfa,seed_a,20,0.6143850267379679,87.59,0.0,1.0,0.39215686274509803,51,100
3hdea_3hdfa,seed_a,40,0.6147303921568628,67.05,0.00025,1.0,0.7843137254901961,51,100
3hdea_3hdfa,seed_b,0,0.5161274509803921,108.14,0.0,1.0,0.0,51,50
3hdea_3hdfa,seed_b,1,0.46573125,106.75,0.0,1.0,0.0196078431372549,50,100
3hdea_3hdfa,seed_b,2,0.41906568877551026,108.13,0.0,1.0,0.0392156862745098,49,100
3hdea_3hdfa,seed_b,5,0.10228940217391305,102.07,0.0,1.0,0.09803921568627451,46,100
3hdea_3hdfa,seed_b,10,0.036650152439024385,100.8,0.0,1.0,0.19607843137254902,41,100
3hdea_3hdfa,seed_b,20,-0.25048387096774194,89.39,0.0005,1.0,0.39215686274509803,31,100
3hdea_3hdfa,seed_b,40,-0.5766619318181818,72.42,0.0005,1.0,0.7843137254901961,11,100
3jv6a_1zk9a,seed_a,0,0.13413793103448277,101.12,0.0,1.0,0.0,10,50
3jv6a_1zk9a,seed_a,1,0.12166666666666665,99.09,0.0,1.0,0.1,10,100
3jv6a_1zk9a,seed_a,2,0.15946428571428573,100.31,0.0,1.0,0.2,10,100
3jv6a_1zk9a,seed_a,5,0.25850943396226417,97.59,0.0,1.0,0.5,10,100
3jv6a_1zk9a,seed_a,10,0.374625,91.26,0.001,1.0,1.0,10,100
3jv6a_1zk9a,seed_a,20,0.41878947368421054,78.59,0.0005,1.0,2.0,10,100
3jv6a_1zk9a,seed_a,40,0.5532222222222223,58.66,0.0007500000000000001,1.0,4.0,10,100
3jv6a_1zk9a,seed_b,0,0.11386206896551723,100.34,0.0,1.0,0.0,10,50
3jv6a_1zk9a,seed_b,1,0.11522988505747128,101.11,0.0,1.0,0.1,9,100
