source,entry_id,excluded,nearest_reference,identity,shorter_coverage,evalue
afdb,AF-A0A147KKR1-F1,False,,,,
afdb,AF-A0A1I5YXU4-F1,False,,,,
afdb,AF-A0A1Q9LJX9-F1,False,,,,
afdb,AF-A0A841IV32-F1,False,,,,
afdb,AF-A0A8A6RVD8-F1,False,,,,
afdb,AF-A0A1W1BQI3-F1,False,,,,
afdb,AF-A0A2H0PKF8-F1,False,,,,
afdb,AF-A0A2Z4FMK9-F1,False,,,,
afdb,AF-A0A380CTH2-F1,False,,,,
afdb,AF-A0A5C7J7C3-F1,False,,,,
afdb,AF-A0A7C1TXW8-F1,True,eval01325,0.304,0.52,1.131E+02
afdb,AF-A0A7X7A4A0-F1,False,,,,
afdb,AF-A0A7X7UGV9-F1,False,,,,
afdb,AF-A0A1E4Y872-F1,False,,,,
afdb,AF-V4NTM2-F1,False,,,,
afdb,AF-A0A178LQJ2-F1,False,,,,
afdb,AF-A0A5E9FWY0-F1,False,,,,
afdb,AF-A0A7W7R6J7-F1,False,,,,
afdb,AF-A0A7X7UG65-F1,False,,,,
afdb,AF-A0A2D3UG40-F1,False,,,,
afdb,AF-A0A5Q4TED7-F1,False,,,,
afdb,AF-A0A2H1K0I9-F1,False,,,,
afdb,AF-A0A2R9UBP7-F1,True,eval00661,0.355,0.597,4.619E+00
afdb,AF-A0A541BJV9-F1,True,eval00521,0.333,0.789,7.819E+01
afdb,AF-A0A543AWC2-F1,True,eval00495,0.666,0.667,5.407E-01
afdb,AF-A0A6M7UR97-F1,True,eval00294,0.368,0.538,1.414E+00
afdb,AF-A0A7I7M9D1-F1,False,,,,
afdb,AF-A0A7K2IR45-F1,False,,,,
afdb,AF-A0A828ZFZ5-F1,False,,,,
afdb,AF-A0A063CC99-F1,False,,,,
afdb,AF-A0A452IU89-F1,False,,,,
afdb,AF-A0A493TKE5-F1,False,,,,
afdb,AF-A0A5F8GMW1-F1,False,,,,
afdb,AF-A0A672U1Z2-F1,False,,,,
afdb,AF-A0A6J0I4A2-F1,False,,,,
afdb,AF-A0A6J2GUJ0-F1,False,,,,
afdb,AF-U3JG46-F1,False,,,,
afdb,AF-A0A150GTA0-F1,False,,,,
afdb,AF-A0A4T0BDZ2-F1,False,,,,
afdb,AF-K0R1Q6-F1,False,,,,
afdb,AF-K0RID9-F1,False,,,,
afdb,AF-A0A0F4VZ04-F1,False,,,,
afdb,AF-A0A1C5QHR3-F1,False,,,,
afdb,AF-A0A2J6XGX4-F1,False,,,,
afdb,AF-A0A3N9QJE2-F1,False,,,,
afdb,AF-A0A4Q1F5B2-F1,False,,,,
afdb,AF-A0A5R8WHB3-F1,False,,,,
afdb,AF-G5FCZ3-F1,True,eval00616,0.315,0.603,8.459E+01
afdb,AF-I3Z349-F1,False,,,,
afdb,AF-A0A163CI27-F1,False,,,,
afdb,AF-A0A1T4SGJ1-F1,False,,,,
afdb,AF-A0A238ZD81-F1,False,,,,
afdb,AF-A0A2D6Y2Z5-F1,False,,,,
afdb,AF-A0A2E0ANU0-F1,False,,,,
afdb,AF-A0A2G6Q3N0-F1,False,,,,
afdb,AF-A0A2K9NN49-F1,False,,,,
afdb,AF-A0A7T1MNP0-F1,False,,,,
afdb,AF-A0A2N2DS22-F1,False,,,,
afdb,AF-A0A2U2MX48-F1,False,,,,
afdb,AF-A0A3B9I3D7-F1,False,,,,
afdb,AF-B7JB49-F1,False,,,,
afdb,AF-A0A1C5T8S9-F1,False,,,,
afdb,AF-A0A350D7H7-F1,False,,,,
afdb,AF-A0A660YBY9-F1,False,,,,
afdb,AF-A0A7C7EDG7-F1,False,,,,
afdb,AF-A0A7V0T706-F1,False,,,,
afdb,AF-A0A7X2TV86-F1,False,,,,
afdb,AF-A0A7X9DWK1-F1,False,,,,
afdb,AF-K6VZM3-F1,False,,,,
afdb,AF-A0A022RB63-F1,False,,,,
afdb,AF-A0A251P1S2-F1,False,,,,
afdb,AF-A0A2P2K895-F1,False,,,,
afdb,AF-A0A4D9AHJ6-F1,False,,,,
afdb,AF-A0A5D2ICT6-F1,True,eval00282,0.303,0.574,1.241E-01
afdb,AF-A0A5N6R5R5-F1,False,,,,
afdb,AF-A0A7J7C3H2-F1,False,,,,
afdb,AF-A0A834W4M5-F1,False,,,,
afdb,AF-A0A0A6XDM6-F1,False,,,,
afdb,AF-A0A2R4SVZ9-F1,False,,,,
afdb,AF-A0A2T0RXE6-F1,False,,,,
afdb,AF-A0A522NLQ6-F1,False,,,,
afdb,AF-A0A5N8XMY6-F1,False,,,,
afdb,AF-A0A7G8KMD7-F1,False,,,,
afdb,AF-A0A846P501-F1,False,,,,
afdb,AF-G8SD31-F1,False,,,,
afdb,AF-A0A0Z8D0Z5-F1,True,eval00117,0.325,0.551,2.230E+00
afdb,AF-A0A139N0V8-F1,False,,,,
afdb,AF-A0A2W1Z819-F1,False,,,,
afdb,AF-A0A349HPU9-F1,False,,,,
afdb,AF-A0A538J235-F1,False,,,,
afdb,AF-A0A5J4XEI1-F1,False,,,,
afdb,AF-A0A5J4XPZ9-F1,False,,,,
afdb,AF-A0A5J4Y8W4-F1,False,,,,
afdb,AF-A0A0S7GTB5-F1,False,,,,
afdb,AF-A0A1G7XMG4-F1,False,,,,
afdb,AF-A0A2D4YYX8-F1,False,,,,
afdb,AF-A0A352JMQ8-F1,False,,,,
afdb,AF-A0A5C8CB57-F1,False,,,,
afdb,AF-A0A7V9VHQ4-F1,False,,,,
afdb,AF-A0A2E0MM04-F1,False,,,,
afdb,AF-A0A350MTY7-F1,False,,,,
afdb,AF-A0A521TA73-F1,False,,,,
afdb,AF-A0A640WEU3-F1,False,,,,
afdb,AF-A0A7S0CNJ6-F1,False,,,,
afdb,AF-A0A7W0Z8Q3-F1,False,,,,
afdb,AF-A0A834VCX0-F1,False,,,,
afdb,AF-C4JH57-F1,False,,,,
afdb,AF-A0A0Q7G0B5-F1,False,,,,
afdb,AF-A0A0R2MEI0-F1,False,,,,
afdb,AF-A0A2P6BVK3-F1,False,,,,
afdb,AF-A0A3D0SHF0-F1,True,eval00431,0.333,0.523,1.108E+02
afdb,AF-A0A4R7W8S8-F1,False,,,,
afdb,AF-A0A562MFY5-F1,False,,,,
afdb,AF-A0A679IBM9-F1,False,,,,
afdb,AF-A0A848DM53-F1,False,,,,
afdb,AF-A0A0G1CDL2-F1,False,,,,
afdb,AF-A0A2E6HXB1-F1,False,,,,
afdb,AF-A0A3A0VL70-F1,False,,,,
afdb,AF-A0A3G9H851-F1,False,,,,
afdb,AF-A0A417EL99-F1,False,,,,
afdb,AF-A0A449CZJ6-F1,False,,,,
afdb,AF-A0A6A4URP0-F1,True,eval01041,0.341,0.731,1.077E-01
afdb,AF-F0HUX5-F1,False,,,,
afdb,AF-A0A126P9Z6-F1,False,,,,
afdb,AF-A0A1G0H1A4-F1,False,,,,
afdb,AF-A0A1L8G4J9-F1,False,,,,
afdb,AF-A0A1X7SY40-F1,False,,,,
afdb,AF-A0A369IZX3-F1,False,,,,
afdb,AF-F4RJH4-F1,False,,,,
afdb,AF-A0A1G3VVI5-F1,False,,,,
afdb,AF-A0A4Q6C9N8-F1,False,,,,
afdb,AF-A0A4R4NCI3-F1,False,,,,
afdb,AF-A0A511H2V6-F1,False,,,,
afdb,AF-A0A6N7ALZ6-F1,False,,,,
afdb,AF-A0A7V2JZQ1-F1,False,,,,
afdb,AF-R2Q527-F1,False,,,,
afdb,AF-S0FWD7-F1,False,,,,
afdb,AF-A0A252ANH2-F1,True,eval00063,0.319,0.946,5.343E-01
afdb,AF-A0A2D3PCA2-F1,False,,,,
afdb,AF-A0A2M7G5N1-F1,False,,,,
afdb,AF-A0A368NBJ5-F1,False,,,,
afdb,AF-A0A410MDI7-F1,False,,,,
afdb,AF-A0A5D8QH11-F1,False,,,,
afdb,AF-A0A6M0A0U9-F1,False,,,,
afdb,AF-L7VSA4-F1,True,eval00985,0.321,0.556,1.195E-01
afdb,AF-A0A1Q3P765-F1,False,,,,
afdb,AF-A0A1Y5SGW6-F1,False,,,,
afdb,AF-A0A257QMV9-F1,False,,,,
afdb,AF-A0A2M6Z4U1-F1,False,,,,
afdb,AF-A0A368BX78-F1,False,,,,
afdb,AF-A0A520U3B6-F1,False,,,,
afdb,AF-A0A535XDW0-F1,False,,,,
afdb,AF-A0A7Z9S4A9-F1,False,,,,
afdb,AF-A0A0J5P662-F1,False,,,,
afdb,AF-A0A1I1JA78-F1,False,,,,
afdb,AF-A0A1S1MY72-F1,False,,,,
afdb,AF-A0A1X7APP2-F1,False,,,,
afdb,AF-A0A2T6FKP0-F1,False,,,,
afdb,AF-A0A2Z5ABG9-F1,False,,,,
afdb,AF-A0A851HVC4-F1,True,eval01239,0.375,0.533,1.678E+02
afdb,AF-A0A8B3WH79-F1,False,,,,
afdb,AF-A0A0P9HIQ0-F1,False,,,,
afdb,AF-A0A1Q9NB97-F1,False,,,,
afdb,AF-A0A1W9L934-F1,False,,,,
afdb,AF-A0A2M7TZ42-F1,True,eval00520,0.322,0.76,1.760E+02
afdb,AF-A0A2Z3R0I5-F1,True,eval00284,0.319,0.971,9.524E-02
afdb,AF-A0A511XNC6-F1,False,,,,
afdb,AF-A0A836UPK0-F1,True,eval00215,0.357,0.618,2.158E+00
afdb,AF-V5RI20-F1,False,,,,
afdb,AF-A0A0F9FNG8-F1,False,,,,
afdb,AF-A0A401WFA3-F1,False,,,,
afdb,AF-A0A535D1A1-F1,False,,,,
afdb,AF-A0A5B2WNE4-F1,False,,,,
afdb,AF-A0A7W6ECL7-F1,False,,,,
afdb,AF-A0A800LWR0-F1,False,,,,
afdb,AF-A0A832FGT2-F1,False,,,,
afdb,AF-G0FZY6-F1,False,,,,
afdb,AF-A0A226ELZ6-F1,False,,,,
afdb,AF-A0A2A2JGM8-F1,False,,,,
afdb,AF-A0A2E2M5D9-F1,False,,,,
afdb,AF-A0A450S547-F1,False,,,,
afdb,AF-A0A4U1J903-F1,False,,,,
afdb,AF-A0A7S0BJT4-F1,False,,,,
afdb,AF-B3S5B7-F1,True,eval01415,0.454,0.629,9.546E+00
afdb,AF-H6C109-F1,False,,,,
afdb,AF-A0A1G5EM29-F1,False,,,,
afdb,AF-A0A2H5EWQ5-F1,False,,,,
afdb,AF-A0A2S6CT57-F1,False,,,,
afdb,AF-A0A3B8KR94-F1,False,,,,
afdb,AF-A0A430AK60-F1,False,,,,
afdb,AF-A0A6B0Q6F8-F1,False,,,,
afdb,AF-A0A7W1HXU6-F1,False,,,,
afdb,AF-W0I1Q0-F1,False,,,,
afdb,AF-A0A087KPL5-F1,False,,,,
afdb,AF-A0A0L7SVW3-F1,False,,,,
afdb,AF-A0A1H0SIY5-F1,False,,,,
afdb,AF-A0A1Y1KYZ3-F1,True,eval00470,0.333,0.6,4.884E+00
afdb,AF-A0A5C7C1H7-F1,False,,,,
afdb,AF-A0A6L6GWT9-F1,False,,,,
afdb,AF-A0A6P1Q245-F1,False,,,,
afdb,AF-A0A806NWG2-F1,False,,,,
afdb,AF-A0A1S7SGD9-F1,False,,,,
afdb,AF-A0A2T2WZS8-F1,False,,,,
afdb,AF-A0A430FK25-F1,True,eval00094,0.308,0.61,3.645E-06
afdb,AF-A0A7U9SFY6-F1,False,,,,
afdb,AF-A0A7Y0Q195-F1,False,,,,
afdb,AF-H1LRI2-F1,True,eval00094,0.382,0.656,2.535E-14
afdb,AF-Q51420-F1,True,eval00094,0.316,0.773,9.264E-17
afdb,AF-A0A1V6GZD1-F1,False,,,,
afdb,AF-A0A1W9L8E3-F1,False,,,,
afdb,AF-A0A4P6PD31-F1,False,,,,
afdb,AF-A0A6C2UCU8-F1,False,,,,
afdb,AF-A0A7C4DPF1-F1,False,,,,
afdb,AF-A0A7C4W7V3-F1,False,,,,
afdb,AF-A0A7X6V0T4-F1,False,,,,
afdb,AF-A0A7X7IUR3-F1,False,,,,
afdb,AF-A0A067JSJ7-F1,True,eval00191,0.302,0.951,1.857E-34
afdb,AF-A0A0K9R841-F1,True,eval00418,0.343,0.971,1.725E-29
afdb,AF-A0A453QHI7-F1,False,,,,
afdb,AF-A0A5D2WJ08-F1,False,,,,
afdb,AF-A0A6A3AUR8-F1,True,eval00418,0.320,0.909,1.034E-19
afdb,AF-A0A6I9SF53-F1,False,,,,
afdb,AF-A0A7I8JH73-F1,True,eval00418,0.342,1.0,2.330E-26
afdb,AF-F6H8V1-F1,False,,,,
afdb,AF-A0A1F3VEX6-F1,False,,,,
afdb,AF-A0A292SQ88-F1,True,eval00281,0.310,0.643,1.679E-01
afdb,AF-A0A327J9P5-F1,False,,,,
afdb,AF-A0A359BNF0-F1,False,,,,
afdb,AF-A0A432IP99-F1,True,eval01290,0.342,0.58,1.474E+00
afdb,AF-A0A838F088-F1,False,,,,
afdb,AF-R7LUQ6-F1,False,,,,
afdb,AF-A0A0Q0UBN5-F1,False,,,,
afdb,AF-A0A101IQ28-F1,False,,,,
afdb,AF-A0A1Y1R4Q3-F1,False,,,,
afdb,AF-A0A554I8A6-F1,False,,,,
afdb,AF-A0A5C7FNX5-F1,False,,,,
afdb,AF-A0A7Y6X4F9-F1,False,,,,
afdb,AF-A0A7Z2BXX2-F1,False,,,,
afdb,AF-H1HV74-F1,False,,,,
afdb,AF-A0A1B9EZN9-F1,False,,,,
afdb,AF-A0A1F2W0N5-F1,False,,,,
afdb,AF-A0A1Q6DTI7-F1,False,,,,
afdb,AF-A0A381NM32-F1,True,eval01536,0.473,0.704,2.881E+00
afdb,AF-A0A381VC90-F1,False,,,,
afdb,AF-A0A382ACY5-F1,False,,,,
afdb,AF-A0A3N6H3P1-F1,True,eval00802,0.326,0.534,1.755E-01
afdb,AF-A0A831LCX5-F1,False,,,,
afdb,AF-A0A074S320-F1,False,,,,
afdb,AF-A0A0B7FJA1-F1,False,,,,
afdb,AF-A0A0D0ECZ5-F1,False,,,,
afdb,AF-A0A0D7AUL6-F1,False,,,,
afdb,AF-A0A164XN87-F1,False,,,,
afdb,AF-A0A550CNX1-F1,False,,,,
afdb,AF-A0A5K1JRE0-F1,False,,,,
