entry_id,L,band,n_gt,global_plddt,seconds,all_R,all_AUC,all_ntrue,all_ncand,long_R,long_AUC,long_ntrue,long_ncand
AF-A0A2S9J4D6-F1,70,0-100,40,93.35114288330078,0.936,0.3,0.8520465686274509,40,2080,0.21428571428571427,0.9307136162806267,14,1081
AF-A0A6I1PB34-F1,103,101-150,67,85.9729126495065,1.182,0.13432835820895522,0.8767940069180347,67,4753,0.05405405405405406,0.8886638800183467,37,3160
AF-A0A523E731-F1,157,151-200,92,85.84235665145194,2.688,0.11956521739130435,0.8599431123774023,92,11476,0.09722222222222222,0.8501660884212644,72,8911
AF-A0A7Y7CI25-F1,237,201-250,271,95.11898734499131,5.844,0.25461254612546125,0.8730460367751651,271,26796,0.2057142857142857,0.8405480317348022,175,22791
AF-A0A7X9C4E0-F1,278,251-350,181,88.1535971524904,8.125,0.13259668508287292,0.8407424581754931,181,37128,0.049586776859504134,0.799342152448908,121,32385
AF-A0A3R7PPC7-F1,429,351-512,448,96.05519811812536,19.257,0.5223214285714286,0.9861835565509546,448,89676,0.449438202247191,0.9848554733439255,267,82215
AF-A0A523E9J2-F1,81,0-100,57,97.15938285545066,0.779,0.10526315789473684,0.7947940025502352,57,2850,0.16666666666666666,0.7418917061774204,36,1653
AF-A0A5D0SK11-F1,145,101-150,160,88.36744824113516,2.351,0.13125,0.8695461076280042,160,9730,0.11711711711711711,0.8859784130760748,111,7381
AF-A0A399SLZ5-F1,196,151-200,187,89.19051020486015,4.258,0.22459893048128343,0.856328759976487,187,18145,0.09009009009009009,0.798259083895977,111,14878
AF-A0A7X9FBY4-F1,230,201-250,212,90.65186953337296,5.732,0.12735849056603774,0.8169093806536571,212,25200,0.09803921568627451,0.8138472981785306,153,21321
AF-A0A849AUX9-F1,342,251-350,246,85.41032191047891,12.44,0.13008130081300814,0.887220758317216,246,56616,0.08,0.8754394152116167,150,50721
AF-A0A7V5YHU0-F1,494,351-512,416,92.92860326882798,26.101,0.20432692307692307,0.9337591584718898,416,119316,0.16153846153846155,0.9250785252782084,260,110685
AF-A0A522QIW9-F1,95,0-100,52,96.18515781603361,1.072,0.2692307692307692,0.885593220338983,52,4005,0.25925925925925924,0.8644611396687316,27,2556
AF-A0A0F8FY96-F1,115,101-150,121,90.25321744835895,1.498,0.24793388429752067,0.8267403349119385,121,5995,0.2236842105263158,0.808154053015751,76,4186
AF-A0A522VY59-F1,196,151-200,168,94.4954081944057,4.323,0.13690476190476192,0.7978210252783318,168,18145,0.07407407407407407,0.7664027432984779,108,14878
AF-A0A7W1KZ24-F1,215,201-250,199,92.25148842390193,5.087,0.11557788944723618,0.84554289889621,199,21945,0.13008130081300814,0.8514547145142015,123,18336
AF-A0A5M6I3I5-F1,283,251-350,126,76.55579502927962,8.656,0.20634920634920634,0.9214938800563002,126,38503,0.12371134020618557,0.9063476388273468,97,33670
AF-A0A7X5Q9E7-F1,356,351-512,368,92.77224732516856,13.743,0.10597826086956522,0.7902449359507974,368,61425,0.04659498207885305,0.7685545732633394,279,55278
AF-A0A1H4P998-F1,80,0-100,46,89.38212513923645,0.767,0.3695652173913043,0.9038348176589609,46,2775,0.23529411764705882,0.8656511260073811,34,1596
AF-A0A2A4S4X0-F1,146,101-150,48,84.22746577328199,2.42,0.2708333333333333,0.9548462634901241,48,9870,0.2727272727272727,0.9600016226522251,33,7503
AF-A0A094WBF1-F1,153,151-200,104,85.09548980114506,2.622,0.16346153846153846,0.8835854835715612,104,10878,0.04878048780487805,0.8585810162991372,41,8385
AF-A0A1Q5Q548-F1,209,201-250,173,79.67148309004934,4.835,0.20809248554913296,0.8612546446450645,173,20706,0.125,0.8095863897169132,96,17205
AF-A0A534IJN8-F1,268,251-350,166,83.16656689145672,7.978,0.20481927710843373,0.931121634143539,166,34453,0.19540229885057472,0.9469697758576338,87,29890
AF-A0A6V6Y242-F1,384,351-512,297,85.2269792209069,16.098,0.19528619528619529,0.9372954977575494,297,71631,0.11442786069651742,0.9293316372490041,201,64980
AF-A0A7U0R4M5-F1,60,0-100,16,92.30166651407878,0.486,0.0625,0.9028675970047652,16,1485,0.3333333333333333,0.9698340874811463,3,666
AF-A0A522MYQ2-F1,112,101-150,55,90.03044649532863,1.446,0.07272727272727272,0.8362794612794613,55,5671,0.06060606060606061,0.8455427309406192,33,3916
AF-A0A836TWP3-F1,164,151-200,97,83.3140243902439,3.078,0.13402061855670103,0.9064046722602331,97,12561,0.07547169811320754,0.9186134564415598,53,9870
AF-A0A0S8D8U9-F1,212,201-250,169,87.4231601571137,4.993,0.07100591715976332,0.8604788725617452,169,21321,0.034782608695652174,0.8407778349791735,115,17766
AF-A0A4R5GXQ6-F1,349,251-350,347,90.74965614165822,13.277,0.17579250720461095,0.8789000335754108,347,58996,0.0547945205479452,0.8496308152185766,219,52975
AF-A0A660LP82-F1,356,351-512,360,93.57514023512937,13.782,0.25,0.9333544629129252,360,61425,0.27205882352941174,0.9349214377148162,272,55278
AF-A0A5B8ICN8-F1,73,0-100,23,94.14712294487104,0.661,0.21739130434782608,0.8858767955268486,23,2278,0.0,0.7141687141687142,4,1225
AF-A0A3A4VZJ0-F1,102,101-150,84,97.71392149083755,1.236,0.36904761904761907,0.95622682581344,84,4656,0.20833333333333334,0.9627494275433433,24,3081
AF-A0A0Q6W2Y4-F1,196,151-200,157,93.91219397953579,4.342,0.18471337579617833,0.8004501231535815,157,18145,0.14285714285714285,0.786050164314711,98,14878
AF-A0A2U8HIX8-F1,204,201-250,191,81.70161751204846,4.666,0.1256544502617801,0.8714918648243215,191,19701,0.15503875968992248,0.8682463141000275,129,16290
AF-A0A0J8V6N4-F1,285,251-350,255,88.92333316468356,8.988,0.12549019607843137,0.8259583993370573,255,39060,0.0918918918918919,0.7986624776867675,185,34191
AF-G3AUM9-F1,408,351-512,214,84.56301478778614,17.935,0.14485981308411214,0.9111810296650222,214,81003,0.12781954887218044,0.893048330232387,133,73920
AF-A0A7W3IZW6-F1,71,0-100,48,87.55056365107147,0.642,0.3958333333333333,0.9232037831823239,48,2145,0.4473684210526316,0.8998551424432641,38,1128
AF-A0A2N1RNT5-F1,134,101-150,69,86.5202982603614,2.084,0.13043478260869565,0.8846191293018447,69,8256,0.1746031746031746,0.8755431555828774,63,6105
AF-A0A0Q6VGJ6-F1,157,151-200,111,89.3148408391673,2.842,0.13513513513513514,0.8893893453506301,111,11476,0.109375,0.8786506018989487,64,8911
AF-A0A2W1P719-F1,234,201-250,155,82.33474367907924,5.996,0.36129032258064514,0.9461546015381346,155,26106,0.2553191489361702,0.9422876800978331,94,22155
AF-A0A258AIY7-F1,294,251-350,231,90.33510208129883,9.482,0.45021645021645024,0.9910008802361104,231,41616,0.42962962962962964,0.9931093837321546,135,36585
AF-A0A1H5EQN0-F1,365,351-512,296,75.205917755545,14.415,0.18243243243243243,0.9245042411978548,296,64620,0.14622641509433962,0.9157263934981507,212,58311
AF-A0A7V8XBE4-F1,72,0-100,38,92.0099999639723,0.651,0.5526315789473685,0.9797272749291545,38,2211,0.4666666666666667,0.9738156761412575,15,1176
AF-A0A2D6R5E1-F1,139,101-150,128,85.5252520609245,2.206,0.1875,0.8718560535978596,128,8911,0.19101123595505617,0.8503685277159818,89,6670
AF-G5DSI7-F1,157,151-200,85,90.32987278737839,2.843,0.12941176470588237,0.883469405671144,85,11476,0.0425531914893617,0.8672853137721792,47,8911
AF-A0A0A8KXJ8-F1,216,201-250,198,90.64560167877762,5.146,0.2474747474747475,0.9154019127376143,198,22155,0.23684210526315788,0.9132800506381321,152,18528
AF-A0A4D4KYT6-F1,254,251-350,202,93.14598430423285,7.199,0.15346534653465346,0.8764069224944271,202,30876,0.09482758620689655,0.8484695986159441,116,26565
AF-R9MGU4-F1,445,351-512,463,92.51844934184899,21.676,0.31101511879049676,0.9681613061079648,463,96580,0.28307692307692306,0.9682490018060488,325,88831
AF-A0A174QVN0-F1,83,0-100,28,87.55722868586162,0.816,0.17857142857142858,0.8498799519807925,28,3003,0.0,0.6437074829931972,6,1770
AF-A0A2T0QQK0-F1,106,101-150,58,81.75160386427393,1.306,0.25862068965517243,0.8940684405393458,58,5050,0.15,0.9127697310079811,20,3403
AF-A0A7Z7KTI5-F1,170,151-200,189,97.17258801179774,3.236,0.25925925925925924,0.8749792282136184,189,13530,0.2706766917293233,0.8565149900605448,133,10731
AF-A0A7Y3J8T3-F1,240,201-250,240,95.12637494405111,6.266,0.14166666666666666,0.8250628325077968,240,27495,0.04964539007092199,0.7780971474413132,141,23436
AF-A0A068NVR3-F1,251,251-350,236,92.33705178674948,6.756,0.1016949152542373,0.8391948514802092,236,30135,0.08823529411764706,0.8359127165725478,170,25878
AF-A0A3G1KRP4-F1,460,351-512,389,94.8484781348187,22.973,0.19794344473007713,0.9404919145654944,389,103285,0.1774193548387097,0.9329561241028015,248,95266
AF-A0A7X6ELU0-F1,93,0-100,50,93.48860188966157,1.053,0.12,0.8540285865537323,50,3828,0.0,0.8428407469445995,27,2415
AF-A0A645HR47-F1,105,101-150,67,94.57552392142159,1.279,0.16417910447761194,0.7988788394704748,67,4950,0.0,0.7144161377271541,35,3321
AF-A0A1S3QTM0-F1,156,151-200,124,95.54782053140494,2.812,0.16129032258064516,0.7899575498731392,124,11325,0.11494252873563218,0.7504764474281096,87,8778
AF-A0A839IBP8-F1,249,201-250,209,88.15751009102327,6.674,0.10526315789473684,0.8528597200444126,209,29646,0.07352941176470588,0.8232681670477515,136,25425
AF-A0A2E1ZD16-F1,298,251-350,221,95.80808708651755,9.623,0.27601809954751133,0.9124558736608458,221,42778,0.18382352941176472,0.892639693933995,136,37675
AF-A0A5P8ZZS6-F1,441,351-512,338,92.75687086663278,20.814,0.1301775147928994,0.8995400693887989,338,94830,0.12408759124087591,0.8955159172212246,274,87153
