msa_depth_threshold,eval_set,stem,method_id,method_label,method_group,gdt_ts,msa_depth
10,eval-denovo,5sbj_A,esmfold,ESMFold,external,1.0,2
10,eval-denovo,5sbj_A,esmfold2,ESMFold2,external,1.0,2
10,eval-denovo,5sbj_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8928571428571429,2
10,eval-denovo,5sbj_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9732142857142857,2
10,eval-denovo,5sbj_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9732142857142857,2
10,eval-denovo,5sbj_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.821429,2
10,eval-denovo,5sbj_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.821429,2
10,eval-denovo,7ur7_A,esmfold,ESMFold,external,0.920635,2
10,eval-denovo,7ur7_A,esmfold2,ESMFold2,external,0.912698,2
10,eval-denovo,7ur7_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9166666666666666,2
10,eval-denovo,7ur7_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9166666666666666,2
10,eval-denovo,7ur7_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9047619047619048,2
10,eval-denovo,7ur7_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.896825,2
10,eval-denovo,7ur7_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.845238,2
10,eval-denovo,8ah9_A,esmfold,ESMFold,external,0.976087,8
10,eval-denovo,8ah9_A,esmfold2,ESMFold2,external,0.967391,8
10,eval-denovo,8ah9_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9630434782608696,8
10,eval-denovo,8ah9_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9782608695652174,8
10,eval-denovo,8ah9_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9695652173913043,8
10,eval-denovo,8ah9_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.980435,8
10,eval-denovo,8ah9_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.943478,8
10,eval-denovo,8eov_A,esmfold,ESMFold,external,0.942446,2
10,eval-denovo,8eov_A,esmfold2,ESMFold2,external,0.951439,2
10,eval-denovo,8eov_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9010791366906474,2
10,eval-denovo,8eov_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9280575539568345,2
10,eval-denovo,8eov_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8938848920863309,2
10,eval-denovo,8eov_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.92446,2
10,eval-denovo,8eov_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.92446,2
10,eval-denovo,8fjf_A,esmfold,ESMFold,external,0.003937,2
10,eval-denovo,8fjf_A,esmfold2,ESMFold2,external,0.976378,2
10,eval-denovo,8fjf_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9645669291338583,2
10,eval-denovo,8fjf_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9862204724409449,2
10,eval-denovo,8fjf_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9625984251968505,2
10,eval-denovo,8fjf_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.968504,2
10,eval-denovo,8fjf_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.966535,2
10,eval-denovo,8gac_A,esmfold,ESMFold,external,0.941748,2
10,eval-denovo,8gac_A,esmfold2,ESMFold2,external,0.941748,2
10,eval-denovo,8gac_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8883495145631068,2
10,eval-denovo,8gac_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.941747572815534,2
10,eval-denovo,8gac_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.7936893203883495,2
10,eval-denovo,8gac_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.927184,2
10,eval-denovo,8gac_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.927184,2
10,eval-denovo,8ju8_A,esmfold,ESMFold,external,0.793165,2
10,eval-denovo,8ju8_A,esmfold2,ESMFold2,external,0.751799,2
10,eval-denovo,8ju8_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.6330935251798562,2
10,eval-denovo,8ju8_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.7697841726618704,2
10,eval-denovo,8ju8_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.7517985611510791,2
10,eval-denovo,8ju8_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.771583,2
10,eval-denovo,8ju8_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.771583,2
10,eval-denovo,8k7z_A,esmfold,ESMFold,external,0.203488,2
10,eval-denovo,8k7z_A,esmfold2,ESMFold2,external,0.927326,2
10,eval-denovo,8k7z_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9491279069767442,2
10,eval-denovo,8k7z_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9491279069767442,2
10,eval-denovo,8k7z_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.5363372093023255,2
10,eval-denovo,8k7z_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.953488,2
10,eval-denovo,8k7z_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.943314,2
10,eval-denovo,8k83_A,esmfold,ESMFold,external,0.91523,2
10,eval-denovo,8k83_A,esmfold2,ESMFold2,external,0.928161,2
10,eval-denovo,8k83_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8735632183908046,2
10,eval-denovo,8k83_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9080459770114943,2
10,eval-denovo,8k83_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8778735632183908,2
10,eval-denovo,8k83_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.948276,2
10,eval-denovo,8k83_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.948276,2
