dataset,stem,scope,arm,precision,n_repeats,L,n_true_mean,n_true_min,n_true_max,n_candidates_mean,n_context,n_rollouts
foldbench_monomer,7pv5_A,full_pipeline,false_large,0.0625,2,81,64.0,64,64,2420.0,27.0,100
foldbench_monomer,7pv5_A,full_pipeline,false_small,0.2890625,2,81,64.0,64,64,2420.0,10.0,100
foldbench_monomer,7pv5_A,full_pipeline,iid,0.78125,2,81,64.0,64,64,2420.0,0.0,100
foldbench_monomer,7pv5_A,full_pipeline,iid200,0.796875,2,81,64.0,64,64,2420.0,0.0,200
foldbench_monomer,7pv5_A,full_pipeline,iid_repeat,0.8125,2,81,64.0,64,64,2420.0,0.0,100
foldbench_monomer,7pv5_A,full_pipeline,pred_large,0.78125,2,81,64.0,64,64,2420.0,27.0,100
foldbench_monomer,7pv5_A,full_pipeline,pred_small,0.7890625,2,81,64.0,64,64,2420.0,10.0,100
foldbench_monomer,7pv5_A,full_pipeline,source_plus_iid200,0.78125,2,81,64.0,64,64,2420.0,0.0,200
foldbench_monomer,7pv5_A,full_pipeline,true_large,0.8515625,2,81,64.0,64,64,2420.0,27.0,100
foldbench_monomer,7pv5_A,full_pipeline,true_small,0.796875,2,81,64.0,64,64,2420.0,10.0,100
foldbench_monomer,7pv5_A,withheld_continuation,false_large,0.04173913043478261,2,81,24.0,23,25,2352.0,27.0,100
foldbench_monomer,7pv5_A,withheld_continuation,false_small,0.10347826086956521,2,81,24.0,23,25,2352.0,10.0,100
foldbench_monomer,7pv5_A,withheld_continuation,iid,0.5826086956521739,2,81,24.0,23,25,2352.0,0.0,100
foldbench_monomer,7pv5_A,withheld_continuation,iid200,0.6043478260869566,2,81,24.0,23,25,2352.0,0.0,200
foldbench_monomer,7pv5_A,withheld_continuation,iid_repeat,0.5843478260869566,2,81,24.0,23,25,2352.0,0.0,100
foldbench_monomer,7pv5_A,withheld_continuation,pred_large,0.6243478260869566,2,81,24.0,23,25,2352.0,27.0,100
foldbench_monomer,7pv5_A,withheld_continuation,pred_small,0.6026086956521739,2,81,24.0,23,25,2352.0,10.0,100
foldbench_monomer,7pv5_A,withheld_continuation,source_plus_iid200,0.5626086956521739,2,81,24.0,23,25,2352.0,0.0,200
foldbench_monomer,7pv5_A,withheld_continuation,true_large,0.6443478260869566,2,81,24.0,23,25,2352.0,27.0,100
foldbench_monomer,7pv5_A,withheld_continuation,true_small,0.6243478260869566,2,81,24.0,23,25,2352.0,10.0,100
foldbench_monomer,7qp5_A,full_pipeline,false_large,0.014522821576763484,2,245,241.0,241,241,27730.0,81.0,100
foldbench_monomer,7qp5_A,full_pipeline,false_small,0.2095435684647303,2,245,241.0,241,241,27730.0,10.0,100
foldbench_monomer,7qp5_A,full_pipeline,iid,0.44398340248962653,2,245,241.0,241,241,27730.0,0.0,100
foldbench_monomer,7qp5_A,full_pipeline,iid200,0.450207468879668,2,245,241.0,241,241,27730.0,0.0,200
foldbench_monomer,7qp5_A,full_pipeline,iid_repeat,0.43775933609958506,2,245,241.0,241,241,27730.0,0.0,100
foldbench_monomer,7qp5_A,full_pipeline,pred_large,0.4294605809128631,2,245,241.0,241,241,27730.0,81.0,100
foldbench_monomer,7qp5_A,full_pipeline,pred_small,0.44190871369294604,2,245,241.0,241,241,27730.0,10.0,100
foldbench_monomer,7qp5_A,full_pipeline,source_plus_iid200,0.446058091286307,2,245,241.0,241,241,27730.0,0.0,200
foldbench_monomer,7qp5_A,full_pipeline,true_large,0.7717842323651453,2,245,241.0,241,241,27730.0,81.0,100
foldbench_monomer,7qp5_A,full_pipeline,true_small,0.48755186721991695,2,245,241.0,241,241,27730.0,10.0,100
foldbench_monomer,7qp5_A,withheld_continuation,false_large,0.016260162601626018,2,245,125.5,123,128,27503.5,81.0,100
foldbench_monomer,7qp5_A,withheld_continuation,false_small,0.08409552845528456,2,245,125.5,123,128,27503.5,10.0,100
foldbench_monomer,7qp5_A,withheld_continuation,iid,0.2224021849593496,2,245,125.5,123,128,27503.5,0.0,100
foldbench_monomer,7qp5_A,withheld_continuation,iid200,0.24288617886178862,2,245,125.5,123,128,27503.5,0.0,200
foldbench_monomer,7qp5_A,withheld_continuation,iid_repeat,0.2269435975609756,2,245,125.5,123,128,27503.5,0.0,100
foldbench_monomer,7qp5_A,withheld_continuation,pred_large,0.23148501016260162,2,245,125.5,123,128,27503.5,81.0,100
foldbench_monomer,7qp5_A,withheld_continuation,pred_small,0.2269435975609756,2,245,125.5,123,128,27503.5,10.0,100
foldbench_monomer,7qp5_A,withheld_continuation,source_plus_iid200,0.2505398882113821,2,245,125.5,123,128,27503.5,0.0,200
foldbench_monomer,7qp5_A,withheld_continuation,true_large,0.6216018800813008,2,245,125.5,123,128,27503.5,81.0,100
foldbench_monomer,7qp5_A,withheld_continuation,true_small,0.2744537601626016,2,245,125.5,123,128,27503.5,10.0,100
foldbench_monomer,7qsj_A,full_pipeline,false_large,0.03602305475504323,2,373,347.0,347,347,57970.0,124.0,100
foldbench_monomer,7qsj_A,full_pipeline,false_small,0.3976945244956772,2,373,347.0,347,347,57970.0,10.0,100
foldbench_monomer,7qsj_A,full_pipeline,iid,0.6570605187319885,2,373,347.0,347,347,57970.0,0.0,100
foldbench_monomer,7qsj_A,full_pipeline,iid200,0.6556195965417868,2,373,347.0,347,347,57970.0,0.0,200
foldbench_monomer,7qsj_A,full_pipeline,iid_repeat,0.6527377521613833,2,373,347.0,347,347,57970.0,0.0,100
foldbench_monomer,7qsj_A,full_pipeline,pred_large,0.6138328530259366,2,373,347.0,347,347,57970.0,124.0,100
foldbench_monomer,7qsj_A,full_pipeline,pred_small,0.6512968299711815,2,373,347.0,347,347,57970.0,10.0,100
foldbench_monomer,7qsj_A,full_pipeline,source_plus_iid200,0.6642651296829971,2,373,347.0,347,347,57970.0,0.0,200
foldbench_monomer,7qsj_A,full_pipeline,true_large,0.840057636887608,2,373,347.0,347,347,57970.0,124.0,100
foldbench_monomer,7qsj_A,full_pipeline,true_small,0.6829971181556196,2,373,347.0,347,347,57970.0,10.0,100
foldbench_monomer,7qsj_A,withheld_continuation,false_large,0.022479113243444454,2,373,155.5,154,157,57642.5,124.0,100
foldbench_monomer,7qsj_A,withheld_continuation,false_small,0.18963520555877245,2,373,155.5,154,157,57642.5,10.0,100
foldbench_monomer,7qsj_A,withheld_continuation,iid,0.4633137563073869,2,373,155.5,154,157,57642.5,0.0,100
foldbench_monomer,7qsj_A,withheld_continuation,iid200,0.46012904293159074,2,373,155.5,154,157,57642.5,0.0,200
foldbench_monomer,7qsj_A,withheld_continuation,iid_repeat,0.450450823062288,2,373,155.5,154,157,57642.5,0.0,100
foldbench_monomer,7qsj_A,withheld_continuation,pred_large,0.39893705021093556,2,373,155.5,154,157,57642.5,124.0,100
foldbench_monomer,7qsj_A,withheld_continuation,pred_small,0.4537596161799984,2,373,155.5,154,157,57642.5,10.0,100
foldbench_monomer,7qsj_A,withheld_continuation,source_plus_iid200,0.4889775829266275,2,373,155.5,154,157,57642.5,0.0,200
foldbench_monomer,7qsj_A,withheld_continuation,true_large,0.6625031019935479,2,373,155.5,154,157,57642.5,124.0,100
foldbench_monomer,7qsj_A,withheld_continuation,true_small,0.49846968318305895,2,373,155.5,154,157,57642.5,10.0,100
foldbench_monomer,7t9r_A,full_pipeline,false_large,0.14583333333333334,2,38,24.0,24,24,528.0,12.0,100
foldbench_monomer,7t9r_A,full_pipeline,false_small,0.14583333333333334,2,38,24.0,24,24,528.0,10.0,100
foldbench_monomer,7t9r_A,full_pipeline,iid,0.27083333333333337,2,38,24.0,24,24,528.0,0.0,100
foldbench_monomer,7t9r_A,full_pipeline,iid200,0.25,2,38,24.0,24,24,528.0,0.0,200
foldbench_monomer,7t9r_A,full_pipeline,iid_repeat,0.25,2,38,24.0,24,24,528.0,0.0,100
foldbench_monomer,7t9r_A,full_pipeline,pred_large,0.16666666666666666,2,38,24.0,24,24,528.0,12.0,100
foldbench_monomer,7t9r_A,full_pipeline,pred_small,0.14583333333333331,2,38,24.0,24,24,528.0,10.0,100
foldbench_monomer,7t9r_A,full_pipeline,source_plus_iid200,0.1875,2,38,24.0,24,24,528.0,0.0,200
foldbench_monomer,7t9r_A,full_pipeline,true_large,0.8125,2,38,24.0,24,24,528.0,12.0,100
foldbench_monomer,7t9r_A,full_pipeline,true_small,0.8125,2,38,24.0,24,24,528.0,10.0,100
foldbench_monomer,7t9r_A,withheld_continuation,false_large,0.1,2,38,10.0,10,10,494.5,12.0,100
foldbench_monomer,7t9r_A,withheld_continuation,false_small,0.1,2,38,10.0,10,10,494.5,10.0,100
foldbench_monomer,7t9r_A,withheld_continuation,iid,0.05,2,38,10.0,10,10,494.5,0.0,100
foldbench_monomer,7t9r_A,withheld_continuation,iid200,0.05,2,38,10.0,10,10,494.5,0.0,200
foldbench_monomer,7t9r_A,withheld_continuation,iid_repeat,0.1,2,38,10.0,10,10,494.5,0.0,100
foldbench_monomer,7t9r_A,withheld_continuation,pred_large,0.0,2,38,10.0,10,10,494.5,12.0,100
foldbench_monomer,7t9r_A,withheld_continuation,pred_small,0.0,2,38,10.0,10,10,494.5,10.0,100
foldbench_monomer,7t9r_A,withheld_continuation,source_plus_iid200,0.0,2,38,10.0,10,10,494.5,0.0,200
foldbench_monomer,7t9r_A,withheld_continuation,true_large,0.55,2,38,10.0,10,10,494.5,12.0,100
foldbench_monomer,7t9r_A,withheld_continuation,true_small,0.6,2,38,10.0,10,10,494.5,10.0,100
foldbench_monomer,7tjb_A,full_pipeline,false_large,0.059701492537313425,2,227,201.0,201,201,23436.0,75.0,100
foldbench_monomer,7tjb_A,full_pipeline,false_small,0.3980099502487562,2,227,201.0,201,201,23436.0,10.0,100
foldbench_monomer,7tjb_A,full_pipeline,iid,0.7114427860696517,2,227,201.0,201,201,23436.0,0.0,100
foldbench_monomer,7tjb_A,full_pipeline,iid200,0.708955223880597,2,227,201.0,201,201,23436.0,0.0,200
foldbench_monomer,7tjb_A,full_pipeline,iid_repeat,0.7039800995024876,2,227,201.0,201,201,23436.0,0.0,100
foldbench_monomer,7tjb_A,full_pipeline,pred_large,0.7139303482587065,2,227,201.0,201,201,23436.0,75.0,100
foldbench_monomer,7tjb_A,full_pipeline,pred_small,0.7189054726368159,2,227,201.0,201,201,23436.0,10.0,100
foldbench_monomer,7tjb_A,full_pipeline,source_plus_iid200,0.708955223880597,2,227,201.0,201,201,23436.0,0.0,200
foldbench_monomer,7tjb_A,full_pipeline,true_large,0.8407960199004976,2,227,201.0,201,201,23436.0,75.0,100
foldbench_monomer,7tjb_A,full_pipeline,true_small,0.7263681592039801,2,227,201.0,201,201,23436.0,10.0,100
foldbench_monomer,7tjb_A,withheld_continuation,false_large,0.025,2,227,80.0,80,80,23236.0,75.0,100
foldbench_monomer,7tjb_A,withheld_continuation,false_small,0.2,2,227,80.0,80,80,23236.0,10.0,100
foldbench_monomer,7tjb_A,withheld_continuation,iid,0.5125,2,227,80.0,80,80,23236.0,0.0,100
foldbench_monomer,7tjb_A,withheld_continuation,iid200,0.5,2,227,80.0,80,80,23236.0,0.0,200
foldbench_monomer,7tjb_A,withheld_continuation,iid_repeat,0.5,2,227,80.0,80,80,23236.0,0.0,100
foldbench_monomer,7tjb_A,withheld_continuation,pred_large,0.51875,2,227,80.0,80,80,23236.0,75.0,100
foldbench_monomer,7tjb_A,withheld_continuation,pred_small,0.50625,2,227,80.0,80,80,23236.0,10.0,100
foldbench_monomer,7tjb_A,withheld_continuation,source_plus_iid200,0.5125,2,227,80.0,80,80,23236.0,0.0,200
foldbench_monomer,7tjb_A,withheld_continuation,true_large,0.6187499999999999,2,227,80.0,80,80,23236.0,75.0,100
foldbench_monomer,7tjb_A,withheld_continuation,true_small,0.51875,2,227,80.0,80,80,23236.0,10.0,100
foldbench_monomer,7tlh_A,full_pipeline,false_large,0.017543859649122806,2,136,114.0,114,114,7021.0,45.0,100
foldbench_monomer,7tlh_A,full_pipeline,false_small,0.2543859649122807,2,136,114.0,114,114,7021.0,10.0,100
foldbench_monomer,7tlh_A,full_pipeline,iid,0.37280701754385964,2,136,114.0,114,114,7021.0,0.0,100
foldbench_monomer,7tlh_A,full_pipeline,iid200,0.35964912280701755,2,136,114.0,114,114,7021.0,0.0,200
foldbench_monomer,7tlh_A,full_pipeline,iid_repeat,0.3508771929824561,2,136,114.0,114,114,7021.0,0.0,100
foldbench_monomer,7tlh_A,full_pipeline,pred_large,0.32894736842105265,2,136,114.0,114,114,7021.0,45.0,100
foldbench_monomer,7tlh_A,full_pipeline,pred_small,0.35964912280701755,2,136,114.0,114,114,7021.0,10.0,100
foldbench_monomer,7tlh_A,full_pipeline,source_plus_iid200,0.36403508771929827,2,136,114.0,114,114,7021.0,0.0,200
foldbench_monomer,7tlh_A,full_pipeline,true_large,0.8026315789473684,2,136,114.0,114,114,7021.0,45.0,100
foldbench_monomer,7tlh_A,full_pipeline,true_small,0.6052631578947368,2,136,114.0,114,114,7021.0,10.0,100
foldbench_monomer,7tlh_A,withheld_continuation,false_large,0.017857142857142856,2,136,57.0,56,58,6896.0,45.0,100
foldbench_monomer,7tlh_A,withheld_continuation,false_small,0.13977832512315272,2,136,57.0,56,58,6896.0,10.0,100
foldbench_monomer,7tlh_A,withheld_continuation,iid,0.22814039408866996,2,136,57.0,56,58,6896.0,0.0,100
foldbench_monomer,7tlh_A,withheld_continuation,iid200,0.19273399014778325,2,136,57.0,56,58,6896.0,0.0,200
