stem,length,condition,quality_pass,sequence_excluded,structure_excluded,fine_cluster,selected
proteina-75c14aeacc8a1a77d74f,100,1.x.x.x,False,False,False,,False
proteina-215583f1945db6f6dbfe,100,1.x.x.x,True,False,False,proteina-215583f1945db6f6dbfe,True
proteina-0ad9b6897347c8251eaf,100,1.x.x.x,True,True,False,,False
proteina-70791b852d1236e1a0d1,100,1.x.x.x,True,False,False,proteina-70791b852d1236e1a0d1,True
proteina-a81dbf596dce0d01f55f,100,1.x.x.x,True,False,False,proteina-a81dbf596dce0d01f55f,True
proteina-fa8062f75af335e9ecf1,100,1.x.x.x,True,False,False,proteina-fa8062f75af335e9ecf1,True
proteina-276b5488628433a2a539,100,1.x.x.x,True,False,False,proteina-276b5488628433a2a539,True
proteina-196b47be5f54394618a0,100,1.x.x.x,True,False,False,proteina-196b47be5f54394618a0,True
proteina-c47b28aae69757c46b68,100,1.x.x.x,True,False,False,proteina-c47b28aae69757c46b68,True
proteina-ae2d335f6f1b2af6d22e,100,1.x.x.x,True,False,False,proteina-576af52de547319d7f5b,True
proteina-5ed86f32a250b3c9459d,100,1.x.x.x,True,False,False,proteina-5ed86f32a250b3c9459d,True
proteina-24f4d1ab8dffefb3b814,100,1.x.x.x,False,False,False,,False
proteina-c337ed2496379b3a507b,100,1.x.x.x,True,False,False,proteina-c337ed2496379b3a507b,True
proteina-b973158da8600beb120e,100,1.x.x.x,True,False,False,proteina-b973158da8600beb120e,True
proteina-2bffd6308ea6421552b3,100,1.x.x.x,True,True,False,,False
proteina-d909ed39640b232ffeab,100,1.x.x.x,True,True,False,,False
proteina-c6534107658702efbffc,100,1.x.x.x,False,False,False,,False
proteina-57083b0489e240b352cb,100,1.x.x.x,True,False,False,proteina-57083b0489e240b352cb,True
proteina-8a2cb45828c7f54a286f,100,1.x.x.x,True,False,True,,False
proteina-cfc40e241f03e7e656b9,100,1.x.x.x,True,False,False,proteina-cfc40e241f03e7e656b9,True
proteina-902a7b7c464bf3c315f7,100,1.x.x.x,True,False,False,proteina-902a7b7c464bf3c315f7,True
proteina-2a4a9abfb2af9f5d3ce5,100,1.x.x.x,True,False,False,proteina-2a4a9abfb2af9f5d3ce5,True
proteina-0a4986de98417fc38457,100,1.x.x.x,False,True,False,,False
proteina-af7d027679bf8dba3c04,100,1.x.x.x,True,False,False,proteina-af7d027679bf8dba3c04,True
proteina-2f58b143cc41192eb256,100,1.x.x.x,True,False,False,proteina-2f58b143cc41192eb256,True
proteina-a05690df4731bece6c9d,100,1.x.x.x,False,False,False,,False
