stem,n_residues,entropy_max_bits,entropy_long_bits,entropy_med_bits,entropy_short_bits,top_p_long,top_p_med,top_p_short,captured_mass_long,captured_mass_med,captured_mass_short
8eb9_A,95,6.5699,5.9075,5.9805,5.7517,0.031386,0.034328,0.05063,1.0,0.9999,0.9999
7y5j_A,102,6.6724,5.701,5.4825,4.897,0.044211,0.055143,0.099208,1.0,0.9999,0.9997
7ykm_A,105,6.7142,6.0289,5.8282,5.6564,0.032093,0.055954,0.069645,1.0,0.9999,0.9999
7ur2_A,195,7.6073,6.7242,6.3612,6.3977,0.025476,0.049543,0.058012,0.9746,0.976,0.9739
8baq_A,208,7.7004,6.802,6.7445,6.7387,0.022214,0.027625,0.026996,0.9107,0.9195,0.9086
8cba_A,214,7.7415,6.8724,6.699,6.544,0.017947,0.044565,0.052802,0.8811,0.8732,0.9195
7zs2_A,316,8.3038,6.9081,6.8603,6.7571,0.022289,0.026166,0.029547,0.7497,0.8301,0.8412
7xz3_A,325,8.3443,6.9553,6.8167,6.7938,0.013518,0.026927,0.027203,0.6691,0.7349,0.7465
7ylr_A,330,8.3663,6.8981,6.8175,6.7443,0.021493,0.030793,0.038139,0.6965,0.7508,0.8082
7uk8_A,394,8.6221,6.9468,6.9432,6.9428,0.018341,0.016172,0.019042,0.489,0.6729,0.6619
