pair_id,root_phi,root_contacts,n_root,phi,contacts_per_rollout,delta_phi
1h38d_1qlna,0.04273575422948963,1030.67,100,0.0374,1022.5,0.005335754229489627
1k0na_1rk4b,0.3209619047619047,183.41,100,0.332,184.4,-0.011038095238095291
1kcta_3t1pa,-0.010801942072660302,397.42,100,-0.005,398.1,-0.005801942072660301
1nqda_1nqjb,0.010235294117647054,124.31,100,0.0185,125.1,-0.008264705882352945
1nrjb_2gedb,0.3774241588527303,160.39,100,0.3718,159.5,0.0056241588527302655
1qomb_1noca,0.012175405742821473,448.1,100,0.0169,443.1,-0.004724594257178525
1qs8b_1miqb,0.1034255185417976,278.55,100,0.1088,280.5,-0.005374481458202393
1repc_2z9ob,0.34897837599293907,240.54,100,0.3407,242.4,0.008278375992939069
1uxmk_2nama,0.5527922077922078,123.2,100,0.5685,123.8,-0.01570779220779217
1xjta_1xjub,0.30144615384615386,129.19,100,0.3214,130.6,-0.019953846153846155
1xnta_3lqca,0.32280080213903745,146.69,100,0.303,147.3,0.019800802139037454
2a73b_3l5nb,0.04207038363934917,1131.96,100,0.0415,1114.1,0.0005703836393491646
2c1vb_2c1uc,0.17902709359605912,293.89,100,0.183,291.0,-0.003972906403940879
2frha_1fzpd,0.5909864603481625,73.11,100,0.5859,73.7,0.005086460348162514
2grmb_2axza,0.1318409090909091,298.4,100,0.1225,305.7,0.009340909090909094
2h44a_1rkpa,-0.10751851851851851,311.89,100,-0.122,321.0,0.014481481481481484
2hdma_2n54b,-0.06679802955665023,43.14,100,-0.0804,44.1,0.013601970443349765
2k42a_1ceeb,0.200875,20.03,100,0.1746,20.0,0.026274999999999993
2lela_2k0qa,-0.19621839080459771,67.97,100,-0.1971,68.7,0.0008816091954022831
2p3vd_2p3va,0.0667440476190476,281.45,100,0.074,283.4,-0.007255952380952391
2pbkb_3njqa,0.007636363636363636,127.17,100,0.0072,126.2,0.0004363636363636358
2qqja_4qdsa,0.022789473684210516,177.93,100,0.0121,177.2,0.010689473684210516
2vfxl_3gmhl,-0.01339561855670103,163.43,100,-0.015,167.4,0.001604381443298969
3g0ha_3ewsb,0.06458836965832304,432.26,100,0.0746,435.6,-0.010011630341676958
3hdea_3hdfa,0.49801776960784316,106.52,100,0.4903,107.4,0.00771776960784315
3ifaa_5et5a,-0.06445098039215685,303.03,100,-0.0592,299.5,-0.005250980392156851
3j7wb_3j7vg,0.13194805194805195,280.49,100,0.1272,279.2,0.004748051948051946
3jv6a_1zk9a,0.115,98.97,100,0.1086,100.4,0.006400000000000003
3kdsg_2ce7c,0.3733529411764706,366.64,100,0.3683,369.2,0.005052941176470593
3m1bf_3lowa,0.11652631578947367,105.77,100,0.1211,106.7,-0.004573684210526327
3meea_4b3ob,0.15774187060006703,422.99,100,0.1537,426.9,0.004041870600067027
3o44a_1xeza,0.00725974025974026,705.71,100,0.0107,694.5,-0.003440259740259739
3qy2a_1qb3a,0.14513377926421403,98.58,100,0.1454,97.1,-0.0002662207357859714
3t5oa_4a5wb,0.09544406816104929,772.69,100,0.0988,764.4,-0.003355931838950707
3tp2a_5lj3m,0.044164976335361726,194.87,100,0.0399,189.9,0.004264976335361728
3zwgn_4tsyd,-0.013447204968944098,146.74,100,-0.0087,151.0,-0.004747204968944098
3zxgb_5ec5p,-0.02526050420168067,328.37,100,-0.0255,329.2,0.00023949579831933007
4aana_4aala,0.1680508166969147,277.88,100,0.1723,280.0,-0.004249183303085297
4dxra_4dxta,0.041151515151515154,167.45,100,0.0318,168.0,0.009351515151515152
4gqcc_4gqcb,0.5611752287121745,157.37,100,0.563,159.6,-0.001824771287825433
4h2aa_3j9ca,0.00533319289375746,380.0,100,0.0039,375.9,0.0014331928937574602
4j3of_2jmra,-0.006646900269541777,117.2,100,0.0024,120.1,-0.009046900269541776
4jphb_5hk5h,0.0015625,87.28,100,-0.0008,91.0,0.0023625
4nc9c_4n9wa,-0.2058362676056338,276.9,100,-0.2083,277.3,0.0024637323943662026
4o0pa_4o01d,0.0057953873447664115,378.9,100,0.0092,380.5,-0.0034046126552335883
4ow6b_4ae0a,-0.022210987529491067,460.68,100,-0.0269,443.3,0.004689012470508933
4phqa_2wcdx,0.0045408504938891665,238.56,100,0.0058,242.8,-0.0012591495061108331
4pyia_4pyja,0.16243313201035378,205.69,100,0.1475,203.6,0.014933132010353789
4qhfa_4qhha,0.21759305210918115,99.87,100,0.2158,101.0,0.0017930521091811535
4rmbb_4rmba,0.028333333333333332,134.43,100,0.016,131.5,0.012333333333333332
4rwna_4rwqb,0.051312403499742656,378.89,100,0.0578,377.3,-0.006487596500257341
4uv2d_4q79f,-0.023283858998144717,159.17,100,-0.0336,158.2,0.01031614100185528
4y0mj_4xwsd,-0.06089176829268293,177.88,100,-0.0639,178.2,0.003008231707317066
4ydqb_4twaa,0.1580999180999181,531.56,100,0.1659,544.9,-0.007800081900081884
4yhdg_7ahle,0.006624512099921935,282.38,100,0.0113,283.3,-0.004675487900078064
4zrbc_4zrbh,-0.14731578947368418,111.67,100,-0.1619,112.0,0.01458421052631581
5aoeb_5ly6b,0.08807801161103047,515.83,100,0.0882,521.4,-0.00012198838896952668
5c1va_5c1vb,0.4150520547945205,357.3,100,0.4094,357.7,0.005652054794520522
5f5rb_5f3ka,-0.003095238095238087,179.04,100,-0.0119,179.9,0.008804761904761914
5flue_2uy7d,0.2541360544217687,120.65,100,0.2363,120.1,0.017836054421768666
5hmga_3ztje,0.007076555023923446,336.78,100,0.0055,346.9,0.001576555023923446
5i2ma_5i2sa,0.0022407278512478874,458.43,100,0.0004,457.8,0.0018407278512478874
5jyta_2qkee,0.49129629629629634,79.58,100,0.4737,79.4,0.017596296296296332
5jzha_5jztg,0.011856461428806404,528.42,100,0.0107,526.2,0.0011564614288064046
5keqf_1dzla,-0.0032621231979030165,557.92,100,-0.0034,559.0,0.00013787680209698333
5l35d_5l35g,0.15176354679802956,403.35,100,0.1556,401.9,-0.00383645320197043
6c6sd_2ougc,0.3922215941209723,110.19,100,0.3871,110.7,0.005121594120972295
