model,stem,n_residues,elapsed_seconds,num_recycles,n_samples,num_loops,num_sampling_steps,gpu_name
esmfold,7xrx_A,398,4.7537,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9b7d_D,192,0.986,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjt_A,126,1.5833,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4db6_A,197,1.8906,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6rli_A,250,1.6729,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8cig_A,136,1.214,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8bu0_A,136,0.9407,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8kdq_A,233,1.494,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2af5_A,292,2.2464,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9tas_A,126,1.0909,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5f53_A,84,1.0008,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8q8i_A,282,2.2467,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7znz_A,761,23.4894,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hk3_A,126,1.0655,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3o4c_A,124,1.1334,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6veh_A,180,1.2102,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7wz5_A,161,2.5599,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8ckr_A,136,1.1229,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9r1n_A,132,1.2152,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjq_A,126,0.9995,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8qzn_A,346,3.4525,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1035-D1,102,1.1326,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7awy_A,311,2.6825,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3lt9_A,69,1.781,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3p6i_A,127,1.9828,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9r1k_A,126,1.5082,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hk4_A,126,1.1226,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8akh_A,374,4.1207,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjy_A,126,1.7973,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6ics_O,242,1.9819,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3lt8_A,69,1.0322,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8bsb_A,177,1.3118,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3q7x_A,125,1.5498,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6rek_A,251,1.8538,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3v45_A,166,1.8157,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9cte_A,110,1.0924,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8vd6_A,174,1.1454,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7pv5_A,81,0.7487,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4lt9_A,250,1.7286,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2fo7_A,136,1.3325,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3ltb_A,69,1.1614,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8p4y_A,192,0.9807,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9jl8_A,166,1.8775,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8arl_A,246,1.9317,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3p6j_A,125,1.1356,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5orm_A,350,5.1499,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8qad_A,145,1.2268,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8eb9_A,95,1.654,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5oos_A,161,1.2702,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjc_A,126,1.7314,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjg_A,126,1.1351,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6tjg_A,320,2.7475,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9de9_B,81,0.9705,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7urp_A,160,1.7435,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8bau_A,189,1.088,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5d2x_A,250,1.6798,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8ka7_A,115,1.9194,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7uba_A,213,1.9325,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9rb0_A,208,1.9961,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6egc_A,147,2.4008,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5vjt_A,196,1.2706,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9x1w_A,88,0.865,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8ci9_A,312,2.5748,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8j1x_A,174,1.7125,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2zgd_A,97,1.5688,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8raj_A,62,0.9757,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9r1m_A,129,1.1327,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9de4_A,106,1.0539,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8b2g_A,74,1.1834,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6i3a_A,251,2.4603,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7f1j_A,190,1.0204,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hj9_A,126,1.6667,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1029-D1,125,0.8527,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7zs2_A,316,3.0063,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9ded_A,114,2.2206,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9qui_A,170,0.9058,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9kgz_A,125,0.8293,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9r7f_A,202,1.2697,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5l33_A,106,1.5528,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7xjr_A,337,3.768,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4hxt_A,247,1.6703,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6xi6_A,269,2.2493,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8au6_A,321,3.5611,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5cwp_A,229,2.2829,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8eoz_B,227,1.9413,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3lta_A,69,0.8286,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4ndj_A,280,2.0768,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9h10_A,208,1.8084,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1041-D1,242,1.8983,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9vvn_A,167,1.8142,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9db9_A,107,1.4844,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8cpn_A,207,1.3036,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hk2_A,126,1.0342,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9raq_A,208,1.2062,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4dui_A,165,1.896,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hj2_A,126,1.1274,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjm_A,126,0.9713,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7vql_A,115,0.8003,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2p09_A,69,1.8222,4.0,,,,NVIDIA H100 80GB HBM3
