eval_set,stem,method_id,method_label,gdt_ts
eval-denovo,5sbj_A,esmfold,ESMFold,1.0
eval-denovo,5sbj_A,esmfold2,ESMFold2,1.0
eval-denovo,5sbj_A,protenix_v2_msa,Protenix-v2 + MSA,0.821429
eval-denovo,5sbj_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.821429
eval-denovo,7ur7_A,esmfold,ESMFold,0.920635
eval-denovo,7ur7_A,esmfold2,ESMFold2,0.912698
eval-denovo,7ur7_A,protenix_v2_msa,Protenix-v2 + MSA,0.896825
eval-denovo,7ur7_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.845238
eval-denovo,8ah9_A,esmfold,ESMFold,0.976087
eval-denovo,8ah9_A,esmfold2,ESMFold2,0.967391
eval-denovo,8ah9_A,protenix_v2_msa,Protenix-v2 + MSA,0.980435
eval-denovo,8ah9_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.943478
eval-denovo,8eov_A,esmfold,ESMFold,0.942446
eval-denovo,8eov_A,esmfold2,ESMFold2,0.951439
eval-denovo,8eov_A,protenix_v2_msa,Protenix-v2 + MSA,0.92446
eval-denovo,8eov_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.92446
eval-denovo,8fjf_A,esmfold,ESMFold,0.003937
eval-denovo,8fjf_A,esmfold2,ESMFold2,0.976378
eval-denovo,8fjf_A,protenix_v2_msa,Protenix-v2 + MSA,0.968504
eval-denovo,8fjf_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.966535
eval-denovo,8gac_A,esmfold,ESMFold,0.941748
eval-denovo,8gac_A,esmfold2,ESMFold2,0.941748
eval-denovo,8gac_A,protenix_v2_msa,Protenix-v2 + MSA,0.927184
eval-denovo,8gac_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.927184
eval-denovo,8ju8_A,esmfold,ESMFold,0.793165
eval-denovo,8ju8_A,esmfold2,ESMFold2,0.751799
eval-denovo,8ju8_A,protenix_v2_msa,Protenix-v2 + MSA,0.771583
eval-denovo,8ju8_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.771583
eval-denovo,8k7o_A,esmfold,ESMFold,0.94206
eval-denovo,8k7o_A,esmfold2,ESMFold2,0.945279
eval-denovo,8k7o_A,protenix_v2_msa,Protenix-v2 + MSA,0.943133
eval-denovo,8k7o_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.940987
eval-denovo,8k7z_A,esmfold,ESMFold,0.203488
eval-denovo,8k7z_A,esmfold2,ESMFold2,0.927326
eval-denovo,8k7z_A,protenix_v2_msa,Protenix-v2 + MSA,0.953488
eval-denovo,8k7z_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.943314
eval-denovo,8k83_A,esmfold,ESMFold,0.91523
eval-denovo,8k83_A,esmfold2,ESMFold2,0.928161
eval-denovo,8k83_A,protenix_v2_msa,Protenix-v2 + MSA,0.948276
eval-denovo,8k83_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.948276
eval-denovo,8k84_A,esmfold,ESMFold,0.969653
eval-denovo,8k84_A,esmfold2,ESMFold2,0.976879
eval-denovo,8k84_A,protenix_v2_msa,Protenix-v2 + MSA,0.929191
eval-denovo,8k84_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.981214
eval-denovo,8ka7_A,esmfold,ESMFold,0.969565
eval-denovo,8ka7_A,esmfold2,ESMFold2,0.93913
eval-denovo,8ka7_A,protenix_v2_msa,Protenix-v2 + MSA,0.652174
eval-denovo,8ka7_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.654348
