stem,true_union_recall,mean_pairwise_jaccard,unique_maps,invalid_rollouts,finished,source,source_row
7t9r_A,1.0,0.0819091816153568,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,454
7xp9_A,0.9777777777777776,0.0975603630394983,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,468
7ykm_A,0.9818181818181818,0.5734859574674576,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,482
8b2e_A,0.953846153846154,0.0572597842934691,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,496
8ec3_A,0.9047619047619048,0.0723531487747732,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,510
7yd4_A,0.8873239436619719,0.036595887384999,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,524
8add_A,0.7476190476190476,0.0285368218387795,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,538
8gmy_A,0.6653543307086615,0.2484546282137213,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,552
7xlz_A,0.9735849056603774,0.3866278279657481,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,566
8ak2_A,0.9554140127388536,0.4852534088657282,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,580
7zs2_A,0.9641255605381166,0.3699351015029218,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,594
8c4d_A,0.982532751091703,0.334030393801972,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,608
8akh_A,0.9875389408099688,0.3741479607417248,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,622
7y3h_A,0.9839743589743588,0.3946567176358252,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,636
7xq4_A,0.9661016949152542,0.2275864748718602,100,2,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,650
7znz_A,0.971030042918455,0.1824447543783864,100,3,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/full_dev_natural.csv,664
7yhr_A,1.0,0.1874988380401741,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2274
7xi5_A,1.0,0.54939666344448,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2288
8b6e_A,0.9772727272727272,0.5614365700424541,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2302
8b2g_A,1.0,0.2956548995172254,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2316
7pv5_A,1.0,0.4854955668930056,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2330
