stem,msa_depth,confidence,oracle_confidence,n_decoys,n_above_oracle,n_tied_oracle,rank_best,rank_worst,rank_mid,fraction_decoys_below_oracle,unique_decoy_maps,unique_decoy_structures,decoy_confidence_median,decoy_gdt_ts_median,oracle_gdt_ts,oracle_source_row,decoy_source_rows
8ii8_A,3,ranking_score,0.9113152623176575,100,0,0,1,1,1.0,1.0,100,100,0.7716776430606842,0.49777777777777776,0.9566666666666667,0,3|8|11|12|17|20|21|24|27|30|35|36|39|43|45|48|53|54|57|60|63|67|71|72|75|80|82|86|88|90|93|97|99|104|106|108|111|116|117|121|123|127|129|132|135|138|143|146|148|152|155|157|161|164|167|170|173|176|179|180|183|187|189|192|196|200|202|204|208|210|213|216|221|222|226|228|233|234|239|242|245|246|251|252|257|258|263|265|269|270|275|277|281|282|287|289|293|295|299|301
8ii8_A,3,mean_plddt,92.70856475830078,100,0,0,1,1,1.0,1.0,100,100,86.52933120727539,0.49777777777777776,0.9566666666666667,0,3|8|11|12|17|20|21|24|27|30|35|36|39|43|45|48|53|54|57|60|63|67|71|72|75|80|82|86|88|90|93|97|99|104|106|108|111|116|117|121|123|127|129|132|135|138|143|146|148|152|155|157|161|164|167|170|173|176|179|180|183|187|189|192|196|200|202|204|208|210|213|216|221|222|226|228|233|234|239|242|245|246|251|252|257|258|263|265|269|270|275|277|281|282|287|289|293|295|299|301
8oxk_A,6,ranking_score,0.9086867570877075,100,4,0,5,5,5.0,0.96,100,100,0.8757567703723907,0.7101063829787233,0.9521276595744681,305,308|311|314|315|320|323|326|329|332|333|338|341|344|346|350|353|356|359|362|365|368|371|374|377|380|383|386|389|392|395|398|401|404|407|410|413|416|419|422|425|428|431|434|437|440|443|446|449|452|455|457|461|464|467|470|473|476|479|482|485|488|491|494|497|500|503|506|509|512|515|518|521|524|527|530|533|536|539|541|545|548|551|554|557|560|563|566|569|572|575|578|581|584|587|590|591|596|599|602|605
8oxk_A,6,mean_plddt,90.95655059814453,100,3,0,4,4,4.0,0.97,100,100,88.36284255981445,0.7101063829787233,0.9521276595744681,305,308|311|314|315|320|323|326|329|332|333|338|341|344|346|350|353|356|359|362|365|368|371|374|377|380|383|386|389|392|395|398|401|404|407|410|413|416|419|422|425|428|431|434|437|440|443|446|449|452|455|457|461|464|467|470|473|476|479|482|485|488|491|494|497|500|503|506|509|512|515|518|521|524|527|530|533|536|539|541|545|548|551|554|557|560|563|566|569|572|575|578|581|584|587|590|591|596|599|602|605
8qoh_A,3,ranking_score,0.9267489314079285,100,0,0,1,1,1.0,1.0,100,100,0.9158435463905334,0.6601277372262774,0.9032846715328468,608,610|614|617|620|622|626|628|632|634|638|640|643|647|650|652|656|658|661|665|668|670|673|676|680|682|685|689|692|695|698|700|704|707|709|712|715|718|721|724|728|730|734|736|739|742|746|748|751|755|757|760|763|766|769|772|775|778|782|784|788|790|793|796|800|802|805|808|811|814|817|820|823|827|829|832|836|838|842|844|847|850|853|857|859|863|866|869|871|874|877|880|884|886|890|892|895|899|902|904|907
8qoh_A,3,mean_plddt,87.87342834472656,100,0,0,1,1,1.0,1.0,100,100,85.49627304077148,0.6601277372262774,0.9032846715328468,608,610|614|617|620|622|626|628|632|634|638|640|643|647|650|652|656|658|661|665|668|670|673|676|680|682|685|689|692|695|698|700|704|707|709|712|715|718|721|724|728|730|734|736|739|742|746|748|751|755|757|760|763|766|769|772|775|778|782|784|788|790|793|796|800|802|805|808|811|814|817|820|823|827|829|832|836|838|842|844|847|850|853|857|859|863|866|869|871|874|877|880|884|886|890|892|895|899|902|904|907
8ux2_A,6,ranking_score,0.6894343495368958,100,4,0,5,5,5.0,0.96,100,100,0.6059965193271637,0.29947916666666663,0.8937499999999999,910,913|917|920|923|925|927|931|934|937|940|944|946|949|951|955|958|961|965|967|970|974|976|978|983|985|988|991|993|997|1001|1002|1005|1010|1012|1015|1018|1020|1023|1026|1030|1033|1036|1039|1042|1044|1047|1051|1054|1057|1061|1063|1067|1069|1073|1075|1078|1081|1084|1086|1090|1093|1096|1099|1103|1105|1108|1111|1114|1118|1120|1123|1126|1129|1132|1135|1138|1141|1144|1146|1151|1153|1157|1159|1162|1166|1168|1172|1175|1178|1180|1183|1186|1189|1192|1194|1199|1201|1204|1208|1210
8ux2_A,6,mean_plddt,90.36811065673828,100,0,0,1,1,1.0,1.0,100,100,80.09516143798828,0.29947916666666663,0.8937499999999999,910,913|917|920|923|925|927|931|934|937|940|944|946|949|951|955|958|961|965|967|970|974|976|978|983|985|988|991|993|997|1001|1002|1005|1010|1012|1015|1018|1020|1023|1026|1030|1033|1036|1039|1042|1044|1047|1051|1054|1057|1061|1063|1067|1069|1073|1075|1078|1081|1084|1086|1090|1093|1096|1099|1103|1105|1108|1111|1114|1118|1120|1123|1126|1129|1132|1135|1138|1141|1144|1146|1151|1153|1157|1159|1162|1166|1168|1172|1175|1178|1180|1183|1186|1189|1192|1194|1199|1201|1204|1208|1210
8wrx_A,4,ranking_score,0.7246757745742798,100,0,0,1,1,1.0,1.0,100,100,0.6679522097110748,0.7296511627906976,0.9418604651162791,1213,1217|1219|1223|1226|1229|1232|1233|1238|1241|1244|1246|1250|1253|1255|1258|1261|1265|1268|1271|1273|1277|1279|1282|1285|1288|1292|1295|1298|1301|1304|1305|1308|1313|1314|1318|1322|1324|1328|1329|1333|1337|1338|1343|1344|1348|1350|1355|1358|1361|1363|1367|1369|1373|1374|1378|1382|1384|1388|1391|1394|1397|1399|1403|1406|1408|1411|1414|1416|1421|1424|1427|1430|1433|1436|1439|1440|1445|1447|1451|1452|1457|1458|1461|1466|1469|1472|1474|1476|1481|1482|1485|1488|1491|1494|1498|1502|1504|1507|1511|1514
8wrx_A,4,mean_plddt,91.8971176147461,100,0,0,1,1,1.0,1.0,100,100,88.3088493347168,0.7296511627906976,0.9418604651162791,1213,1217|1219|1223|1226|1229|1232|1233|1238|1241|1244|1246|1250|1253|1255|1258|1261|1265|1268|1271|1273|1277|1279|1282|1285|1288|1292|1295|1298|1301|1304|1305|1308|1313|1314|1318|1322|1324|1328|1329|1333|1337|1338|1343|1344|1348|1350|1355|1358|1361|1363|1367|1369|1373|1374|1378|1382|1384|1388|1391|1394|1397|1399|1403|1406|1408|1411|1414|1416|1421|1424|1427|1430|1433|1436|1439|1440|1445|1447|1451|1452|1457|1458|1461|1466|1469|1472|1474|1476|1481|1482|1485|1488|1491|1494|1498|1502|1504|1507|1511|1514
