target_id,pair_id,input_fold,variant,candidate_id,shortlist_rank,n_contacts_mapped,fold,observed_residues,mapped_residues,sequence_identity,true_contacts_ca_checked,true_contacts_ca_far,true_contacts_ca_far_fraction,dataset,n_tokens,status,elapsed_seconds,predict_seconds,model_load_seconds,gpu_name,gpu_total_memory_gb,gpu_compute_capability,hostname,platform,torch_version,stem,n_residues,n_pairs,mode,total_seconds,model_nickname,runner_tag,n_samples,n_cycles
1qs8b_1miqb__gt1__true_fold1,1qs8b_1miqb,1,true_fold1,,0,279,1qs8B,328,327,1.0,279,0,0.0,exp304_foldswitch,328,ok,14.007,14.007,6.236,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,1qs8b_1miqb,328,53628,true_fold1:input_fold1,14.813,helico-contacts-msafree-01-step-6000,modal,3,6
1qs8b_1miqb__gt1__true_fold2,1qs8b_1miqb,1,true_fold2,,0,267,1qs8B,328,327,1.0,279,0,0.0,exp304_foldswitch,328,ok,14.275,14.275,6.829,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,1qs8b_1miqb,328,53628,true_fold2:input_fold1,15.196,helico-contacts-msafree-01-step-6000,modal,3,6
1qs8b_1miqb__gt1__blind_fold1,1qs8b_1miqb,1,blind_fold1,root:23,6,344,1qs8B,328,327,1.0,279,0,0.0,exp304_foldswitch,328,ok,13.919,13.919,6.94,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,1qs8b_1miqb,328,53628,blind_fold1:input_fold1,14.762,helico-contacts-msafree-01-step-6000,modal,3,6
1qs8b_1miqb__gt1__blind_fold2,1qs8b_1miqb,1,blind_fold2,branch10:65,10,297,1qs8B,328,327,1.0,279,0,0.0,exp304_foldswitch,328,ok,14.683,14.683,7.949,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,1qs8b_1miqb,328,53628,blind_fold2:input_fold1,15.67,helico-contacts-msafree-01-step-6000,modal,3,6
1qs8b_1miqb__gt2__true_fold1,1qs8b_1miqb,2,true_fold1,,0,279,1miqB,375,327,0.9969418960244648,267,4,0.0149812734082397,exp304_foldswitch,375,ok,17.021,17.021,7.328,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,1qs8b_1miqb,375,70125,true_fold1:input_fold2,18.142,helico-contacts-msafree-01-step-6000,modal,3,6
1qs8b_1miqb__gt2__true_fold2,1qs8b_1miqb,2,true_fold2,,0,267,1miqB,375,327,0.9969418960244648,267,4,0.0149812734082397,exp304_foldswitch,375,ok,17.291,17.291,8.37,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,1qs8b_1miqb,375,70125,true_fold2:input_fold2,18.598,helico-contacts-msafree-01-step-6000,modal,3,6
1qs8b_1miqb__gt2__blind_fold1,1qs8b_1miqb,2,blind_fold1,root:23,6,344,1miqB,375,327,0.9969418960244648,267,4,0.0149812734082397,exp304_foldswitch,375,ok,15.251,15.251,6.236,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,1qs8b_1miqb,375,70125,blind_fold1:input_fold2,16.135,helico-contacts-msafree-01-step-6000,modal,3,6
1qs8b_1miqb__gt2__blind_fold2,1qs8b_1miqb,2,blind_fold2,branch10:65,10,297,1miqB,375,327,0.9969418960244648,267,4,0.0149812734082397,exp304_foldswitch,375,ok,17.216,17.216,8.038,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,1qs8b_1miqb,375,70125,blind_fold2:input_fold2,18.554,helico-contacts-msafree-01-step-6000,modal,3,6
3g0ha_3ewsb__gt1__true_fold1,3g0ha_3ewsb,1,true_fold1,,0,450,3g0hA,408,408,1.0,450,0,0.0,exp304_foldswitch,408,ok,16.03,16.03,6.829,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3g0ha_3ewsb,408,83028,true_fold1:input_fold1,16.91,helico-contacts-msafree-01-step-6000,modal,3,6
3g0ha_3ewsb__gt1__true_fold2,3g0ha_3ewsb,1,true_fold2,,0,425,3g0hA,408,408,1.0,450,0,0.0,exp304_foldswitch,408,ok,18.977,18.977,8.017,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3g0ha_3ewsb,408,83028,true_fold2:input_fold1,20.407,helico-contacts-msafree-01-step-6000,modal,3,6
3g0ha_3ewsb__gt1__blind_fold1,3g0ha_3ewsb,1,blind_fold1,branch5:61,13,455,3g0hA,408,408,1.0,450,0,0.0,exp304_foldswitch,408,ok,15.789,15.789,6.94,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3g0ha_3ewsb,408,83028,blind_fold1:input_fold1,16.759,helico-contacts-msafree-01-step-6000,modal,3,6
3g0ha_3ewsb__gt1__blind_fold2,3g0ha_3ewsb,1,blind_fold2,branch5:17,7,443,3g0hA,408,408,1.0,450,0,0.0,exp304_foldswitch,408,ok,15.965,15.965,7.949,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3g0ha_3ewsb,408,83028,blind_fold2:input_fold1,17.069,helico-contacts-msafree-01-step-6000,modal,3,6
3g0ha_3ewsb__gt2__true_fold1,3g0ha_3ewsb,2,true_fold1,,0,450,3ewsB,405,405,1.0,425,0,0.0,exp304_foldswitch,405,ok,16.068,16.068,7.328,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3g0ha_3ewsb,405,81810,true_fold1:input_fold2,17.042,helico-contacts-msafree-01-step-6000,modal,3,6
3g0ha_3ewsb__gt2__true_fold2,3g0ha_3ewsb,2,true_fold2,,0,425,3ewsB,405,405,1.0,425,0,0.0,exp304_foldswitch,405,ok,15.9,15.9,6.236,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3g0ha_3ewsb,405,81810,true_fold2:input_fold2,16.755,helico-contacts-msafree-01-step-6000,modal,3,6
3g0ha_3ewsb__gt2__blind_fold1,3g0ha_3ewsb,2,blind_fold1,branch5:61,13,453,3ewsB,405,405,1.0,425,0,0.0,exp304_foldswitch,405,ok,16.906,16.906,6.829,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3g0ha_3ewsb,405,81810,blind_fold1:input_fold2,17.852,helico-contacts-msafree-01-step-6000,modal,3,6
3g0ha_3ewsb__gt2__blind_fold2,3g0ha_3ewsb,2,blind_fold2,branch5:17,7,436,3ewsB,405,405,1.0,425,0,0.0,exp304_foldswitch,405,ok,16.183,16.183,8.37,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3g0ha_3ewsb,405,81810,blind_fold2:input_fold2,17.224,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt1__true_fold1,3j7wb_3j7vg,1,true_fold1,,0,192,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,343,ok,12.238,12.238,8.038,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,343,58653,true_fold1:input_fold1,12.896,helico-contacts-msafree-01-step-6000,modal,3,6
