stem,L,ours_R_all,published_R_all,delta,n_seeds,seed_sd
7t9r_A,38,0.2333,0.2083333333333333,0.025,5,0.0373
7pv5_A,81,0.775,0.765625,0.0094,5,0.0086
7y54_A,100,0.8133,0.8095238095238095,0.0038,5,0.0052
8bgb_A,131,0.8297,0.8316831683168316,-0.002,5,0.0044
8dp9_A,148,0.7425,0.7465753424657534,-0.0041,5,0.0092
8axj_A,162,0.7916,0.7832167832167832,0.0084,5,0.0077
7xcd_A,178,0.1514,0.1756756756756756,-0.0243,5,0.014
8cpn_A,207,0.644,0.6369047619047619,0.0071,5,0.0195
8cba_A,214,0.258,0.2244897959183673,0.0335,5,0.0201
8gmy_A,236,0.3441,0.3188976377952756,0.0252,5,0.0091
7xlz_A,266,0.6596,0.6679245283018868,-0.0083,5,0.0098
8eo5_A,290,0.8111,0.8102766798418972,0.0008,5,0.0018
7x4p_A,307,0.5646,0.5435435435435435,0.021,5,0.0047
7xz3_A,325,0.431,0.4240506329113924,0.007,5,0.0104
