key,dataset,stem,n_alignments,n_rows_dropped
foldbench100__5sbj_A,foldbench100,5sbj_A,392,11
foldbench100__7pv5_A,foldbench100,7pv5_A,502,38
foldbench100__7qp5_A,foldbench100,7qp5_A,1231,210
foldbench100__7qsj_A,foldbench100,7qsj_A,5064,256
foldbench100__7t9r_A,foldbench100,7t9r_A,69,5
foldbench100__7tlh_A,foldbench100,7tlh_A,280,71
foldbench100__7tjb_A,foldbench100,7tjb_A,3509,1099
foldbench100__7uba_A,foldbench100,7uba_A,394,3
foldbench100__7uk8_A,foldbench100,7uk8_A,1034,428
foldbench100__7ur2_A,foldbench100,7ur2_A,1106,120
foldbench100__7ur7_A,foldbench100,7ur7_A,423,4
foldbench100__7urp_A,foldbench100,7urp_A,884,4
foldbench100__7uvg_A,foldbench100,7uvg_A,428,6
foldbench100__7uww_A,foldbench100,7uww_A,1536,74
foldbench100__7v3o_A,foldbench100,7v3o_A,1253,84
foldbench100__7w15_A,foldbench100,7w15_A,7714,614
foldbench100__7y3h_A,foldbench100,7y3h_A,3927,1918
foldbench100__7wz5_A,foldbench100,7wz5_A,658,36
foldbench100__7wzm_A,foldbench100,7wzm_A,19123,11839
foldbench100__7x4p_A,foldbench100,7x4p_A,918,497
foldbench100__7x3h_A,foldbench100,7x3h_A,4733,465
foldbench100__7x8l_A,foldbench100,7x8l_A,9082,1940
foldbench100__7xcd_A,foldbench100,7xcd_A,305,1
foldbench100__7xg9_A,foldbench100,7xg9_A,3660,793
foldbench100__7xi5_A,foldbench100,7xi5_A,1595,453
foldbench100__7xp9_A,foldbench100,7xp9_A,130,1
foldbench100__8ycm_A,foldbench100,8ycm_A,872,165
foldbench100__7xq4_A,foldbench100,7xq4_A,5701,458
foldbench100__7xrx_A,foldbench100,7xrx_A,2103,554
foldbench100__7xjr_A,foldbench100,7xjr_A,5657,1276
foldbench100__7xyr_A,foldbench100,7xyr_A,12195,5517
foldbench100__7xz3_A,foldbench100,7xz3_A,1295,320
foldbench100__7y4h_A,foldbench100,7y4h_A,2165,209
foldbench100__7y54_A,foldbench100,7y54_A,6202,1347
