target,decoy_id,candidate_kind,tm_quantile,tmscore,gdt_ts,af2rank_composite,af2_ptm,deepaccnet,negative_rosetta_energy
1aaj,native,native,1.0,1.0,1.0,61.028743511944555,0.77729509677428,-1.0,1.0
1aaj,empty_tag_1_286_1_0001.pdb,decoy,0.0,0.2033,0.188,4.107280314984914,0.417456578315716,0.3892,168.566
1aaj,empty_tag_1026_0001_0001.pdb,decoy,0.043478260869565216,0.3443,0.313,12.56276209096822,0.399216336016485,0.496,236.99
1aaj,empty_tag_359_0001_0001.pdb,decoy,0.08695652173913043,0.6553,0.642,34.04566504076222,0.682518023358797,0.617,231.708
1aaj,empty_tag_1_704_0001.pdb,decoy,0.13043478260869565,0.7777,0.798,35.5165084979241,0.633828120961591,0.7104,275.018
1aaj,empty_tag_908_0001_0001.pdb,decoy,0.17391304347826086,0.7885,0.812,37.30390989147829,0.656450552659462,0.812,272.532
1aaj,empty_tag_1_646_0001.pdb,decoy,0.21739130434782608,0.7944,0.812,36.09404868608975,0.64088328563392,0.704,265.177
1aaj,empty_tag_438_0001_1_0001.pdb,decoy,0.2608695652173913,0.8005,0.831,35.45765862115224,0.625772922382912,0.7285,255.427
1aaj,empty_tag_1_165_1_0001.pdb,decoy,0.30434782608695654,0.8061,0.821,39.74162898201711,0.670092884386719,0.753,270.599
1aaj,empty_tag_205_0001_1_0001.pdb,decoy,0.34782608695652173,0.8131,0.833,43.0863251089804,0.719257437483238,0.749,269.332
1aaj,empty_tag_1_302_1_0001.pdb,decoy,0.391304347826087,0.8195,0.842,40.061994891730365,0.678405746895638,0.7793,265.633
1aaj,empty_tag_276_0001_0001.pdb,decoy,0.43478260869565216,0.8247,0.848,42.06609550101328,0.678976625998483,0.703,285.62
1aaj,empty_tag_1_762_0001.pdb,decoy,0.4782608695652174,0.8303,0.844,41.760167726598446,0.679138648330053,0.7563,268.148
1aaj,empty_tag_1092_0001_0001.pdb,decoy,0.5217391304347826,0.8366,0.863,41.61871387024215,0.680051767989939,0.7637,282.878
1aaj,empty_tag_326_0001_0001.pdb,decoy,0.5652173913043478,0.8476,0.869,52.19014807127727,0.772631602144227,0.6313,265.049
1aaj,empty_tag_1524_0001_0001.pdb,decoy,0.6086956521739131,0.8579,0.871,41.66366585553866,0.672005982431802,0.782,277.387
1aaj,empty_tag_1231_0001_0001.pdb,decoy,0.6521739130434783,0.8681,0.885,52.96724117610036,0.765793691100708,0.7495,291.577
1aaj,empty_tag_1178_0001_0001.pdb,decoy,0.6956521739130435,0.875,0.896,53.95391305717759,0.770091339585185,0.829,294.584
1aaj,empty_tag_1_813_0001.pdb,decoy,0.7391304347826086,0.882,0.912,45.71706173628002,0.692514349854804,0.7676,281.264
1aaj,empty_tag_284_0001_0001.pdb,decoy,0.782608695652174,0.8916,0.913,56.770313523067536,0.773715559032211,0.798,284.263
1aaj,empty_tag_1466_0001_0001.pdb,decoy,0.8260869565217391,0.9054,0.921,52.438079966787456,0.745556901209009,0.7935,278.141
1aaj,empty_tag_319_0001_0001.pdb,decoy,0.8695652173913043,0.9159,0.937,57.23889121008021,0.778303560081252,0.778,293.514
1aaj,empty_tag_1_63_0001.pdb,decoy,0.9130434782608695,0.9266,0.956,60.9581179924298,0.795933350557584,0.8325,294.849
1aaj,empty_tag_1_943_0001.pdb,decoy,0.9565217391304348,0.9457,0.965,62.9702645429101,0.791768751962347,0.851,289.956
1aaj,empty_tag_26_0001_0001.pdb,decoy,1.0,0.9797,0.996,60.34248169922479,0.769911109180881,0.921,305.404
1hz6,native,native,1.0,1.0,1.0,68.81035399411579,0.755392239595306,-1.0,1.0
1hz6,empty_tag_4629_0001_0001.pdb,decoy,0.0,0.2333,0.256,19.737915551349637,0.456502983485491,0.766,170.037
1hz6,empty_tag_2420_0001_0001.pdb,decoy,0.043478260869565216,0.3269,0.354,17.84676549138174,0.65044145788411,0.5337,134.379
1hz6,empty_tag_3359_0001_0001.pdb,decoy,0.08695652173913043,0.3514,0.367,10.64525004601254,0.470202397539101,0.618,146.043
1hz6,empty_tag_6921_0001_0001.pdb,decoy,0.13043478260869565,0.3673,0.456,15.286972700961433,0.55278615131462,0.5493,151.825
1hz6,empty_tag_6260_0001_0001.pdb,decoy,0.17391304347826086,0.378,0.4,29.49351622587972,0.547934299519875,0.733,152.932
1hz6,empty_tag_8964_0001_0001.pdb,decoy,0.21739130434782608,0.3853,0.443,16.82529686929142,0.548769918043039,0.4453,132.934
1hz6,empty_tag_3488_0001_0001.pdb,decoy,0.2608695652173913,0.3938,0.479,24.61255577124458,0.67165762614746,0.6025,154.612
1hz6,empty_tag_709_0001_0001.pdb,decoy,0.30434782608695654,0.4033,0.515,27.798494807307655,0.709765565083575,0.6562,157.912
1hz6,empty_tag_454_0001_0001.pdb,decoy,0.34782608695652173,0.4088,0.475,31.888995633425424,0.501721742129546,0.606,159.28
1hz6,empty_tag_8268_0001_0001.pdb,decoy,0.391304347826087,0.4161,0.475,10.51296473535284,0.388040901388201,0.539,148.283
1hz6,empty_tag_7276_0001_0001.pdb,decoy,0.43478260869565216,0.4287,0.531,30.17124242151816,0.721217987849087,0.621,148.163
1hz6,empty_tag_9252_0001_0001.pdb,decoy,0.4782608695652174,0.4461,0.518,14.820293075936808,0.477631775003835,0.516,152.435
1hz6,empty_tag_2685_0001_0001.pdb,decoy,0.5217391304347826,0.4658,0.577,32.85971259848555,0.706252523994358,0.683,165.92
1hz6,empty_tag_9103_0001_0001.pdb,decoy,0.5652173913043478,0.4894,0.587,33.89598986700242,0.730873581696123,0.5767,151.921
1hz6,empty_tag_401_0001_0001.pdb,decoy,0.6086956521739131,0.522,0.574,33.41399395864508,0.699888338693418,0.5605,148.822
1hz6,empty_tag_1596_0001_0001.pdb,decoy,0.6521739130434783,0.5561,0.59,35.82417193043492,0.603929370542703,0.585,133.548
1hz6,empty_tag_1854_0001_0001.pdb,decoy,0.6956521739130435,0.6561,0.761,53.201888554150344,0.696642948841582,0.793,160.101
1hz6,empty_tag_7486_0001_0001.pdb,decoy,0.7391304347826086,0.734,0.826,47.94771654505057,0.719341587706975,0.85,178.674
1hz6,empty_tag_7103_0001_0001.pdb,decoy,0.782608695652174,0.8297,0.911,57.96943870633712,0.745001688233174,0.7896,166.599
1hz6,empty_tag_4542_0001_0001.pdb,decoy,0.8260869565217391,0.8736,0.954,62.40963427702386,0.746239472485763,0.7686,176.357
1hz6,empty_tag_2392_0001_0001.pdb,decoy,0.8695652173913043,0.8905,0.957,63.07381914586704,0.744050004321209,0.7812,174.213
1hz6,empty_tag_1358_0001_0001.pdb,decoy,0.9130434782608695,0.9089,0.974,64.33213683937976,0.749738260247878,0.777,162.98
1hz6,empty_tag_782_0001_0001.pdb,decoy,0.9565217391304348,0.9241,0.98,64.74745922335204,0.747163361090761,0.8286,176.861
1hz6,empty_tag_4316_0001_0001.pdb,decoy,1.0,0.9412,0.99,68.30540243644413,0.758459533699958,0.8525,180.759
1kaf,native,native,1.0,1.0,1.0,79.62560922973579,0.857158554937835,-1.0,1.0
1kaf,empty_tag_1_246_0001.pdb,decoy,0.0,0.2475,0.25,4.377532219504523,0.365713433531718,0.442,247.974
1kaf,empty_tag_1_20_0001.pdb,decoy,0.043478260869565216,0.3606,0.326,14.214397295196571,0.472688571141275,0.3938,210.17
1kaf,empty_tag_4_0001_0001.pdb,decoy,0.08695652173913043,0.4506,0.427,24.791198747357846,0.686065401568241,0.5356,241.067
1kaf,empty_tag_418_0001_0001.pdb,decoy,0.13043478260869565,0.49,0.467,32.82433667213192,0.762977590090884,0.538,261.778
1kaf,empty_tag_1_53_0001.pdb,decoy,0.17391304347826086,0.5464,0.52,42.29463763872011,0.781968376107901,0.548,245.98
1kaf,empty_tag_840_0001_0001.pdb,decoy,0.21739130434782608,0.6311,0.625,48.60938443132207,0.818508013011545,0.5776,270.92
1kaf,empty_tag_1_916_0001.pdb,decoy,0.2608695652173913,0.6711,0.655,51.78123411630173,0.815989725852637,0.6494,288.918
1kaf,empty_tag_1396_0001_0001.pdb,decoy,0.30434782608695654,0.6849,0.67,52.944110404301135,0.818320167554395,0.6567,285.11
1kaf,empty_tag_1_745_0001.pdb,decoy,0.34782608695652173,0.7024,0.705,54.425328761525044,0.822961991663166,0.621,282.205
1kaf,empty_tag_1_584_0001.pdb,decoy,0.391304347826087,0.7179,0.718,55.894941240069016,0.824000232481818,0.6265,271.825
1kaf,empty_tag_1220_0001_0001.pdb,decoy,0.43478260869565216,0.7322,0.728,56.48622646506053,0.822252040171651,0.6367,274.144
1kaf,empty_tag_1_469_0001.pdb,decoy,0.4782608695652174,0.7447,0.754,58.76367248661123,0.831880489905922,0.67,287.202
1kaf,empty_tag_1_524_0001.pdb,decoy,0.5217391304347826,0.762,0.766,58.977827525065315,0.823564289786605,0.6543,286.373
1kaf,empty_tag_405_0001_0001.pdb,decoy,0.5652173913043478,0.7748,0.771,61.1410441842624,0.837370302483872,0.696,294.181
1kaf,empty_tag_1148_0001_0001.pdb,decoy,0.6086956521739131,0.7901,0.789,55.72881239236459,0.78342872453222,0.631,278.978
1kaf,empty_tag_1411_0001_0001.pdb,decoy,0.6521739130434783,0.805,0.817,62.973994774807494,0.829550286622743,0.6406,283.055
1kaf,empty_tag_311_0001_1_0001.pdb,decoy,0.6956521739130435,0.8207,0.823,62.68800452588409,0.819944937661964,0.65,291.269
1kaf,empty_tag_712_0001_0001.pdb,decoy,0.7391304347826086,0.8388,0.844,59.8214416528411,0.78249416343866,0.694,283.57
1kaf,empty_tag_734_0001_0001.pdb,decoy,0.782608695652174,0.8596,0.863,68.32649037980613,0.843151646488361,0.7036,289.017
1kaf,empty_tag_1_498_0001.pdb,decoy,0.8260869565217391,0.874,0.888,68.86825165132142,0.841449925365237,0.7188,301.553
1kaf,empty_tag_1_482_0001.pdb,decoy,0.8695652173913043,0.903,0.903,70.257303619422,0.836534993341794,0.728,301.573
1kaf,empty_tag_138_0001_0001.pdb,decoy,0.9130434782608695,0.9275,0.947,75.30946407629813,0.851380863562744,0.7686,292.103
1kaf,empty_tag_1_37_0001.pdb,decoy,0.9565217391304348,0.9444,0.964,76.45605617817644,0.852526405514405,0.7563,300.042
1kaf,empty_tag_1_25_0001.pdb,decoy,1.0,0.9714,0.987,78.21304341553585,0.854214013960638,0.799,315.26
1su9,native,native,1.0,1.0,1.0,79.8607289841838,0.870266928536675,-1.0,1.0
1su9,empty_tag_1_159_0001.pdb,decoy,0.0,0.2558,0.2,7.764672910817542,0.373762317863548,0.4573,288.862
1su9,empty_tag_157_0001_1_0001.pdb,decoy,0.043478260869565216,0.3272,0.278,21.07330217059255,0.473238816699699,0.486,286.303
