eval_set,stem,method_id,method_label,method_group,gdt_ts
eval-denovo,5sbj_A,esmfold,ESMFold,external,1.0
eval-denovo,5sbj_A,esmfold2,ESMFold2,external,1.0
eval-denovo,5sbj_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8928571428571429
eval-denovo,5sbj_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9732142857142857
eval-denovo,5sbj_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9732142857142857
eval-denovo,5sbj_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.821429
eval-denovo,5sbj_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.821429
eval-denovo,7ur7_A,esmfold,ESMFold,external,0.920635
eval-denovo,7ur7_A,esmfold2,ESMFold2,external,0.912698
eval-denovo,7ur7_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9166666666666666
eval-denovo,7ur7_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9166666666666666
eval-denovo,7ur7_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9047619047619048
eval-denovo,7ur7_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.896825
eval-denovo,7ur7_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.845238
eval-denovo,8ah9_A,esmfold,ESMFold,external,0.976087
eval-denovo,8ah9_A,esmfold2,ESMFold2,external,0.967391
eval-denovo,8ah9_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9630434782608696
eval-denovo,8ah9_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9782608695652174
eval-denovo,8ah9_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9695652173913043
eval-denovo,8ah9_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.980435
eval-denovo,8ah9_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.943478
eval-denovo,8eov_A,esmfold,ESMFold,external,0.942446
eval-denovo,8eov_A,esmfold2,ESMFold2,external,0.951439
eval-denovo,8eov_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9010791366906474
eval-denovo,8eov_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9280575539568345
eval-denovo,8eov_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8938848920863309
eval-denovo,8eov_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.92446
eval-denovo,8eov_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.92446
eval-denovo,8fjf_A,esmfold,ESMFold,external,0.003937
eval-denovo,8fjf_A,esmfold2,ESMFold2,external,0.976378
eval-denovo,8fjf_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9645669291338583
eval-denovo,8fjf_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9862204724409449
eval-denovo,8fjf_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9625984251968505
eval-denovo,8fjf_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.968504
eval-denovo,8fjf_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.966535
eval-denovo,8gac_A,esmfold,ESMFold,external,0.941748
eval-denovo,8gac_A,esmfold2,ESMFold2,external,0.941748
eval-denovo,8gac_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8883495145631068
eval-denovo,8gac_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.941747572815534
eval-denovo,8gac_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.7936893203883495
eval-denovo,8gac_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.927184
eval-denovo,8gac_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.927184
eval-denovo,8ju8_A,esmfold,ESMFold,external,0.793165
eval-denovo,8ju8_A,esmfold2,ESMFold2,external,0.751799
eval-denovo,8ju8_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.6330935251798562
eval-denovo,8ju8_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.7697841726618704
eval-denovo,8ju8_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.7517985611510791
eval-denovo,8ju8_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.771583
eval-denovo,8ju8_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.771583
eval-denovo,8k7o_A,esmfold,ESMFold,external,0.94206
eval-denovo,8k7o_A,esmfold2,ESMFold2,external,0.945279
eval-denovo,8k7o_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9163090128755365
eval-denovo,8k7o_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9345493562231759
eval-denovo,8k7o_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8744635193133047
eval-denovo,8k7o_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.943133
eval-denovo,8k7o_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.940987
eval-denovo,8k7z_A,esmfold,ESMFold,external,0.203488
eval-denovo,8k7z_A,esmfold2,ESMFold2,external,0.927326
eval-denovo,8k7z_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9491279069767442
eval-denovo,8k7z_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9491279069767442
eval-denovo,8k7z_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.5363372093023255
eval-denovo,8k7z_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.953488
eval-denovo,8k7z_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.943314
eval-denovo,8k83_A,esmfold,ESMFold,external,0.91523
eval-denovo,8k83_A,esmfold2,ESMFold2,external,0.928161
eval-denovo,8k83_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8735632183908046
eval-denovo,8k83_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9080459770114943
eval-denovo,8k83_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8778735632183908
eval-denovo,8k83_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.948276
eval-denovo,8k83_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.948276
eval-denovo,8k84_A,esmfold,ESMFold,external,0.969653
eval-denovo,8k84_A,esmfold2,ESMFold2,external,0.976879
eval-denovo,8k84_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9624277456647399
eval-denovo,8k84_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9783236994219653
eval-denovo,8k84_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9624277456647399
eval-denovo,8k84_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.929191
eval-denovo,8k84_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.981214
eval-denovo,8ka7_A,esmfold,ESMFold,external,0.969565
eval-denovo,8ka7_A,esmfold2,ESMFold2,external,0.93913
eval-denovo,8ka7_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9565217391304348
eval-denovo,8ka7_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9608695652173913
eval-denovo,8ka7_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.48695652173913045
eval-denovo,8ka7_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.652174
eval-denovo,8ka7_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.654348
eval-denovo,8kac_A,esmfold,ESMFold,external,0.944215
eval-denovo,8kac_A,esmfold2,ESMFold2,external,0.958678
eval-denovo,8kac_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9524793388429752
eval-denovo,8kac_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9669421487603306
eval-denovo,8kac_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9194214876033058
eval-denovo,8kac_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.206612
eval-denovo,8kac_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.938017
eval-denovo,8kcj_A,esmfold,ESMFold,external,0.853352
eval-denovo,8kcj_A,esmfold2,ESMFold2,external,0.868715
eval-denovo,8kcj_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8240223463687151
eval-denovo,8kcj_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.8617318435754191
eval-denovo,8kcj_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8128491620111732
eval-denovo,8kcj_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.871508
eval-denovo,8kcj_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.871508
eval-denovo,8oys_A,esmfold,ESMFold,external,0.913564
eval-denovo,8oys_A,esmfold2,ESMFold2,external,0.925532
